inst#,actual,predicted,error,prediction,ID
1,2:'build wind non-float',2:build wind non-float,,0.55,5
2,1:'build wind float',1:build wind float,,0.84,12
3,2:'build wind non-float',1:build wind float,+,0.52,19
4,5:containers,5:containers,,0.43,24
5,2:'build wind non-float',2:build wind non-float,,0.95,26
6,2:'build wind non-float',2:build wind non-float,,0.84,28
7,3:'vehic wind float',3:vehic wind float,,0.59,29
8,3:'vehic wind float',1:build wind float,+,0.33,31
9,1:'build wind float',2:build wind non-float,+,0.61,35
10,2:'build wind non-float',2:build wind non-float,,0.56,38
11,2:'build wind non-float',2:build wind non-float,,0.52,41
12,2:'build wind non-float',2:build wind non-float,,0.95,42
13,2:'build wind non-float',1:build wind float,+,0.59,51
14,7:headlamps,2:build wind non-float,+,0.46,56
15,7:headlamps,7:headlamps,,0.67,65
16,3:'vehic wind float',1:build wind float,+,0.78,67
17,2:'build wind non-float',7:headlamps,+,0.4,68
18,1:'build wind float',1:build wind float,,0.75,76
19,3:'vehic wind float',1:build wind float,+,0.39,78
20,1:'build wind float',1:build wind float,,0.85,79
21,3:'vehic wind float',1:build wind float,+,0.84,82
22,1:'build wind float',1:build wind float,,0.88,95
23,7:headlamps,7:headlamps,,0.94,96
24,1:'build wind float',1:build wind float,,0.58,100
25,1:'build wind float',1:build wind float,,0.67,108
26,5:containers,5:containers,,0.85,109
27,1:'build wind float',2:build wind non-float,+,0.54,119
28,2:'build wind non-float',1:build wind float,+,0.38,120
29,7:headlamps,5:containers,+,0.53,126
30,7:headlamps,7:headlamps,,0.79,127
31,1:'build wind float',1:build wind float,,0.74,128
32,1:'build wind float',1:build wind float,,0.91,135
33,1:'build wind float',1:build wind float,,0.61,136
34,2:'build wind non-float',2:build wind non-float,,0.76,137
35,2:'build wind non-float',2:build wind non-float,,0.49,145
36,7:headlamps,2:build wind non-float,+,0.51,150
37,1:'build wind float',1:build wind float,,0.83,161
38,2:'build wind non-float',2:build wind non-float,,0.85,164
39,1:'build wind float',1:build wind float,,0.91,172
40,7:headlamps,7:headlamps,,0.72,173
41,2:'build wind non-float',2:build wind non-float,,0.95,181
42,7:headlamps,7:headlamps,,1,185
43,2:'build wind non-float',2:build wind non-float,,0.68,199

