inst#,actual,predicted,error,prediction,ID
1,3:R,3:R,,0.812,3
2,3:R,3:R,,0.587,5
3,3:R,3:R,,0.891,8
4,3:R,3:R,,0.885,16
5,3:R,3:R,,0.93,17
6,3:R,3:R,,0.962,19
7,1:L,1:L,,0.527,25
8,2:B,3:R,+,0.445,26
9,3:R,3:R,,0.749,36
10,3:R,3:R,,0.846,37
11,3:R,3:R,,0.771,45
12,3:R,3:R,,0.948,48
13,1:L,1:L,,0.676,50
14,3:R,3:R,,0.637,57
15,3:R,3:R,,0.815,59
16,3:R,3:R,,0.843,67
17,3:R,3:R,,0.943,74
18,3:R,3:R,,0.888,94
19,1:L,1:L,,0.487,103
20,3:R,1:L,+,0.451,111
21,3:R,3:R,,0.691,113
22,3:R,3:R,,0.843,119
23,3:R,3:R,,0.884,124
24,2:B,3:R,+,0.449,126
25,3:R,3:R,,0.923,139
26,3:R,3:R,,0.829,141
27,3:R,3:R,,0.959,149
28,1:L,1:L,,0.701,150
29,1:L,3:R,+,0.438,152
30,3:R,3:R,,0.675,154
31,3:R,3:R,,0.621,157
32,3:R,3:R,,0.754,162
33,3:R,3:R,,0.893,168
34,3:R,3:R,,0.882,172
35,3:R,3:R,,0.922,173
36,1:L,1:L,,0.813,175
37,1:L,1:L,,0.713,180
38,1:L,1:L,,0.583,185
39,1:L,1:L,,0.446,190
40,3:R,3:R,,0.832,193
41,3:R,3:R,,0.879,194
42,1:L,1:L,,0.561,207
43,3:R,3:R,,0.732,222
44,1:L,1:L,,0.895,225
45,1:L,1:L,,0.849,226
46,1:L,1:L,,0.558,229
47,1:L,1:L,,0.499,237
48,1:L,1:L,,0.54,245
49,3:R,3:R,,0.584,253
50,1:L,1:L,,0.532,255
51,3:R,3:R,,0.758,262
52,3:R,3:R,,0.838,263
53,3:R,3:R,,0.735,266
54,1:L,1:L,,0.717,280
55,3:R,3:R,,0.808,297
56,1:L,1:L,,0.636,303
57,3:R,3:R,,0.555,309
58,1:L,1:L,,0.46,316
59,3:R,3:R,,0.802,319
60,3:R,3:R,,0.704,322
61,1:L,1:L,,0.829,327
62,1:L,1:L,,0.744,328
63,1:L,1:L,,0.819,331
64,2:B,3:R,+,0.468,338
65,1:L,1:L,,0.467,346
66,3:R,3:R,,0.791,349
67,1:L,1:L,,0.868,352
68,1:L,1:L,,0.802,353
69,1:L,1:L,,0.715,354
70,1:L,1:L,,0.906,355
71,1:L,1:L,,0.86,356
72,1:L,1:L,,0.781,361
73,1:L,1:L,,0.671,362
74,1:L,1:L,,0.786,365
75,1:L,1:L,,0.697,370
76,1:L,1:L,,0.772,375
77,1:L,1:L,,0.554,377
78,3:R,3:R,,0.608,383
79,3:R,3:R,,0.825,393
80,3:R,3:R,,0.696,396
81,1:L,1:L,,0.501,404
82,3:R,3:R,,0.548,409
83,1:L,1:L,,0.59,411
84,3:R,3:R,,0.696,422
85,3:R,3:R,,0.795,423
86,1:L,1:L,,0.928,425
87,1:L,1:L,,0.896,426
88,1:L,1:L,,0.626,433
89,1:L,1:L,,0.725,462
90,1:L,1:L,,0.825,465
91,1:L,1:L,,0.601,467
92,1:L,1:L,,0.475,472
93,1:L,1:L,,0.876,478
94,1:L,1:L,,0.912,481
95,1:L,1:L,,0.862,490
96,1:L,1:L,,0.558,493
97,1:L,1:L,,0.753,505
98,3:R,1:L,+,0.524,507
99,3:R,3:R,,0.724,518
100,3:R,3:R,,0.792,519
101,3:R,3:R,,0.794,523
102,1:L,1:L,,0.91,525
103,1:L,1:L,,0.629,529
104,1:L,1:L,,0.867,530
105,1:L,1:L,,0.806,531
106,1:L,1:L,,0.713,532
107,1:L,1:L,,0.579,537
108,3:R,1:L,+,0.441,538
109,3:R,3:R,,0.553,539
110,3:R,3:R,,0.553,547
111,1:L,1:L,,0.926,551
112,3:R,3:R,,0.538,569
113,3:R,3:R,,0.646,574
114,1:L,1:L,,0.879,586
115,1:L,1:L,,0.614,589
116,1:L,1:L,,0.735,596
117,1:L,1:L,,0.613,597
118,2:B,1:L,+,0.477,598
119,1:L,1:L,,0.958,601
120,1:L,1:L,,0.941,602
121,1:L,1:L,,0.913,603
122,1:L,1:L,,0.954,605
123,1:L,1:L,,0.905,611
124,1:L,1:L,,0.786,613
125,1:L,1:L,,0.901,615

