inst#,actual,predicted,error,prediction,ID
1,3:R,3:R,,0.558,1
2,3:R,3:R,,0.869,4
3,3:R,3:R,,0.945,13
4,3:R,3:R,,0.959,14
5,3:R,3:R,,0.853,20
6,3:R,3:R,,0.93,21
7,3:R,3:R,,0.573,27
8,3:R,3:R,,0.747,32
9,3:R,3:R,,0.883,34
10,3:R,3:R,,0.675,40
11,3:R,3:R,,0.831,41
12,3:R,3:R,,0.938,47
13,1:L,1:L,,0.574,51
14,2:B,1:L,+,0.418,52
15,3:R,3:R,,0.744,58
16,3:R,3:R,,0.764,62
17,3:R,3:R,,0.892,64
18,3:R,3:R,,0.817,71
19,1:L,1:L,,0.659,80
20,3:R,3:R,,0.654,87
21,3:R,3:R,,0.622,91
22,3:R,3:R,,0.527,95
23,3:R,3:R,,0.903,98
24,3:R,3:R,,0.93,99
25,1:L,1:L,,0.636,102
26,1:L,1:L,,0.722,105
27,1:L,1:L,,0.606,106
28,3:R,3:R,,0.628,121
29,3:R,3:R,,0.722,128
30,2:B,1:L,+,0.444,130
31,3:R,3:R,,0.896,134
32,3:R,3:R,,0.918,138
33,2:B,1:L,+,0.444,156
34,1:L,1:L,,0.455,160
35,3:R,3:R,,0.604,161
36,3:R,3:R,,0.739,166
37,1:L,1:L,,0.487,178
38,3:R,3:R,,0.632,187
39,3:R,3:R,,0.832,189
40,3:R,3:R,,0.601,191
41,1:L,1:L,,0.887,200
42,1:L,1:L,,0.831,201
43,1:L,1:L,,0.815,205
44,1:L,1:L,,0.714,206
45,3:R,3:R,,0.742,214
46,2:B,3:R,+,0.459,216
47,3:R,3:R,,0.647,217
48,1:L,1:L,,0.855,230
49,1:L,1:L,,0.673,240
50,1:L,1:L,,0.514,241
51,3:R,3:R,,0.676,243
52,1:L,1:L,,0.642,251
53,2:B,1:L,+,0.474,252
54,3:R,3:R,,0.948,269
55,3:R,3:R,,0.686,270
56,3:R,3:R,,0.951,273
57,1:L,1:L,,0.787,276
58,3:R,3:R,,0.766,288
59,1:L,3:R,+,0.515,295
60,1:L,1:L,,0.472,308
61,3:R,3:R,,0.628,313
62,1:L,1:L,,0.646,315
63,1:L,1:L,,0.9,330
64,1:L,1:L,,0.582,337
65,3:R,3:R,,0.607,339
66,3:R,3:R,,0.645,343
67,1:L,1:L,,0.646,345
68,1:L,1:L,,0.931,351
69,1:L,1:L,,0.693,366
70,2:B,3:R,+,0.503,372
71,2:B,1:L,+,0.485,378
72,3:R,3:R,,0.559,379
73,1:L,1:L,,0.621,385
74,3:R,3:R,,0.674,387
75,3:R,3:R,,0.862,389
76,3:R,3:R,,0.646,391
77,3:R,3:R,,0.799,392
78,3:R,3:R,,0.871,397
79,1:L,1:L,,0.874,401
80,1:L,1:L,,0.768,406
81,3:R,3:R,,0.646,413
82,3:R,3:R,,0.78,418
83,1:L,1:L,,0.874,427
84,1:L,1:L,,0.858,435
85,1:L,1:L,,0.8,454
86,1:L,1:L,,0.941,455
87,1:L,1:L,,0.753,458
88,1:L,1:L,,0.644,459
89,1:L,1:L,,0.904,460
90,1:L,1:L,,0.838,461
91,1:L,1:L,,0.741,466
92,1:L,1:L,,0.625,471
93,3:R,3:R,,0.743,474
94,1:L,1:L,,0.972,475
95,1:L,1:L,,0.96,476
96,1:L,1:L,,0.737,484
97,1:L,1:L,,0.577,489
98,1:L,1:L,,0.811,491
99,1:L,1:L,,0.691,492
100,2:B,3:R,+,0.513,498
101,1:L,1:L,,0.754,502
102,2:B,1:L,+,0.492,504
103,3:R,3:R,,0.518,508
104,1:L,1:L,,0.737,510
105,2:B,1:L,+,0.467,520
106,3:R,3:R,,0.656,521
107,1:L,1:L,,0.782,528
108,1:L,1:L,,0.738,536
109,3:R,3:R,,0.521,542
110,3:R,3:R,,0.778,544
111,2:B,3:R,+,0.466,546
112,1:L,1:L,,0.871,553
113,1:L,1:L,,0.946,555
114,1:L,1:L,,0.909,560
115,1:L,1:L,,0.842,561
116,1:L,1:L,,0.731,562
117,2:B,3:R,+,0.472,564
118,1:L,1:L,,0.743,566
119,1:L,1:L,,0.948,577
120,1:L,1:L,,0.941,581
121,1:L,1:L,,0.929,607
122,1:L,1:L,,0.827,609
123,1:L,1:L,,0.704,614
124,1:L,1:L,,0.554,619
125,1:L,1:L,,0.693,622

