inst#,actual,predicted,error,prediction,ID
1,3:3,3:3,,0.834,0
2,3:3,3:3,,0.898,3
3,3:3,3:3,,0.835,9
4,3:3,3:3,,0.941,11
5,3:3,3:3,,0.914,15
6,3:3,3:3,,0.891,19
7,6:U,6:U,,0.746,22
8,3:3,3:3,,0.962,38
9,3:3,3:3,,0.975,42
10,3:3,3:3,,0.795,43
11,3:3,3:3,,0.848,46
12,3:3,3:3,,0.985,50
13,3:3,3:3,,0.848,57
14,3:3,3:3,,0.949,59
15,3:3,3:3,,0.982,68
16,3:3,3:3,,0.884,74
17,3:3,3:3,,0.822,75
18,2:2,2:2,,0.683,88
19,5:5,3:3,+,0.543,89
20,3:3,3:3,,0.997,92
21,3:3,3:3,,0.992,93
22,3:3,3:3,,0.983,94
23,2:2,3:3,+,0.634,100
24,3:3,3:3,,0.915,104
25,5:5,5:5,,0.549,107
26,3:3,3:3,,0.99,113
27,3:3,2:2,+,0.572,114
28,6:U,6:U,,0.826,116
29,3:3,3:3,,0.988,117
30,3:3,3:3,,0.929,124
31,5:5,5:5,,0.572,125
32,3:3,3:3,,0.887,126
33,3:3,3:3,,0.69,142
34,3:3,3:3,,0.894,144
35,3:3,3:3,,0.997,149
36,3:3,3:3,,0.766,153
37,3:3,3:3,,0.935,154
38,3:3,5:5,+,0.566,167
39,5:5,5:5,,0.658,169
40,3:3,3:3,,0.858,175
41,3:3,3:3,,0.981,177
42,3:3,3:3,,0.993,178
43,2:2,2:2,,0.569,179
44,3:3,3:3,,0.989,184
45,1:1,3:3,+,0.631,188
46,3:3,3:3,,0.974,195
47,3:3,3:3,,0.861,203
48,3:3,3:3,,0.91,221
49,2:2,2:2,,0.541,222
50,3:3,3:3,,0.998,228
51,3:3,3:3,,0.979,236
52,3:3,3:3,,0.9,237
53,5:5,5:5,,0.551,238
54,3:3,3:3,,0.974,245
55,3:3,3:3,,0.959,249
56,3:3,3:3,,0.814,256
57,5:5,5:5,,0.685,257
58,2:2,2:2,,0.69,261
59,3:3,5:5,+,0.567,263
60,3:3,3:3,,0.89,268
61,3:3,3:3,,0.604,271
62,3:3,3:3,,0.954,274
63,2:2,2:2,,0.656,277
64,1:1,3:3,+,0.477,278
65,3:3,3:3,,0.822,284
66,3:3,3:3,,0.89,287
67,3:3,3:3,,0.809,289
68,3:3,3:3,,0.985,304
69,3:3,3:3,,0.98,307
70,3:3,3:3,,0.991,310
71,2:2,3:3,+,0.717,318
72,3:3,3:3,,0.822,320
73,3:3,3:3,,0.944,324
74,3:3,3:3,,0.847,329
75,6:U,6:U,,0.686,335
76,5:5,5:5,,0.729,336
77,3:3,3:3,,0.93,340
78,1:1,1:1,,0.53,341
79,3:3,3:3,,0.795,349
80,5:5,3:3,+,0.45,353
81,3:3,3:3,,0.908,354
82,3:3,3:3,,0.576,356
83,5:5,5:5,,0.729,369
84,6:U,6:U,,0.633,371
85,3:3,3:3,,0.976,383
86,3:3,3:3,,0.992,393
87,2:2,3:3,+,0.501,395
88,2:2,3:3,+,0.671,399
89,2:2,2:2,,0.857,407
90,6:U,6:U,,0.869,412
91,3:3,3:3,,0.922,423
92,3:3,3:3,,0.915,432
93,3:3,3:3,,0.903,434
94,2:2,3:3,+,0.527,439
95,3:3,3:3,,0.96,442
96,5:5,3:3,+,0.548,443
97,6:U,6:U,,0.467,453
98,3:3,3:3,,0.807,470
99,3:3,3:3,,0.892,479
100,3:3,3:3,,0.959,481
101,3:3,3:3,,0.989,486
102,3:3,3:3,,0.945,490
103,5:5,5:5,,0.609,499
104,3:3,3:3,,0.966,501
105,3:3,3:3,,0.957,512
106,3:3,3:3,,0.577,518
107,3:3,3:3,,0.823,521
108,3:3,3:3,,0.771,522
109,5:5,5:5,,0.77,530
110,3:3,3:3,,0.977,532
111,3:3,3:3,,0.877,533
112,3:3,3:3,,0.89,536
113,3:3,3:3,,0.982,539
114,3:3,3:3,,0.982,542
115,3:3,3:3,,0.982,545
116,3:3,3:3,,0.966,552
117,3:3,3:3,,0.799,557
118,3:3,3:3,,0.804,559
119,3:3,3:3,,0.943,570
120,3:3,3:3,,0.81,578
121,3:3,3:3,,0.754,583
122,3:3,3:3,,0.963,585
123,3:3,3:3,,0.875,595
124,3:3,3:3,,0.991,603
125,3:3,3:3,,0.98,604
126,5:5,5:5,,0.502,605
127,3:3,3:3,,0.982,617
128,6:U,6:U,,0.786,625
129,3:3,2:2,+,0.503,626
130,2:2,2:2,,0.619,628
131,3:3,3:3,,0.812,634
132,3:3,3:3,,0.919,643
133,3:3,3:3,,0.726,651
134,3:3,3:3,,0.901,658
135,3:3,3:3,,0.935,659
136,3:3,3:3,,0.966,660
137,3:3,3:3,,0.853,665
138,3:3,3:3,,0.954,677
139,3:3,3:3,,0.955,679
140,2:2,2:2,,0.605,689
141,3:3,3:3,,0.999,694
142,5:5,3:3,+,0.478,706
143,3:3,3:3,,0.981,710
144,3:3,3:3,,0.927,713
145,3:3,3:3,,0.83,717
146,3:3,3:3,,0.999,722
147,3:3,3:3,,0.977,735
148,2:2,3:3,+,0.537,741
149,3:3,3:3,,0.85,744
150,3:3,3:3,,0.774,757
151,3:3,3:3,,0.873,761
152,3:3,3:3,,0.982,768
153,3:3,3:3,,0.615,770
154,3:3,3:3,,0.95,779
155,3:3,3:3,,0.913,780
156,3:3,3:3,,0.918,783
157,3:3,3:3,,0.864,787
158,2:2,2:2,,0.612,788
159,3:3,3:3,,0.941,795
160,3:3,3:3,,0.968,801
161,2:2,2:2,,0.627,804
162,3:3,3:3,,1,814
163,5:5,5:5,,0.779,819
164,3:3,3:3,,0.982,822
165,3:3,3:3,,0.977,824
166,3:3,3:3,,0.961,826
167,3:3,3:3,,0.798,828
168,3:3,3:3,,0.755,830
169,3:3,3:3,,0.93,833
170,3:3,3:3,,0.842,849
171,3:3,3:3,,0.87,855
172,3:3,3:3,,0.808,862
173,3:3,3:3,,0.995,865
174,3:3,3:3,,0.99,873
175,3:3,3:3,,0.992,877
176,3:3,3:3,,0.734,881
177,3:3,3:3,,0.855,886
178,3:3,3:3,,0.977,888
179,2:2,2:2,,0.78,895
180,6:U,6:U,,0.82,897

