inst#,actual,predicted,error,prediction,ID
1,1:false,1:false,,0.967,0
2,1:false,1:false,,0.967,4
3,1:false,1:false,,0.967,10
4,1:false,1:false,,0.967,11
5,2:true,1:false,+,0.967,18
6,1:false,1:false,,0.967,26
7,1:false,1:false,,0.967,31
8,1:false,1:false,,0.967,36
9,1:false,1:false,,0.967,40
10,2:true,1:false,+,0.967,42
11,1:false,1:false,,0.967,44
12,1:false,1:false,,0.967,45
13,1:false,1:false,,0.967,47
14,1:false,1:false,,0.967,55
15,1:false,1:false,,0.967,62
16,1:false,1:false,,0.967,64
17,1:false,1:false,,0.967,65
18,1:false,1:false,,0.967,70
19,1:false,1:false,,0.967,73
20,1:false,1:false,,0.967,89
21,1:false,1:false,,0.967,90
22,1:false,1:false,,0.967,104
23,1:false,1:false,,0.967,108
24,1:false,1:false,,0.967,110
25,1:false,1:false,,0.967,118

