inst#,actual,predicted,error,prediction,ID
1,7:3,7:3,,0.286,0
2,5:1,7:3,+,0.286,2
3,6:2,4:0,+,0.286,4
4,5:1,5:1,,0.238,6
5,6:2,5:1,+,0.286,10
6,4:0,4:0,,0.286,11
7,5:1,5:1,,0.286,22
8,5:1,5:1,,0.286,27
9,5:1,6:2,+,0.286,32
10,5:1,4:0,+,0.238,33
11,4:0,4:0,,0.286,36
12,6:2,7:3,+,0.286,46
13,5:1,5:1,,0.286,61
14,4:0,4:0,,0.286,62
15,4:0,4:0,,0.286,64
16,3:-1,3:-1,,0.286,70
17,6:2,5:1,+,0.238,77
18,5:1,5:1,,0.286,85
19,4:0,4:0,,0.286,109
20,4:0,4:0,,0.286,114
21,4:0,4:0,,0.286,115
22,4:0,4:0,,0.286,117
23,5:1,5:1,,0.286,118
24,5:1,5:1,,0.286,122
25,7:3,4:0,+,0.238,126
26,7:3,4:0,+,0.238,127
27,6:2,6:2,,0.286,135
28,6:2,6:2,,0.286,138
29,4:0,4:0,,0.286,141
30,4:0,4:0,,0.286,148
31,5:1,5:1,,0.286,150
32,5:1,5:1,,0.286,163
33,6:2,6:2,,0.286,170
34,6:2,6:2,,0.286,183
35,6:2,4:0,+,0.286,184
36,6:2,4:0,+,0.286,187
37,4:0,4:0,,0.286,192
38,2:-2,3:-1,+,0.286,196
39,3:-1,3:-1,,0.286,199
40,3:-1,3:-1,,0.286,200
41,3:-1,3:-1,,0.286,203

