inst#,actual,predicted,error,prediction,ID
1,1:b,1:b,,0.881,3
2,1:b,1:b,,0.934,5
3,1:b,1:b,,0.943,9
4,2:g,2:g,,0.978,22
5,1:b,2:g,+,0.866,25
6,2:g,2:g,,0.968,30
7,1:b,2:g,+,0.645,33
8,1:b,2:g,+,0.927,39
9,2:g,2:g,,0.941,42
10,1:b,1:b,,0.999,45
11,2:g,2:g,,0.978,46
12,1:b,1:b,,0.988,55
13,2:g,2:g,,0.989,56
14,1:b,1:b,,0.997,57
15,1:b,2:g,+,0.939,63
16,2:g,2:g,,0.961,72
17,1:b,1:b,,0.552,73
18,1:b,1:b,,0.728,75
19,2:g,2:g,,0.961,76
20,1:b,1:b,,0.992,77
21,2:g,2:g,,0.943,82
22,2:g,2:g,,0.807,84
23,1:b,1:b,,0.841,93
24,2:g,2:g,,0.629,94
25,1:b,1:b,,0.974,108
26,2:g,2:g,,0.884,109
27,2:g,2:g,,0.991,113
28,1:b,2:g,+,0.689,114
29,1:b,1:b,,0.986,118
30,2:g,2:g,,0.971,119
31,1:b,2:g,+,0.719,124
32,1:b,2:g,+,0.989,126
33,1:b,1:b,,0.86,152
34,2:g,2:g,,0.905,155
35,2:g,2:g,,0.7,157
36,1:b,1:b,,1,168
37,2:g,2:g,,0.993,173
38,1:b,1:b,,0.98,176
39,2:g,2:g,,0.966,177
40,2:g,2:g,,0.984,179
41,2:g,2:g,,0.964,181
42,1:b,1:b,,1,182
43,2:g,2:g,,0.955,185
44,2:g,2:g,,0.904,195
45,2:g,2:g,,0.96,199
46,2:g,2:g,,0.949,203
47,1:b,1:b,,0.894,208
48,2:g,2:g,,0.975,227
49,1:b,1:b,,0.688,228
50,2:g,2:g,,0.808,233
51,1:b,2:g,+,0.941,234
52,1:b,1:b,,0.899,238
53,1:b,1:b,,0.989,240
54,2:g,2:g,,0.982,249
55,2:g,2:g,,0.918,272
56,2:g,2:g,,0.819,274
57,2:g,2:g,,0.96,278
58,2:g,2:g,,0.964,283
59,2:g,2:g,,0.893,286
60,2:g,2:g,,0.956,289
61,2:g,2:g,,0.81,295
62,2:g,2:g,,0.985,298
63,2:g,2:g,,0.711,305
64,2:g,2:g,,0.988,310
65,2:g,2:g,,0.977,316
66,2:g,2:g,,0.979,324
67,2:g,2:g,,0.98,327
68,2:g,2:g,,0.933,331
69,2:g,2:g,,0.77,338
70,2:g,2:g,,0.909,339
71,2:g,2:g,,0.927,342

