inst#,actual,predicted,error,prediction,ID
1,2:low,2:low,,0.649,2
2,2:low,1:none,+,0.686,10
3,4:good,4:good,,0.509,23
4,2:low,2:low,,0.792,30
5,5:best,4:good,+,0.512,31
6,4:good,4:good,,0.884,33
7,5:best,5:best,,0.674,39
8,4:good,4:good,,0.525,44
9,4:good,5:best,+,0.582,49
10,3:average,4:good,+,0.92,54
11,1:none,1:none,,0.996,55
12,4:good,4:good,,0.92,60
13,4:good,4:good,,0.949,63
14,4:good,4:good,,0.924,65
15,4:good,4:good,,0.873,66
16,1:none,1:none,,0.91,69
17,4:good,4:good,,0.962,70
18,4:good,4:good,,0.965,72
19,1:none,1:none,,0.932,76
20,4:good,3:average,+,0.575,77
21,2:low,2:low,,0.522,78
22,2:low,2:low,,0.637,79
23,5:best,3:average,+,0.534,81
24,5:best,4:good,+,0.602,84
25,1:none,1:none,,0.806,86
26,1:none,2:low,+,0.536,90
27,5:best,5:best,,0.659,97
28,2:low,2:low,,0.699,101
29,1:none,1:none,,0.995,109
30,1:none,2:low,+,0.887,118
31,5:best,5:best,,0.981,120
32,5:best,4:good,+,0.614,131
33,2:low,1:none,+,0.728,133
34,5:best,5:best,,0.632,148
35,2:low,1:none,+,0.827,155
36,4:good,4:good,,0.476,158
37,2:low,3:average,+,0.859,164
38,4:good,4:good,,0.753,174
39,3:average,2:low,+,0.452,192
40,5:best,4:good,+,0.654,198
41,5:best,5:best,,0.653,199
42,3:average,3:average,,0.534,204
43,2:low,2:low,,0.73,208
44,2:low,1:none,+,0.941,210
45,2:low,1:none,+,0.464,211
46,3:average,3:average,,0.422,212
47,3:average,4:good,+,0.629,215
48,5:best,4:good,+,0.696,223
49,3:average,4:good,+,0.419,234
50,1:none,4:good,+,0.595,235
51,1:none,2:low,+,0.649,239
52,1:none,3:average,+,0.422,247
53,1:none,1:none,,0.388,248
54,1:none,4:good,+,0.475,250
55,1:none,1:none,,0.987,259
56,2:low,2:low,,0.516,264
57,4:good,2:low,+,0.461,266
58,3:average,1:none,+,0.636,275
59,2:low,2:low,,0.587,286
60,1:none,1:none,,0.926,290
61,2:low,3:average,+,0.702,294
62,2:low,1:none,+,0.779,306
63,3:average,3:average,,0.523,311
64,1:none,2:low,+,0.813,319
65,3:average,2:low,+,0.758,323
66,3:average,3:average,,0.458,324
67,4:good,4:good,,0.82,329
68,4:good,4:good,,0.795,331
69,3:average,3:average,,0.576,332
70,4:good,4:good,,0.791,334
71,2:low,1:none,+,0.881,342
72,4:good,4:good,,0.759,346
73,4:good,4:good,,0.628,349
74,3:average,3:average,,0.658,351
75,3:average,3:average,,0.615,352
76,4:good,4:good,,0.74,355
77,4:good,4:good,,0.639,356
78,5:best,4:good,+,0.903,360
79,5:best,4:good,+,0.693,361
80,4:good,4:good,,0.643,368
81,4:good,3:average,+,0.507,375
82,5:best,4:good,+,0.922,380
83,3:average,2:low,+,0.661,390
84,4:good,3:average,+,0.511,396
85,1:none,1:none,,0.923,398
86,4:good,3:average,+,0.469,404
87,4:good,3:average,+,0.532,408
88,3:average,2:low,+,0.748,409
89,1:none,1:none,,0.758,411
90,2:low,3:average,+,0.429,417
91,5:best,4:good,+,0.659,420
92,3:average,3:average,,0.497,423
93,2:low,2:low,,0.647,424
94,5:best,4:good,+,0.832,428
95,1:none,1:none,,0.986,430
96,1:none,2:low,+,0.594,436
97,4:good,4:good,,0.798,439
98,4:good,4:good,,0.807,448
99,4:good,2:low,+,0.573,449
100,3:average,1:none,+,0.835,450
101,4:good,4:good,,0.516,453
102,4:good,4:good,,0.745,456
103,4:good,4:good,,0.741,468
104,2:low,3:average,+,0.433,469
105,4:good,4:good,,0.752,470
106,4:good,4:good,,0.7,477
107,4:good,4:good,,0.637,478
108,4:good,4:good,,0.655,485
109,3:average,4:good,+,0.78,487
110,4:good,4:good,,0.698,503
111,3:average,3:average,,0.563,517
112,1:none,1:none,,0.818,527
113,2:low,3:average,+,0.582,549
114,5:best,4:good,+,0.828,554
115,5:best,4:good,+,0.603,570
116,4:good,4:good,,0.612,571
117,4:good,4:good,,0.679,576
118,3:average,4:good,+,0.742,583
119,4:good,5:best,+,0.588,585
120,4:good,4:good,,0.707,587
121,5:best,4:good,+,0.665,593
122,5:best,5:best,,0.714,599
123,5:best,4:good,+,0.539,606
124,5:best,5:best,,0.71,609
125,1:none,1:none,,0.426,610
126,4:good,4:good,,0.567,611
127,2:low,2:low,,0.498,617
128,4:good,4:good,,0.804,619
129,1:none,1:none,,0.693,629
130,1:none,3:average,+,0.497,631
131,2:low,3:average,+,0.898,638
132,4:good,3:average,+,0.38,643
133,3:average,5:best,+,0.491,655
134,4:good,5:best,+,0.806,659
135,1:none,4:good,+,0.734,664
136,1:none,4:good,+,0.62,666
137,1:none,4:good,+,0.506,669
138,1:none,5:best,+,0.643,680
139,1:none,4:good,+,0.563,683
140,1:none,4:good,+,0.618,685
141,1:none,5:best,+,0.61,694
142,1:none,5:best,+,0.522,702
143,1:none,4:good,+,0.512,703
144,1:none,5:best,+,0.778,714
145,1:none,5:best,+,0.739,716
146,1:none,5:best,+,0.727,722
147,3:average,4:good,+,0.839,731
148,4:good,4:good,,0.943,732

