inst#,actual,predicted,error,prediction,ID
1,2:2,2:2,,0.572,2
2,2:2,3:3,+,0.504,13
3,1:1,1:1,,0.483,18
4,3:3,1:1,+,0.573,20
5,2:2,1:1,+,0.81,21
6,1:1,1:1,,0.462,37
7,2:2,1:1,+,0.622,39
8,3:3,2:2,+,0.513,41
9,2:2,3:3,+,0.515,49
10,2:2,1:1,+,0.505,53
11,1:1,1:1,,0.408,57
12,1:1,3:3,+,0.361,71
13,3:3,2:2,+,0.487,72
14,3:3,3:3,,0.669,83
15,3:3,3:3,,0.643,84
16,3:3,3:3,,0.945,85
17,3:3,3:3,,0.498,91
18,3:3,3:3,,0.617,105
19,2:2,2:2,,0.596,113
20,3:3,2:2,+,0.449,115
21,3:3,3:3,,0.806,128
22,2:2,2:2,,0.427,140
23,3:3,3:3,,0.658,142
24,2:2,3:3,+,0.631,151
25,3:3,2:2,+,0.484,158
26,3:3,3:3,,0.955,159
27,3:3,3:3,,0.966,163
28,3:3,3:3,,0.851,169
29,3:3,3:3,,0.539,185
30,1:1,1:1,,0.771,207
31,2:2,3:3,+,0.735,213
32,1:1,1:1,,1,237
33,1:1,1:1,,0.936,243
34,3:3,2:2,+,0.568,252
35,3:3,2:2,+,0.438,261
36,3:3,1:1,+,0.376,269
37,3:3,3:3,,0.812,273
38,3:3,3:3,,0.854,275
39,3:3,3:3,,0.81,277
40,1:1,1:1,,0.773,281
41,2:2,3:3,+,0.471,286
42,3:3,3:3,,0.875,287
43,3:3,3:3,,0.812,290
44,3:3,3:3,,0.865,294
45,1:1,1:1,,0.958,297
46,2:2,1:1,+,0.458,300
47,1:1,1:1,,0.589,303
48,2:2,3:3,+,0.573,304
49,1:1,1:1,,1,306
50,3:3,3:3,,0.88,307
51,3:3,2:2,+,0.525,311
52,3:3,3:3,,0.504,316
53,1:1,1:1,,0.968,323
54,3:3,2:2,+,0.496,340
55,3:3,3:3,,0.555,342
56,1:1,3:3,+,0.71,344
57,1:1,1:1,,0.938,347
58,1:1,1:1,,0.683,348
59,3:3,2:2,+,0.531,349
60,3:3,2:2,+,0.645,352
61,2:2,1:1,+,0.657,353
