inst#,actual,predicted,error,prediction,ID
1,1:1,1:1,,0.981,15
2,1:1,2:2,+,0.704,23
3,1:1,1:1,,0.823,29
4,1:1,2:2,+,0.417,30
5,1:1,1:1,,0.962,32
6,1:1,2:2,+,0.831,43
7,1:1,1:1,,0.533,44
8,1:1,1:1,,0.884,49
9,1:1,2:2,+,0.687,51
10,1:1,2:2,+,0.734,56
11,1:1,1:1,,0.937,58
12,1:1,2:2,+,0.437,59
13,1:1,1:1,,0.572,63
14,1:1,1:1,,0.554,65
15,1:1,1:1,,0.545,67
16,1:1,1:1,,0.647,70
17,1:1,1:1,,0.911,76
18,1:1,3:3,+,0.573,78
19,1:1,2:2,+,0.852,81
20,1:1,1:1,,0.572,99
21,1:1,1:1,,0.964,101
22,1:1,2:2,+,0.441,107
23,1:1,3:3,+,0.526,111
24,1:1,2:2,+,0.573,115
25,1:1,3:3,+,0.611,123
26,1:1,1:1,,0.929,128
27,1:1,1:1,,0.897,141
28,1:1,1:1,,0.57,163
29,1:1,1:1,,0.899,168
30,1:1,1:1,,0.949,175
31,1:1,3:3,+,0.49,184
32,1:1,1:1,,0.993,192
33,1:1,1:1,,0.712,196
34,1:1,1:1,,0.912,198
35,1:1,3:3,+,0.582,203
36,1:1,2:2,+,0.573,208
37,1:1,1:1,,0.721,218
38,1:1,3:3,+,0.582,220
39,1:1,3:3,+,0.466,231
40,1:1,3:3,+,0.565,233
41,1:1,3:3,+,0.521,236
42,1:1,3:3,+,0.544,237
43,1:1,3:3,+,0.58,239
44,1:1,3:3,+,0.523,240
45,1:1,2:2,+,0.417,244
46,1:1,2:2,+,0.573,247
47,1:1,1:1,,0.349,259
48,1:1,1:1,,0.811,261
49,1:1,2:2,+,0.573,270
50,1:1,3:3,+,0.547,271
51,1:1,3:3,+,0.466,274
52,1:1,3:3,+,0.487,275
53,1:1,1:1,,0.943,277
54,1:1,1:1,,0.99,289
55,1:1,2:2,+,0.704,297
56,1:1,3:3,+,0.553,303
57,1:1,1:1,,0.823,306
58,1:1,3:3,+,0.523,309
59,1:1,1:1,,0.501,310
60,1:1,1:1,,0.589,316
61,1:1,2:2,+,0.713,322
62,1:1,2:2,+,0.616,324
63,1:1,1:1,,0.648,332
64,1:1,1:1,,0.499,339
65,1:1,1:1,,0.858,342
66,1:1,3:3,+,0.544,344
67,1:1,1:1,,0.669,350
68,1:1,1:1,,0.967,351
69,1:1,1:1,,0.693,353
70,1:1,3:3,+,0.573,354
71,1:1,1:1,,0.984,358
72,1:1,1:1,,0.469,361
73,1:1,3:3,+,0.51,363
74,1:1,3:3,+,0.6,365
75,1:1,3:3,+,0.495,367
76,1:1,3:3,+,0.549,371
77,1:1,1:1,,0.996,374
78,1:1,1:1,,0.581,381
79,1:1,1:1,,0.911,394
80,1:1,1:1,,0.973,398
81,1:1,3:3,+,0.616,405
82,1:1,1:1,,0.54,411
83,2:2,3:3,+,0.617,415
84,2:2,2:2,,0.561,416
85,2:2,2:2,,0.573,422
86,2:2,3:3,+,0.553,423
87,2:2,2:2,,0.764,425
88,2:2,2:2,,0.704,426
89,2:2,1:1,+,0.852,427
90,2:2,3:3,+,0.553,428
91,2:2,2:2,,0.654,429
92,2:2,3:3,+,0.455,430
93,2:2,3:3,+,0.523,432
94,2:2,3:3,+,0.484,433
95,2:2,3:3,+,0.498,439
96,2:2,3:3,+,0.466,451
97,2:2,2:2,,0.573,462
98,2:2,2:2,,0.723,464
99,2:2,2:2,,0.583,478
100,2:2,2:2,,0.418,479
101,2:2,3:3,+,0.588,482
102,2:2,1:1,+,0.39,486
103,2:2,2:2,,0.515,493
104,2:2,3:3,+,0.443,494
105,2:2,2:2,,0.541,497
106,2:2,3:3,+,0.455,506
107,2:2,1:1,+,0.863,522
108,2:2,1:1,+,0.619,526
109,2:2,2:2,,0.501,528
110,2:2,1:1,+,0.46,534
111,2:2,3:3,+,0.547,535
112,2:2,3:3,+,0.441,538
113,2:2,3:3,+,0.476,543
114,2:2,2:2,,0.409,549
115,2:2,3:3,+,0.544,551
116,2:2,2:2,,0.734,560
117,2:2,3:3,+,0.487,567
118,2:2,2:2,,0.541,570
119,2:2,3:3,+,0.447,573
120,2:2,3:3,+,0.495,578
121,2:2,2:2,,0.451,582
122,2:2,2:2,,0.573,583
123,2:2,2:2,,0.734,584
124,2:2,3:3,+,0.497,588
125,2:2,3:3,+,0.545,591
126,2:2,2:2,,0.583,596
127,2:2,2:2,,0.481,601
128,2:2,2:2,,0.687,602
129,2:2,2:2,,0.541,605
130,2:2,2:2,,0.852,613
131,2:2,3:3,+,0.497,618
132,2:2,2:2,,0.704,620
133,2:2,2:2,,0.831,628
134,2:2,2:2,,0.704,629
135,3:3,1:1,+,0.67,649
136,3:3,3:3,,0.492,654
137,3:3,1:1,+,0.545,660
138,3:3,3:3,,0.514,668
139,3:3,3:3,,0.441,674
140,3:3,3:3,,0.617,677
141,3:3,2:2,+,0.417,678
142,3:3,1:1,+,0.579,680
143,3:3,2:2,+,0.573,682
144,3:3,3:3,,0.582,701
145,3:3,1:1,+,0.572,705
146,3:3,3:3,,0.573,710
147,3:3,2:2,+,0.723,720
148,3:3,2:2,+,0.577,722
149,3:3,2:2,+,0.573,724
150,3:3,1:1,+,0.507,737
151,3:3,3:3,,0.523,741
152,3:3,2:2,+,0.515,752
153,3:3,1:1,+,0.572,754
154,3:3,2:2,+,0.573,755
155,3:3,3:3,,0.616,764
156,3:3,2:2,+,0.515,767
157,3:3,3:3,,0.497,770
158,3:3,2:2,+,0.451,771
159,3:3,2:2,+,0.665,778
160,3:3,2:2,+,0.451,780
161,3:3,1:1,+,0.532,787
162,3:3,1:1,+,0.594,802
163,3:3,3:3,,0.582,807
164,3:3,1:1,+,0.499,810
165,3:3,3:3,,0.62,812
166,3:3,3:3,,0.544,817
167,3:3,3:3,,0.546,818
168,3:3,3:3,,0.435,838
169,3:3,3:3,,0.547,843
170,3:3,3:3,,0.547,844
171,3:3,1:1,+,0.906,846
172,3:3,3:3,,0.617,852
173,3:3,3:3,,0.564,859
174,3:3,1:1,+,0.566,861
175,3:3,1:1,+,0.545,865
176,3:3,3:3,,0.5,869
177,3:3,3:3,,0.582,873
178,3:3,3:3,,0.621,874
179,3:3,3:3,,0.564,882
180,3:3,3:3,,0.573,886
181,3:3,3:3,,0.495,889
182,3:3,1:1,+,0.349,893
183,3:3,1:1,+,0.67,904
184,3:3,2:2,+,0.622,916
185,3:3,3:3,,0.43,918
186,3:3,1:1,+,0.859,922
187,3:3,1:1,+,0.533,923
188,3:3,1:1,+,0.608,924
189,3:3,3:3,,0.488,925
190,3:3,1:1,+,0.497,926
191,3:3,2:2,+,0.481,931
192,3:3,2:2,+,0.536,937
193,3:3,3:3,,0.545,939
194,3:3,1:1,+,0.669,944
195,3:3,1:1,+,0.507,946
196,3:3,3:3,,0.582,948
197,3:3,1:1,+,0.486,949
198,3:3,3:3,,0.523,962
