inst#,actual,predicted,error,prediction,ID
1,3:average,2:low,+,0.955,8
2,3:average,2:low,+,0.923,26
3,4:good,4:good,,0.996,36
4,4:good,4:good,,0.998,37
5,5:best,4:good,+,0.966,50
6,4:good,4:good,,0.952,53
7,4:good,4:good,,0.554,67
8,4:good,4:good,,0.844,74
9,3:average,2:low,+,0.784,103
10,5:best,5:best,,0.537,111
11,5:best,5:best,,0.896,112
12,5:best,5:best,,0.666,115
13,2:low,2:low,,0.998,119
14,1:none,1:none,,0.909,122
15,4:good,2:low,+,0.757,123
16,5:best,5:best,,0.544,127
17,4:good,4:good,,0.922,129
18,1:none,2:low,+,0.997,143
19,1:none,2:low,+,0.994,146
20,2:low,2:low,,0.844,147
21,2:low,2:low,,0.965,150
22,4:good,2:low,+,0.583,151
23,4:good,3:average,+,0.682,152
24,5:best,3:average,+,0.544,157
25,2:low,2:low,,0.995,162
26,3:average,2:low,+,0.971,168
27,5:best,4:good,+,0.966,175
28,4:good,3:average,+,0.643,183
29,2:low,2:low,,0.997,186
30,2:low,2:low,,0.988,193
31,4:good,3:average,+,0.625,194
32,4:good,2:low,+,0.828,197
33,5:best,4:good,+,0.736,202
34,5:best,3:average,+,0.753,207
35,4:good,4:good,,0.772,219
36,5:best,4:good,+,0.992,224
37,4:good,3:average,+,0.459,225
38,4:good,3:average,+,0.743,226
39,4:good,4:good,,0.73,229
40,2:low,2:low,,0.74,232
41,2:low,2:low,,0.872,233
42,1:none,2:low,+,0.749,237
43,1:none,2:low,+,0.525,246
44,1:none,3:average,+,0.828,253
45,1:none,1:none,,0.722,258
46,2:low,2:low,,0.819,262
47,1:none,2:low,+,0.847,263
48,3:average,3:average,,0.568,267
49,2:low,2:low,,0.664,279
50,2:low,2:low,,0.897,282
51,3:average,3:average,,0.794,293
52,3:average,3:average,,0.923,297
53,3:average,3:average,,0.859,303
54,5:best,4:good,+,0.881,309
55,5:best,3:average,+,0.891,317
56,5:best,4:good,+,0.897,325
57,4:good,4:good,,0.759,347
58,4:good,4:good,,0.927,348
59,3:average,4:good,+,0.522,358
60,1:none,3:average,+,0.785,364
61,4:good,4:good,,0.989,365
62,4:good,4:good,,0.82,370
63,4:good,4:good,,0.525,373
64,3:average,4:good,+,0.905,374
65,4:good,4:good,,0.838,376
66,4:good,4:good,,0.944,383
67,1:none,1:none,,0.567,384
68,4:good,4:good,,0.966,386
69,3:average,2:low,+,0.747,400
70,2:low,2:low,,0.762,402
71,3:average,3:average,,0.869,403
72,4:good,3:average,+,0.754,407
73,2:low,3:average,+,0.816,410
74,1:none,1:none,,0.781,414
75,1:none,1:none,,0.836,415
76,5:best,3:average,+,0.94,419
77,3:average,3:average,,0.897,421
78,4:good,4:good,,0.987,437
79,5:best,4:good,+,0.99,438
80,2:low,4:good,+,0.879,441
81,3:average,4:good,+,0.979,442
82,4:good,4:good,,0.995,444
83,3:average,2:low,+,0.926,452
84,2:low,4:good,+,0.943,463
85,4:good,4:good,,0.987,472
86,4:good,4:good,,0.999,480
87,4:good,4:good,,0.992,488
88,3:average,3:average,,0.977,496
89,1:none,2:low,+,0.84,505
90,3:average,3:average,,0.98,506
91,1:none,2:low,+,0.91,507
92,1:none,1:none,,0.367,509
93,1:none,2:low,+,0.956,515
94,4:good,3:average,+,0.877,516
95,4:good,3:average,+,0.586,525
96,4:good,3:average,+,0.938,528
97,4:good,3:average,+,0.904,529
98,3:average,3:average,,0.988,530
99,4:good,3:average,+,0.957,532
100,1:none,1:none,,0.475,538
101,4:good,3:average,+,0.918,539
102,1:none,2:low,+,0.729,543
103,4:good,4:good,,0.701,552
104,4:good,3:average,+,0.97,557
105,3:average,3:average,,0.966,559
106,3:average,3:average,,0.981,567
107,4:good,3:average,+,0.657,568
108,1:none,2:low,+,0.627,572
109,4:good,4:good,,0.992,575
110,4:good,4:good,,0.993,578
111,4:good,4:good,,0.994,580
112,4:good,4:good,,0.995,581
113,4:good,4:good,,0.993,584
114,4:good,4:good,,0.986,586
115,4:good,4:good,,0.987,588
116,5:best,4:good,+,0.988,596
117,4:good,4:good,,0.996,597
118,5:best,4:good,+,0.936,601
119,4:good,4:good,,0.993,605
120,1:none,1:none,,0.43,613
121,4:good,4:good,,0.991,620
122,5:best,4:good,+,0.941,625
123,2:low,2:low,,0.382,626
124,4:good,4:good,,0.975,627
125,1:none,2:low,+,0.84,633
126,2:low,2:low,,0.968,635
127,5:best,3:average,+,0.808,636
128,5:best,3:average,+,0.921,637
129,3:average,3:average,,0.943,640
130,3:average,2:low,+,0.834,652
131,5:best,3:average,+,0.847,653
132,3:average,3:average,,0.967,657
133,1:none,1:none,,1,668
134,1:none,1:none,,1,671
135,1:none,1:none,,1,679
136,1:none,1:none,,1,692
137,1:none,1:none,,1,693
138,1:none,1:none,,1,698
139,1:none,1:none,,1,701
140,1:none,1:none,,1,706
141,1:none,1:none,,1,709
142,1:none,1:none,,1,710
143,1:none,1:none,,1,712
144,1:none,1:none,,1,719
145,1:none,1:none,,1,724
146,1:none,1:none,,1,728
147,1:none,1:none,,1,730

