inst#,actual,predicted,error,prediction,ID
1,1:cp,1:cp,,0.963,3
2,1:cp,3:pp,+,0.944,5
3,1:cp,1:cp,,0.963,7
4,1:cp,1:cp,,0.963,9
5,1:cp,1:cp,,0.963,16
6,1:cp,1:cp,,0.963,25
7,1:cp,1:cp,,0.963,33
8,1:cp,1:cp,,0.963,42
9,1:cp,1:cp,,0.963,45
10,1:cp,1:cp,,0.963,46
11,1:cp,1:cp,,0.963,55
12,1:cp,1:cp,,0.963,57
13,1:cp,1:cp,,0.963,63
14,1:cp,1:cp,,0.963,72
15,1:cp,1:cp,,0.963,73
16,1:cp,1:cp,,0.963,75
17,1:cp,1:cp,,0.963,76
18,1:cp,1:cp,,0.963,77
19,1:cp,1:cp,,0.963,78
20,1:cp,1:cp,,0.963,82
21,1:cp,1:cp,,0.963,84
22,1:cp,1:cp,,0.963,90
23,1:cp,1:cp,,0.963,94
24,1:cp,1:cp,,0.963,101
25,1:cp,1:cp,,0.963,108
26,1:cp,1:cp,,0.963,110
27,1:cp,1:cp,,0.963,113
28,1:cp,1:cp,,0.963,116
29,1:cp,1:cp,,0.963,118
30,1:cp,1:cp,,0.963,132
31,1:cp,1:cp,,0.963,139
32,1:cp,1:cp,,0.963,140
33,2:im,1:cp,+,0.963,144
34,2:im,2:im,,0.95,148
35,2:im,2:im,,0.95,153
36,2:im,2:im,,0.95,158
37,2:im,2:im,,0.95,165
38,2:im,2:im,,0.95,180
39,2:im,4:imU,+,0.636,181
40,2:im,6:omL,+,0.667,182
41,2:im,1:cp,+,0.963,183
42,2:im,2:im,,0.95,193
43,2:im,4:imU,+,0.636,194
44,2:im,2:im,,0.95,197
45,2:im,2:im,,0.95,199
46,8:imS,4:imU,+,0.81,220
47,4:imU,4:imU,,0.636,224
48,4:imU,4:imU,,0.81,229
49,4:imU,2:im,+,0.95,245
50,4:imU,4:imU,,0.81,255
51,5:om,5:om,,0.846,261
52,5:om,3:pp,+,0.944,265
53,5:om,4:imU,+,0.81,266
54,5:om,5:om,,0.846,272
55,5:om,5:om,,0.846,275
56,5:om,5:om,,0.846,277
57,6:omL,6:omL,,0.667,283
58,3:pp,3:pp,,0.944,295
59,3:pp,3:pp,,0.944,298
60,3:pp,2:im,+,0.95,299
61,3:pp,3:pp,,0.944,302
62,3:pp,3:pp,,0.944,303
63,3:pp,4:imU,+,0.81,311
64,3:pp,2:im,+,0.95,314
65,3:pp,1:cp,+,0.963,325
66,3:pp,3:pp,,0.944,326
67,3:pp,3:pp,,0.944,328
68,3:pp,1:cp,+,0.963,333

