inst#,actual,predicted,error,prediction,ID
1,1:'build wind float',1:build wind float,,0.661,0
2,1:'build wind float',1:build wind float,,0.382,2
3,2:'build wind non-float',2:build wind non-float,,0.56,4
4,3:'vehic wind float',1:build wind float,+,0.934,6
5,2:'build wind non-float',2:build wind non-float,,0.971,10
6,2:'build wind non-float',1:build wind float,+,0.977,11
7,2:'build wind non-float',1:build wind float,+,0.661,22
8,7:headlamps,7:headlamps,,0.999,27
9,6:tableware,6:tableware,,0.778,32
10,2:'build wind non-float',2:build wind non-float,,0.996,33
11,1:'build wind float',2:build wind non-float,+,0.996,36
12,5:containers,7:headlamps,+,0.981,46
13,1:'build wind float',1:build wind float,,0.783,61
14,1:'build wind float',3:vehic wind float,+,0.386,62
15,6:tableware,6:tableware,,0.984,70
16,1:'build wind float',2:build wind non-float,+,0.528,77
17,2:'build wind non-float',2:build wind non-float,,0.862,85
18,7:headlamps,7:headlamps,,0.999,90
19,1:'build wind float',1:build wind float,,0.697,112
20,7:headlamps,7:headlamps,,0.999,113
21,3:'vehic wind float',2:build wind non-float,+,0.736,114
22,7:headlamps,1:build wind float,+,0.783,115
23,2:'build wind non-float',6:tableware,+,0.574,118
24,2:'build wind non-float',2:build wind non-float,,0.59,122
25,5:containers,5:containers,,0.868,124
26,1:'build wind float',1:build wind float,,0.934,125
27,7:headlamps,7:headlamps,,0.984,132
28,1:'build wind float',1:build wind float,,0.977,140
29,1:'build wind float',3:vehic wind float,+,0.479,142
30,5:containers,7:headlamps,+,0.525,143
31,2:'build wind non-float',2:build wind non-float,,0.998,146
32,2:'build wind non-float',1:build wind float,+,0.605,153
33,3:'vehic wind float',3:vehic wind float,,0.386,154
34,1:'build wind float',1:build wind float,,0.977,155
35,2:'build wind non-float',1:build wind float,+,0.783,159
36,7:headlamps,7:headlamps,,0.999,162
37,1:'build wind float',1:build wind float,,0.697,165
38,1:'build wind float',1:build wind float,,0.697,176
39,2:'build wind non-float',2:build wind non-float,,0.971,180
40,6:tableware,6:tableware,,0.984,192
41,2:'build wind non-float',1:build wind float,+,0.382,204
42,1:'build wind float',3:vehic wind float,+,0.386,205
43,1:'build wind float',1:build wind float,,0.934,208

