inst#,actual,predicted,error,prediction,ID
1,2:+,2:+,,0.881,1
2,1:-,1:-,,0.881,3
3,1:-,1:-,,0.881,13
4,2:+,2:+,,0.881,27
5,1:-,1:-,,0.881,29
6,1:-,1:-,,0.881,30
7,1:-,1:-,,0.881,36
8,2:+,2:+,,0.881,42
9,2:+,2:+,,0.881,52
10,1:-,1:-,,0.881,66
11,1:-,1:-,,0.881,70
12,1:-,1:-,,0.881,75
13,2:+,2:+,,0.881,86
14,2:+,2:+,,0.881,90
15,2:+,2:+,,0.881,96
16,1:-,1:-,,0.881,97
17,1:-,1:-,,0.881,99
18,2:+,2:+,,0.881,101
19,2:+,2:+,,0.881,108
20,2:+,2:+,,0.881,116
21,2:+,2:+,,0.881,121
22,2:+,2:+,,0.881,128
23,2:+,2:+,,0.881,133
24,2:+,2:+,,0.881,137
25,2:+,2:+,,0.881,141
26,2:+,2:+,,0.881,142
27,2:+,2:+,,0.881,143
28,2:+,2:+,,0.881,144
29,2:+,2:+,,0.881,145
30,2:+,2:+,,0.881,149
31,2:+,2:+,,0.881,160
32,2:+,2:+,,0.881,168
33,2:+,2:+,,0.881,178
34,2:+,2:+,,0.881,179
35,2:+,2:+,,0.881,180
36,2:+,2:+,,0.881,185
37,2:+,2:+,,0.881,187
38,1:-,1:-,,0.881,197
39,2:+,2:+,,0.881,201
40,2:+,2:+,,0.881,205
41,1:-,1:-,,0.881,209
42,2:+,2:+,,0.881,228
43,2:+,2:+,,0.881,230
44,2:+,2:+,,0.881,232
45,2:+,2:+,,0.881,234
46,1:-,1:-,,0.881,237
47,2:+,2:+,,0.881,239
48,1:-,1:-,,0.881,241
49,1:-,1:-,,0.881,247
50,1:-,1:-,,0.881,250
51,1:-,1:-,,0.881,251
52,1:-,1:-,,0.881,254
53,1:-,1:-,,0.881,255
54,2:+,2:+,,0.881,261
55,1:-,1:-,,0.881,264
56,1:-,1:-,,0.881,267
57,2:+,2:+,,0.881,280
58,2:+,2:+,,0.881,288
59,2:+,2:+,,0.881,290

