inst#,actual,predicted,error,prediction,ID
1,1:cp,1:cp,,0.551,3
2,1:cp,1:cp,,0.704,5
3,1:cp,1:cp,,0.958,7
4,1:cp,1:cp,,0.937,9
5,1:cp,1:cp,,0.947,16
6,1:cp,1:cp,,0.884,25
7,1:cp,1:cp,,0.954,33
8,1:cp,1:cp,,0.905,42
9,1:cp,1:cp,,0.851,45
10,1:cp,1:cp,,0.713,46
11,1:cp,1:cp,,0.766,55
12,1:cp,1:cp,,0.949,57
13,1:cp,1:cp,,0.968,63
14,1:cp,1:cp,,0.922,72
15,1:cp,1:cp,,0.903,73
16,1:cp,1:cp,,0.953,75
17,1:cp,1:cp,,0.906,76
18,1:cp,1:cp,,0.859,77
19,1:cp,1:cp,,0.952,78
20,1:cp,1:cp,,0.953,82
21,1:cp,1:cp,,0.803,84
22,1:cp,1:cp,,0.926,90
23,1:cp,1:cp,,0.948,94
24,1:cp,1:cp,,0.846,101
25,1:cp,1:cp,,0.91,108
26,1:cp,1:cp,,0.959,110
27,1:cp,1:cp,,0.959,113
28,1:cp,1:cp,,0.946,116
29,1:cp,1:cp,,0.859,118
30,1:cp,1:cp,,0.955,132
31,1:cp,1:cp,,0.962,139
32,1:cp,1:cp,,0.851,140
33,2:im,1:cp,+,0.799,144
34,2:im,2:im,,0.855,148
35,2:im,2:im,,0.746,153
36,2:im,2:im,,0.826,158
37,2:im,2:im,,0.658,165
38,2:im,2:im,,0.646,180
39,2:im,2:im,,0.473,181
40,2:im,2:im,,0.723,182
41,2:im,1:cp,+,0.862,183
42,2:im,2:im,,0.939,193
43,2:im,2:im,,0.639,194
44,2:im,2:im,,0.804,197
45,2:im,2:im,,0.908,199
46,8:imS,3:pp,+,0.574,220
47,4:imU,4:imU,,0.532,224
48,4:imU,4:imU,,0.712,229
49,4:imU,2:im,+,0.841,245
50,4:imU,4:imU,,0.604,255
51,5:om,3:pp,+,0.503,261
52,5:om,5:om,,0.342,265
53,5:om,5:om,,0.357,266
54,5:om,3:pp,+,0.331,272
55,5:om,5:om,,0.402,275
56,5:om,3:pp,+,0.595,277
57,6:omL,4:imU,+,0.32,283
58,3:pp,3:pp,,0.731,295
59,3:pp,3:pp,,0.735,298
60,3:pp,3:pp,,0.561,299
61,3:pp,2:im,+,0.552,302
62,3:pp,3:pp,,0.722,303
63,3:pp,3:pp,,0.75,311
64,3:pp,2:im,+,0.595,314
65,3:pp,1:cp,+,0.906,325
66,3:pp,3:pp,,0.767,326
67,3:pp,3:pp,,0.749,328
68,3:pp,3:pp,,0.482,333

