inst#,actual,predicted,error,prediction,ID
1,1:cp,1:cp,,0.981,6
2,1:cp,1:cp,,0.981,10
3,1:cp,1:cp,,0.981,15
4,1:cp,1:cp,,0.981,17
5,1:cp,1:cp,,0.981,18
6,1:cp,1:cp,,0.981,19
7,1:cp,1:cp,,0.981,22
8,1:cp,1:cp,,0.981,24
9,1:cp,1:cp,,0.981,30
10,1:cp,1:cp,,0.981,31
11,1:cp,1:cp,,0.981,39
12,1:cp,1:cp,,0.981,56
13,1:cp,1:cp,,0.981,59
14,1:cp,1:cp,,0.981,60
15,1:cp,1:cp,,0.981,66
16,1:cp,1:cp,,0.981,69
17,1:cp,1:cp,,0.981,79
18,1:cp,1:cp,,0.981,81
19,1:cp,1:cp,,0.981,92
20,1:cp,1:cp,,0.981,93
21,1:cp,1:cp,,0.981,96
22,1:cp,3:pp,+,0.947,97
23,1:cp,1:cp,,0.981,104
24,1:cp,1:cp,,0.981,109
25,1:cp,1:cp,,0.981,111
26,1:cp,1:cp,,0.981,114
27,1:cp,1:cp,,0.981,119
28,1:cp,1:cp,,1,124
29,1:cp,1:cp,,0.981,126
30,1:cp,1:cp,,0.981,137
31,2:im,2:im,,0.932,143
32,2:im,4:imU,+,1,145
33,2:im,2:im,,0.932,147
34,2:im,2:im,,0.932,155
35,2:im,2:im,,1,157
36,2:im,2:im,,0.932,163
37,2:im,4:imU,+,1,168
38,2:im,2:im,,0.932,172
39,2:im,2:im,,0.932,173
40,2:im,2:im,,0.932,177
41,2:im,2:im,,0.932,179
42,2:im,2:im,,0.932,195
43,2:im,2:im,,0.932,198
44,2:im,2:im,,0.932,203
45,2:im,2:im,,0.932,208
46,2:im,2:im,,0.8,210
47,2:im,2:im,,0.932,211
48,8:imS,4:imU,+,1,221
49,4:imU,2:im,+,0.8,227
50,4:imU,4:imU,,1,228
51,4:imU,2:im,+,0.932,231
52,4:imU,4:imU,,1,232
53,4:imU,4:imU,,1,237
54,4:imU,2:im,+,1,238
55,4:imU,3:pp,+,1,246
56,4:imU,2:im,+,1,247
57,4:imU,4:imU,,1,253
58,4:imU,4:imU,,1,256
59,5:om,3:pp,+,0.947,260
60,5:om,5:om,,1,271
61,3:pp,3:pp,,0.947,286
62,3:pp,3:pp,,0.947,290
63,3:pp,3:pp,,0.947,294
64,3:pp,3:pp,,0.947,296
65,3:pp,3:pp,,0.947,316
66,3:pp,3:pp,,0.947,318
67,3:pp,3:pp,,0.947,322

