inst#,actual,predicted,error,prediction,ID
1,2:low,2:low,,0.966,2
2,2:low,2:low,,0.931,10
3,4:good,4:good,,0.751,23
4,2:low,2:low,,0.72,30
5,5:best,5:best,,0.552,31
6,4:good,4:good,,0.811,33
7,5:best,5:best,,0.824,39
8,4:good,4:good,,0.996,44
9,4:good,5:best,+,0.673,49
10,3:average,4:good,+,0.84,54
11,1:none,4:good,+,1,55
12,4:good,4:good,,0.939,60
13,4:good,4:good,,0.972,63
14,4:good,3:average,+,0.559,65
15,4:good,4:good,,0.936,66
16,1:none,1:none,,0.997,69
17,4:good,4:good,,0.865,70
18,4:good,4:good,,0.986,72
19,1:none,1:none,,0.999,76
20,4:good,3:average,+,0.74,77
21,2:low,2:low,,0.595,78
22,2:low,2:low,,0.9,79
23,5:best,3:average,+,0.862,81
24,5:best,4:good,+,0.755,84
25,1:none,1:none,,0.847,86
26,1:none,2:low,+,0.871,90
27,5:best,5:best,,0.513,97
28,2:low,2:low,,0.968,101
29,1:none,1:none,,1,109
30,1:none,2:low,+,1,118
31,5:best,4:good,+,1,120
32,5:best,4:good,+,0.562,131
33,2:low,1:none,+,0.99,133
34,5:best,4:good,+,0.598,148
35,2:low,3:average,+,0.713,155
36,4:good,4:good,,0.759,158
37,2:low,3:average,+,0.904,164
38,4:good,4:good,,0.873,174
39,3:average,3:average,,0.735,192
40,5:best,5:best,,0.554,198
41,5:best,5:best,,0.815,199
42,3:average,3:average,,0.735,204
43,2:low,3:average,+,0.765,208
44,2:low,1:none,+,0.915,210
45,2:low,1:none,+,0.586,211
46,3:average,3:average,,0.555,212
47,3:average,3:average,,0.396,215
48,5:best,4:good,+,0.736,223
49,3:average,2:low,+,1,234
50,1:none,2:low,+,0.995,235
51,1:none,2:low,+,0.998,239
52,1:none,3:average,+,0.934,247
53,1:none,3:average,+,0.881,248
54,1:none,3:average,+,0.947,250
55,1:none,1:none,,1,259
56,2:low,2:low,,0.982,264
57,4:good,2:low,+,0.514,266
58,3:average,3:average,,0.992,275
59,2:low,2:low,,1,286
60,1:none,1:none,,1,290
61,2:low,2:low,,0.919,294
62,2:low,1:none,+,0.98,306
63,3:average,3:average,,0.74,311
64,1:none,2:low,+,0.992,319
65,3:average,2:low,+,0.999,323
66,3:average,2:low,+,0.884,324
67,4:good,4:good,,0.903,329
68,4:good,4:good,,0.921,331
69,3:average,3:average,,0.925,332
70,4:good,4:good,,0.933,334
71,2:low,1:none,+,0.997,342
72,4:good,4:good,,0.932,346
73,4:good,4:good,,0.867,349
74,3:average,3:average,,0.936,351
75,3:average,3:average,,0.717,352
76,4:good,4:good,,0.864,355
77,4:good,4:good,,0.849,356
78,5:best,4:good,+,1,360
79,5:best,4:good,+,0.858,361
80,4:good,4:good,,0.917,368
81,4:good,3:average,+,0.95,375
82,5:best,4:good,+,1,380
83,3:average,3:average,,0.729,390
84,4:good,3:average,+,0.729,396
85,1:none,1:none,,0.999,398
86,4:good,4:good,,0.818,404
87,4:good,3:average,+,0.556,408
88,3:average,2:low,+,0.934,409
89,1:none,2:low,+,0.726,411
90,2:low,2:low,,0.974,417
91,5:best,4:good,+,0.699,420
92,3:average,3:average,,0.609,423
93,2:low,2:low,,0.985,424
94,5:best,4:good,+,0.722,428
95,1:none,1:none,,0.991,430
96,1:none,2:low,+,0.999,436
97,4:good,4:good,,0.882,439
98,4:good,4:good,,0.91,448
99,4:good,2:low,+,0.961,449
100,3:average,1:none,+,1,450
101,4:good,3:average,+,0.813,453
102,4:good,4:good,,0.793,456
103,4:good,4:good,,0.746,468
104,2:low,2:low,,0.669,469
105,4:good,3:average,+,0.73,470
106,4:good,4:good,,0.84,477
107,4:good,4:good,,0.754,478
108,4:good,4:good,,0.775,485
109,3:average,4:good,+,0.617,487
110,4:good,4:good,,0.715,503
111,3:average,3:average,,0.779,517
112,1:none,1:none,,0.958,527
113,2:low,2:low,,0.994,549
114,5:best,4:good,+,0.941,554
115,5:best,4:good,+,0.614,570
116,4:good,4:good,,0.663,571
117,4:good,4:good,,0.869,576
118,3:average,4:good,+,0.95,583
119,4:good,4:good,,0.508,585
120,4:good,4:good,,0.938,587
121,5:best,4:good,+,0.895,593
122,5:best,5:best,,0.841,599
123,5:best,5:best,,0.819,606
124,5:best,5:best,,0.835,609
125,1:none,3:average,+,0.964,610
126,4:good,4:good,,0.51,611
127,2:low,2:low,,0.64,617
128,4:good,4:good,,0.905,619
129,1:none,1:none,,0.841,629
130,1:none,2:low,+,0.95,631
131,2:low,3:average,+,0.999,638
132,4:good,5:best,+,0.801,643
133,3:average,5:best,+,0.662,655
134,4:good,5:best,+,0.862,659
135,1:none,1:none,,1,664
136,1:none,1:none,,1,666
137,1:none,1:none,,1,669
138,1:none,1:none,,1,680
139,1:none,1:none,,1,683
140,1:none,1:none,,1,685
141,1:none,1:none,,1,694
142,1:none,1:none,,1,702
143,1:none,1:none,,1,703
144,1:none,1:none,,1,714
145,1:none,1:none,,1,716
146,1:none,1:none,,1,722
147,3:average,3:average,,0.904,731
148,4:good,4:good,,0.516,732

