inst#,actual,predicted,error,prediction,ID
1,1:UP,2:DOWN,+,0.639,0
2,2:DOWN,2:DOWN,,0.982,6
3,2:DOWN,2:DOWN,,0.95,17
4,2:DOWN,2:DOWN,,0.963,30
5,2:DOWN,2:DOWN,,0.948,33
6,2:DOWN,2:DOWN,,0.96,34
7,1:UP,2:DOWN,+,0.953,43
8,1:UP,2:DOWN,+,0.712,46
9,2:DOWN,2:DOWN,,0.994,53
10,2:DOWN,2:DOWN,,0.989,63
11,2:DOWN,2:DOWN,,0.969,69
12,2:DOWN,2:DOWN,,0.987,80
13,2:DOWN,2:DOWN,,0.97,81
14,2:DOWN,2:DOWN,,0.986,83
15,2:DOWN,2:DOWN,,0.992,85
16,2:DOWN,2:DOWN,,0.995,88
17,2:DOWN,2:DOWN,,0.995,89
18,2:DOWN,2:DOWN,,0.994,90
19,1:UP,2:DOWN,+,0.718,92
20,2:DOWN,2:DOWN,,0.993,99
21,2:DOWN,2:DOWN,,0.994,101
22,1:UP,2:DOWN,+,0.84,104
23,1:UP,2:DOWN,+,0.68,119
24,1:UP,2:DOWN,+,0.77,120
25,1:UP,2:DOWN,+,0.772,121
26,1:UP,2:DOWN,+,0.767,122
27,1:UP,2:DOWN,+,0.712,127
28,1:UP,2:DOWN,+,0.793,130
29,2:DOWN,2:DOWN,,0.95,133
30,2:DOWN,2:DOWN,,0.985,134
31,2:DOWN,2:DOWN,,0.974,137
32,1:UP,2:DOWN,+,0.838,139
33,1:UP,2:DOWN,+,0.692,140
34,1:UP,1:UP,,0.77,142
35,1:UP,1:UP,,0.831,158
36,1:UP,1:UP,,0.899,165
37,1:UP,1:UP,,0.844,172
38,1:UP,1:UP,,0.767,177
39,2:DOWN,1:UP,+,0.588,181
40,2:DOWN,2:DOWN,,0.529,182
41,2:DOWN,2:DOWN,,0.992,187
42,2:DOWN,2:DOWN,,0.691,194
43,2:DOWN,2:DOWN,,0.723,196
44,2:DOWN,2:DOWN,,0.958,199
45,2:DOWN,2:DOWN,,0.951,212
46,2:DOWN,2:DOWN,,0.969,213
47,1:UP,1:UP,,0.691,222
48,1:UP,1:UP,,0.729,223
49,2:DOWN,2:DOWN,,0.997,239
50,2:DOWN,2:DOWN,,0.984,241
51,2:DOWN,2:DOWN,,0.98,242
52,2:DOWN,2:DOWN,,0.967,243
53,1:UP,2:DOWN,+,0.723,248
54,1:UP,2:DOWN,+,0.703,251
55,1:UP,1:UP,,0.862,264
56,2:DOWN,2:DOWN,,0.998,267
57,2:DOWN,2:DOWN,,0.998,269
58,2:DOWN,2:DOWN,,0.998,270
59,2:DOWN,2:DOWN,,0.998,272
60,2:DOWN,2:DOWN,,0.995,286
61,2:DOWN,2:DOWN,,0.99,290
62,2:DOWN,2:DOWN,,0.967,298
63,1:UP,1:UP,,0.944,310
64,1:UP,1:UP,,0.921,312
65,1:UP,1:UP,,0.924,313
66,1:UP,1:UP,,0.924,321
67,1:UP,1:UP,,0.853,326
68,1:UP,1:UP,,0.832,334
69,2:DOWN,2:DOWN,,0.787,344
70,2:DOWN,2:DOWN,,0.784,345
71,2:DOWN,2:DOWN,,0.767,346
72,2:DOWN,1:UP,+,0.56,348
73,1:UP,1:UP,,0.898,353
74,1:UP,1:UP,,0.88,355
75,1:UP,1:UP,,0.86,359
76,1:UP,1:UP,,0.886,361
77,1:UP,1:UP,,0.922,373
78,1:UP,1:UP,,0.655,376
79,2:DOWN,1:UP,+,0.654,378
80,2:DOWN,1:UP,+,0.758,379
81,1:UP,1:UP,,0.74,380
82,2:DOWN,1:UP,+,0.724,382
83,2:DOWN,1:UP,+,0.741,383
84,2:DOWN,2:DOWN,,0.614,387
85,2:DOWN,2:DOWN,,0.693,388
86,1:UP,1:UP,,0.878,397
87,1:UP,1:UP,,0.826,401
88,2:DOWN,1:UP,+,0.793,403
89,2:DOWN,1:UP,+,0.721,408
90,2:DOWN,1:UP,+,0.527,411
91,1:UP,1:UP,,0.898,418
92,1:UP,1:UP,,0.798,423
93,1:UP,1:UP,,0.899,431
94,2:DOWN,2:DOWN,,0.703,436
95,2:DOWN,1:UP,+,0.584,451
96,2:DOWN,1:UP,+,0.553,452
97,2:DOWN,2:DOWN,,0.545,455
98,2:DOWN,1:UP,+,0.693,459
99,2:DOWN,2:DOWN,,0.576,460
100,2:DOWN,1:UP,+,0.696,462
101,2:DOWN,1:UP,+,0.758,464
102,2:DOWN,1:UP,+,0.799,474
103,1:UP,1:UP,,0.858,478
104,2:DOWN,2:DOWN,,0.56,483
105,2:DOWN,2:DOWN,,0.509,484
106,2:DOWN,2:DOWN,,0.542,485
107,2:DOWN,2:DOWN,,0.562,487
108,1:UP,1:UP,,0.862,506
109,1:UP,1:UP,,0.806,513
110,2:DOWN,1:UP,+,0.794,520
111,2:DOWN,2:DOWN,,0.71,537
112,2:DOWN,2:DOWN,,0.69,538
113,2:DOWN,2:DOWN,,0.662,539
114,2:DOWN,1:UP,+,0.595,542
115,1:UP,1:UP,,0.822,549
116,2:DOWN,2:DOWN,,0.525,554
117,1:UP,1:UP,,0.956,563
118,2:DOWN,2:DOWN,,0.554,572
119,2:DOWN,2:DOWN,,0.646,574
120,2:DOWN,2:DOWN,,0.997,575
121,2:DOWN,2:DOWN,,0.992,576
122,2:DOWN,2:DOWN,,0.986,579
123,2:DOWN,2:DOWN,,0.775,586
124,1:UP,1:UP,,0.763,603
125,1:UP,1:UP,,0.774,607
126,2:DOWN,1:UP,+,0.691,616
127,2:DOWN,2:DOWN,,0.995,618
128,2:DOWN,1:UP,+,0.503,622
129,2:DOWN,2:DOWN,,0.997,623
130,2:DOWN,2:DOWN,,0.994,626
131,2:DOWN,2:DOWN,,0.995,629
132,2:DOWN,2:DOWN,,0.994,630
133,1:UP,1:UP,,0.917,644
134,1:UP,1:UP,,0.93,649
135,1:UP,1:UP,,0.905,664
136,1:UP,1:UP,,0.697,673
137,2:DOWN,1:UP,+,0.6,674
138,2:DOWN,2:DOWN,,0.772,677
139,1:UP,1:UP,,0.884,685
140,1:UP,1:UP,,0.871,697
141,1:UP,1:UP,,0.849,705
142,1:UP,1:UP,,0.901,709
143,2:DOWN,1:UP,+,0.759,710
144,1:UP,1:UP,,0.7,712
145,1:UP,1:UP,,0.815,718
146,1:UP,1:UP,,0.808,736
147,1:UP,1:UP,,0.805,738
148,1:UP,1:UP,,0.811,741
149,1:UP,1:UP,,0.733,742
150,1:UP,1:UP,,0.922,754
151,1:UP,1:UP,,0.819,762
