inst#,actual,predicted,error,prediction,ID
1,1:0,1:0,,0.994,1
2,1:0,1:0,,0.994,8
3,1:0,1:0,,0.994,13
4,1:0,1:0,,0.994,14
5,1:0,1:0,,0.994,16
6,1:0,1:0,,0.994,20
7,1:0,1:0,,0.994,21
8,1:0,1:0,,0.994,26
9,1:0,1:0,,0.994,34
10,1:0,1:0,,0.994,37
11,1:0,1:0,,0.994,40
12,1:0,1:0,,0.994,53
13,1:0,1:0,,0.994,64
14,1:0,1:0,,0.994,87
15,1:0,1:0,,0.994,91
16,1:0,1:0,,0.994,95
17,1:0,1:0,,0.994,98
18,1:0,1:0,,0.994,103
19,1:0,1:0,,0.994,112
20,1:0,1:0,,0.994,121
21,1:0,1:0,,0.994,122
22,1:0,1:0,,0.994,130
23,1:0,1:0,,0.994,134
24,1:0,1:0,,0.994,143
25,1:0,1:0,,0.994,146
26,1:0,1:0,,0.994,150
27,1:0,1:0,,0.994,151
28,1:0,1:0,,0.994,152
29,1:0,1:0,,0.994,157
30,2:1,1:0,+,0.994,160
31,1:0,1:0,,0.929,161
32,1:0,1:0,,0.994,166
33,1:0,1:0,,0.994,186
34,1:0,1:0,,0.994,187
35,1:0,1:0,,0.994,189
36,1:0,1:0,,0.929,197
37,1:0,1:0,,0.994,200
38,1:0,1:0,,0.994,201
39,3:2,3:2,,0.9,202
40,1:0,1:0,,0.994,205
41,2:1,3:2,+,0.9,206
42,1:0,1:0,,0.994,207
43,1:0,1:0,,0.994,216
44,2:1,2:1,,0.667,219
45,1:0,1:0,,0.994,225
46,1:0,1:0,,0.994,229
47,1:0,1:0,,0.994,230
48,1:0,1:0,,0.929,241
49,1:0,1:0,,0.994,246
50,1:0,1:0,,0.994,252
51,1:0,1:0,,0.994,253
52,1:0,3:2,+,0.667,262
53,1:0,1:0,,0.994,269
54,1:0,1:0,,0.994,276
55,1:0,2:1,+,1,279
56,1:0,1:0,,0.994,283
57,1:0,1:0,,0.994,288
58,1:0,1:0,,0.994,293
59,1:0,1:0,,0.994,295
60,1:0,1:0,,0.994,315
61,1:0,1:0,,0.994,317
62,1:0,1:0,,0.929,330
63,1:0,1:0,,0.994,337
64,1:0,1:0,,0.994,343
65,1:0,1:0,,0.994,345
66,1:0,1:0,,0.994,378
67,1:0,1:0,,0.994,379
68,1:0,1:0,,0.994,384
69,1:0,1:0,,1,385
70,1:0,1:0,,0.994,387
71,1:0,1:0,,0.994,391
