inst#,actual,predicted,error,prediction,ID
1,3:3,3:3,,0.991,5
2,3:3,3:3,,0.855,10
3,3:3,3:3,,1,23
4,3:3,3:3,,1,25
5,5:5,5:5,,0.931,30
6,3:3,3:3,,1,31
7,6:U,6:U,,1,33
8,3:3,3:3,,0.855,39
9,5:5,5:5,,0.577,44
10,3:3,3:3,,0.991,49
11,3:3,3:3,,0.991,54
12,6:U,6:U,,1,63
13,3:3,3:3,,0.968,65
14,5:5,5:5,,0.931,66
15,2:2,2:2,,1,67
16,3:3,3:3,,1,70
17,3:3,3:3,,0.968,72
18,2:2,3:3,+,0.909,76
19,3:3,3:3,,1,77
20,3:3,3:3,,1,78
21,2:2,2:2,,1,82
22,3:3,2:2,+,1,84
23,2:2,2:2,,1,86
24,2:2,2:2,,1,96
25,5:5,5:5,,0.577,97
26,3:3,3:3,,0.991,109
27,3:3,3:3,,0.991,110
28,3:3,3:3,,1,120
29,3:3,3:3,,0.991,136
30,3:3,3:3,,0.991,137
31,3:3,3:3,,1,139
32,3:3,3:3,,0.991,141
33,3:3,3:3,,0.855,165
34,3:3,3:3,,1,168
35,2:2,3:3,+,0.855,174
36,3:3,3:3,,0.991,192
37,3:3,3:3,,0.991,196
38,3:3,3:3,,0.991,198
39,3:3,3:3,,0.991,204
40,3:3,3:3,,0.991,208
41,3:3,3:3,,0.991,209
42,3:3,3:3,,1,210
43,3:3,5:5,+,0.577,211
44,3:3,3:3,,1,213
45,3:3,3:3,,0.855,215
46,2:2,2:2,,0.818,218
47,2:2,2:2,,1,227
48,3:3,3:3,,1,235
49,3:3,3:3,,1,239
50,3:3,3:3,,1,244
51,3:3,3:3,,0.855,247
52,3:3,3:3,,0.991,254
53,3:3,3:3,,1,259
54,5:5,5:5,,1,265
55,5:5,5:5,,1,275
56,3:3,3:3,,0.991,280
57,2:2,2:2,,1,281
58,3:3,3:3,,0.991,286
59,2:2,2:2,,0.818,291
60,3:3,3:3,,1,292
61,2:2,3:3,+,0.909,296
62,3:3,3:3,,0.968,298
63,3:3,3:3,,0.855,300
64,2:2,3:3,+,0.855,302
65,3:3,3:3,,0.855,305
66,3:3,3:3,,1,312
67,3:3,3:3,,1,316
68,3:3,3:3,,1,319
69,3:3,3:3,,1,321
70,3:3,3:3,,0.991,326
71,3:3,3:3,,0.991,327
72,3:3,3:3,,1,331
73,3:3,3:3,,0.991,332
74,3:3,3:3,,1,334
75,3:3,3:3,,1,342
76,3:3,3:3,,0.991,344
77,3:3,3:3,,0.991,350
78,3:3,3:3,,0.991,351
79,6:U,6:U,,1,360
80,3:3,3:3,,0.991,361
81,3:3,3:3,,1,362
82,3:3,3:3,,0.855,363
83,3:3,3:3,,1,367
84,3:3,3:3,,1,368
85,3:3,5:5,+,0.577,370
86,2:2,2:2,,0.818,375
87,3:3,3:3,,0.991,380
88,2:2,2:2,,0.857,409
89,3:3,3:3,,1,416
90,3:3,3:3,,1,424
91,3:3,3:3,,0.991,425
92,3:3,3:3,,0.991,428
93,3:3,3:3,,0.991,444
94,2:2,2:2,,0.9,446
95,3:3,3:3,,0.991,448
96,3:3,3:3,,1,449
97,3:3,3:3,,0.991,450
98,3:3,3:3,,0.991,462
99,3:3,3:3,,0.991,467
100,3:3,2:2,+,1,473
101,3:3,3:3,,1,477
102,3:3,3:3,,1,478
103,3:3,3:3,,0.991,482
104,3:3,3:3,,1,493
105,3:3,3:3,,0.991,495
106,3:3,3:3,,0.991,500
107,3:3,3:3,,0.855,513
108,3:3,3:3,,0.991,514
109,3:3,3:3,,0.991,516
110,3:3,3:3,,1,523
111,3:3,3:3,,0.991,529
112,3:3,3:3,,0.991,531
113,3:3,3:3,,1,534
114,3:3,3:3,,1,538
115,3:3,3:3,,1,541
116,2:2,3:3,+,0.855,543
117,5:5,5:5,,0.931,547
118,3:3,3:3,,0.855,576
119,3:3,3:3,,0.8,580
120,3:3,5:5,+,0.577,581
121,3:3,3:3,,1,584
122,3:3,3:3,,1,587
123,2:2,2:2,,1,588
124,3:3,3:3,,0.991,590
125,3:3,3:3,,0.991,596
126,2:2,2:2,,1,599
127,3:3,3:3,,1,601
128,5:5,5:5,,0.577,611
129,3:3,3:3,,1,613
130,3:3,3:3,,1,622
131,3:3,3:3,,0.991,629
132,3:3,3:3,,0.991,638
133,2:2,3:3,+,0.855,640
134,3:3,3:3,,0.968,650
135,3:3,3:3,,1,653
136,3:3,3:3,,0.855,655
137,2:2,2:2,,1,656
138,2:2,2:2,,0.857,662
139,5:5,5:5,,0.931,666
140,3:3,3:3,,0.968,672
141,6:U,3:3,+,1,680
142,3:3,3:3,,0.991,687
143,3:3,3:3,,0.991,696
144,5:5,5:5,,0.577,703
145,2:2,2:2,,1,707
146,3:3,3:3,,1,718
147,6:U,6:U,,1,720
148,3:3,3:3,,1,721
149,2:2,3:3,+,0.909,728
150,3:3,3:3,,1,732
151,2:2,2:2,,1,734
152,3:3,3:3,,0.968,742
153,3:3,3:3,,1,743
154,3:3,3:3,,1,752
155,3:3,3:3,,0.855,772
156,2:2,2:2,,1,777
157,3:3,3:3,,0.968,781
158,5:5,5:5,,1,789
159,2:2,2:2,,0.9,797
160,3:3,3:3,,0.991,798
161,3:3,3:3,,1,807
162,3:3,3:3,,1,809
163,3:3,3:3,,0.6,810
164,3:3,3:3,,0.991,813
165,5:5,5:5,,1,825
166,3:3,3:3,,0.5,832
167,6:U,6:U,,1,836
168,3:3,3:3,,0.5,838
169,3:3,3:3,,0.968,841
170,3:3,3:3,,0.855,842
171,3:3,3:3,,0.8,843
172,3:3,3:3,,1,848
173,3:3,3:3,,1,854
174,3:3,3:3,,0.855,858
175,3:3,3:3,,0.991,872
176,3:3,3:3,,0.991,876
177,3:3,3:3,,1,883
178,5:5,5:5,,0.794,892
179,2:2,2:2,,1,893
180,6:U,3:3,+,1,896

