inst#,actual,predicted,error,prediction,ID
1,4:good,4:good,,0.91,6
2,5:best,4:good,+,0.896,7
3,4:good,4:good,,0.985,9
4,4:good,4:good,,0.987,11
5,5:best,5:best,,0.812,15
6,2:low,2:low,,0.96,18
7,3:average,4:good,+,0.448,22
8,4:good,4:good,,0.994,24
9,3:average,2:low,+,0.929,28
10,4:good,4:good,,0.98,29
11,5:best,4:good,+,0.996,41
12,5:best,4:good,+,0.996,42
13,5:best,4:good,+,0.996,43
14,2:low,2:low,,0.945,51
15,4:good,4:good,,0.999,56
16,1:none,1:none,,0.914,61
17,5:best,4:good,+,0.968,73
18,4:good,4:good,,0.527,82
19,3:average,4:good,+,0.879,83
20,5:best,5:best,,0.982,89
21,5:best,5:best,,0.984,92
22,5:best,5:best,,0.878,93
23,4:good,4:good,,0.854,104
24,1:none,1:none,,0.729,108
25,3:average,2:low,+,0.789,110
26,4:good,5:best,+,0.767,114
27,1:none,2:low,+,0.818,132
28,5:best,5:best,,0.895,135
29,5:best,5:best,,0.838,136
30,2:low,2:low,,0.993,137
31,5:best,5:best,,0.601,139
32,5:best,5:best,,0.719,140
33,1:none,2:low,+,0.994,145
34,2:low,2:low,,0.998,163
35,1:none,2:low,+,0.962,165
36,5:best,2:low,+,0.877,167
37,4:good,2:low,+,0.502,176
38,2:low,2:low,,0.997,177
39,4:good,3:average,+,0.483,178
40,5:best,3:average,+,0.93,181
41,4:good,3:average,+,0.657,182
42,5:best,3:average,+,0.535,184
43,4:good,3:average,+,0.735,196
44,2:low,2:low,,0.991,203
45,2:low,2:low,,0.997,209
46,3:average,2:low,+,0.864,213
47,3:average,4:good,+,0.895,218
48,3:average,4:good,+,0.996,220
49,5:best,4:good,+,0.97,221
50,4:good,4:good,,0.949,227
51,3:average,2:low,+,0.919,231
52,1:none,4:good,+,0.485,244
53,1:none,1:none,,0.916,249
54,1:none,4:good,+,0.514,254
55,1:none,4:good,+,0.868,256
56,1:none,1:none,,0.675,257
57,2:low,2:low,,0.68,260
58,5:best,4:good,+,0.544,265
59,3:average,2:low,+,0.957,281
60,2:low,2:low,,0.683,284
61,1:none,2:low,+,0.983,291
62,4:good,3:average,+,0.947,292
63,2:low,2:low,,0.977,296
64,1:none,2:low,+,0.887,299
65,1:none,2:low,+,0.938,300
66,3:average,3:average,,0.65,302
67,1:none,2:low,+,0.893,314
68,5:best,3:average,+,0.965,326
69,2:low,2:low,,0.981,327
70,2:low,2:low,,0.989,328
71,4:good,4:good,,0.912,335
72,3:average,4:good,+,0.814,336
73,4:good,4:good,,0.797,338
74,3:average,4:good,+,0.725,340
75,1:none,3:average,+,0.679,344
76,5:best,4:good,+,0.986,350
77,5:best,4:good,+,0.999,357
78,4:good,4:good,,1,363
79,3:average,3:average,,0.729,369
80,3:average,3:average,,0.84,371
81,3:average,4:good,+,0.982,377
82,4:good,3:average,+,0.94,388
83,2:low,2:low,,0.872,395
84,4:good,3:average,+,0.652,405
85,4:good,3:average,+,0.97,412
86,3:average,3:average,,0.951,416
87,3:average,3:average,,0.943,425
88,2:low,3:average,+,0.779,429
89,4:good,3:average,+,0.575,432
90,2:low,3:average,+,0.959,433
91,2:low,2:low,,0.6,440
92,5:best,4:good,+,0.956,443
93,4:good,4:good,,0.987,462
94,1:none,2:low,+,0.587,464
95,4:good,4:good,,0.985,465
96,4:good,4:good,,0.962,473
97,4:good,4:good,,0.991,479
98,2:low,4:good,+,0.493,486
99,2:low,3:average,+,0.926,494
100,1:none,1:none,,0.727,495
101,4:good,3:average,+,0.968,497
102,4:good,3:average,+,0.966,501
103,3:average,3:average,,0.957,512
104,4:good,3:average,+,0.888,514
105,4:good,3:average,+,0.989,518
106,2:low,3:average,+,0.627,521
107,5:best,3:average,+,0.736,522
108,1:none,1:none,,0.832,526
109,4:good,3:average,+,0.96,531
110,1:none,1:none,,0.656,535
111,1:none,3:average,+,0.729,537
112,4:good,3:average,+,0.866,542
113,1:none,1:none,,0.688,544
114,4:good,3:average,+,0.977,545
115,3:average,3:average,,0.964,547
116,4:good,3:average,+,0.74,551
117,3:average,3:average,,0.951,558
118,5:best,4:good,+,0.995,579
119,4:good,4:good,,0.989,590
120,4:good,4:good,,0.997,595
121,4:good,5:best,+,0.735,607
122,3:average,4:good,+,0.953,615
123,4:good,4:good,,0.772,618
124,3:average,3:average,,0.955,632
125,2:low,2:low,,0.815,642
126,3:average,3:average,,0.966,644
127,4:good,3:average,+,0.961,648
128,3:average,2:low,+,0.663,651
129,4:good,3:average,+,0.901,654
130,3:average,2:low,+,0.92,660
131,1:none,1:none,,1,667
132,1:none,1:none,,1,672
133,1:none,1:none,,1,675
134,1:none,1:none,,1,676
135,1:none,1:none,,1,682
136,1:none,1:none,,1,687
137,1:none,1:none,,1,688
138,1:none,1:none,,1,689
139,1:none,1:none,,1,690
140,1:none,1:none,,1,696
141,1:none,1:none,,1,699
142,1:none,1:none,,1,704
143,1:none,1:none,,1,713
144,1:none,1:none,,1,717
145,1:none,1:none,,1,720
146,1:none,1:none,,1,723
147,4:good,4:good,,0.996,734

