inst#,actual,predicted,error,prediction,ID
1,1:Iris-setosa,1:Iris-setosa,,0.803,1
2,1:Iris-setosa,1:Iris-setosa,,0.955,14
3,1:Iris-setosa,1:Iris-setosa,,0.872,20
4,1:Iris-setosa,1:Iris-setosa,,0.929,21
5,1:Iris-setosa,1:Iris-setosa,,0.826,37
6,1:Iris-setosa,1:Iris-setosa,,0.611,41
7,1:Iris-setosa,1:Iris-setosa,,0.927,48
8,2:Iris-versicolor,2:Iris-versicolor,,0.64,52
9,2:Iris-versicolor,2:Iris-versicolor,,0.898,57
10,2:Iris-versicolor,2:Iris-versicolor,,0.902,58
11,2:Iris-versicolor,2:Iris-versicolor,,0.954,71
12,2:Iris-versicolor,2:Iris-versicolor,,0.94,74
13,2:Iris-versicolor,2:Iris-versicolor,,0.87,87
14,2:Iris-versicolor,2:Iris-versicolor,,0.939,88
15,2:Iris-versicolor,2:Iris-versicolor,,0.958,90
16,2:Iris-versicolor,2:Iris-versicolor,,0.888,91
17,2:Iris-versicolor,2:Iris-versicolor,,0.963,92
18,2:Iris-versicolor,2:Iris-versicolor,,0.954,99
19,3:Iris-virginica,3:Iris-virginica,,0.816,102
20,3:Iris-virginica,3:Iris-virginica,,0.706,103
21,3:Iris-virginica,2:Iris-versicolor,+,0.694,106
22,3:Iris-virginica,3:Iris-virginica,,0.75,107
23,3:Iris-virginica,3:Iris-virginica,,0.723,116
24,3:Iris-virginica,3:Iris-virginica,,0.687,121
25,3:Iris-virginica,3:Iris-virginica,,0.865,124
26,3:Iris-virginica,3:Iris-virginica,,0.691,129
27,3:Iris-virginica,3:Iris-virginica,,0.747,130
28,3:Iris-virginica,3:Iris-virginica,,0.87,140
29,3:Iris-virginica,3:Iris-virginica,,0.908,144
30,3:Iris-virginica,3:Iris-virginica,,0.639,149

