inst#,actual,predicted,error,prediction,ID
1,2:g,2:g,,0.983,0
2,2:g,2:g,,0.983,4
3,2:g,2:g,,0.983,8
4,2:g,2:g,,0.983,12
5,2:g,1:b,+,0.737,14
6,2:g,2:g,,0.983,26
7,1:b,1:b,,0.981,27
8,2:g,2:g,,0.983,28
9,2:g,2:g,,0.983,32
10,1:b,1:b,,0.737,35
11,2:g,2:g,,0.983,36
12,2:g,2:g,,0.983,40
13,1:b,1:b,,0.737,41
14,1:b,1:b,,0.981,47
15,1:b,1:b,,0.737,51
16,1:b,1:b,,0.981,61
17,2:g,2:g,,0.983,62
18,2:g,2:g,,0.983,64
19,2:g,2:g,,0.983,70
20,1:b,2:g,+,0.983,85
21,1:b,2:g,+,0.983,89
22,1:b,1:b,,0.981,95
23,1:b,1:b,,0.981,98
24,1:b,1:b,,0.981,100
25,2:g,2:g,,0.983,103
26,2:g,2:g,,0.983,123
27,1:b,1:b,,0.981,128
28,2:g,2:g,,0.983,131
29,2:g,2:g,,0.983,135
30,1:b,2:g,+,0.983,136
31,1:b,1:b,,0.981,138
32,2:g,2:g,,0.983,141
33,1:b,1:b,,0.737,142
34,1:b,2:g,+,0.983,150
35,1:b,1:b,,0.981,156
36,2:g,2:g,,0.983,159
37,1:b,1:b,,0.737,162
38,1:b,1:b,,0.737,170
39,2:g,2:g,,0.983,171
40,1:b,1:b,,0.981,178
41,1:b,1:b,,0.981,186
42,1:b,1:b,,0.981,192
43,1:b,1:b,,0.981,200
44,1:b,1:b,,0.981,204
45,1:b,1:b,,0.981,206
46,2:g,1:b,+,0.737,213
47,2:g,2:g,,0.983,215
48,1:b,1:b,,0.737,216
49,1:b,1:b,,0.737,218
50,2:g,2:g,,0.983,221
51,1:b,1:b,,0.737,226
52,1:b,1:b,,0.981,230
53,1:b,1:b,,0.981,246
54,2:g,2:g,,0.983,260
55,2:g,2:g,,0.983,261
56,2:g,2:g,,0.983,268
57,2:g,2:g,,0.983,275
58,2:g,2:g,,0.983,279
59,2:g,2:g,,0.983,285
60,2:g,2:g,,0.983,292
61,2:g,2:g,,0.983,299
62,2:g,2:g,,0.983,300
63,2:g,2:g,,0.983,301
64,2:g,2:g,,0.983,304
65,2:g,2:g,,0.983,309
66,2:g,1:b,+,0.737,312
67,2:g,2:g,,0.983,314
68,2:g,2:g,,0.983,318
69,2:g,2:g,,0.983,321
70,2:g,2:g,,0.983,343

