inst#,actual,predicted,error,prediction,ID
1,1:1,1:1,,0.614,0
2,1:1,1:1,,0.667,2
3,1:1,1:1,,0.667,6
4,1:1,3:3,+,0.667,7
5,1:1,1:1,,0.86,9
6,1:1,1:1,,0.667,25
7,1:1,1:1,,0.975,27
8,1:1,1:1,,0.9,33
9,1:1,1:1,,0.746,42
10,1:1,1:1,,0.857,45
11,1:1,1:1,,0.975,47
12,1:1,1:1,,0.581,52
13,1:1,3:3,+,0.636,55
14,1:1,2:2,+,1,57
15,1:1,1:1,,0.581,60
16,1:1,1:1,,0.746,62
17,1:1,2:2,+,0.571,66
18,1:1,1:1,,0.667,71
19,1:1,1:1,,0.614,72
20,1:1,1:1,,0.581,77
21,1:1,1:1,,0.746,79
22,1:1,1:1,,0.975,80
23,1:1,1:1,,1,82
24,1:1,2:2,+,0.429,84
25,1:1,2:2,+,0.429,85
26,1:1,1:1,,0.975,90
27,1:1,1:1,,0.9,92
28,1:1,1:1,,0.86,94
29,1:1,2:2,+,1,97
30,1:1,3:3,+,0.667,102
31,1:1,3:3,+,0.727,104
32,1:1,1:1,,0.581,105
33,1:1,1:1,,0.975,106
34,1:1,1:1,,0.746,110
35,1:1,1:1,,0.746,117
36,1:1,2:2,+,1,118
37,1:1,1:1,,0.746,120
38,1:1,2:2,+,0.667,125
39,1:1,3:3,+,0.602,133
40,1:1,3:3,+,0.59,137
41,1:1,1:1,,0.746,142
42,1:1,1:1,,1,144
43,1:1,2:2,+,0.536,145
44,1:1,1:1,,0.727,148
45,1:1,3:3,+,0.59,165
46,1:1,3:3,+,0.857,172
47,1:1,3:3,+,0.556,177
48,1:1,3:3,+,0.857,181
49,1:1,1:1,,0.86,182
50,1:1,1:1,,1,183
51,1:1,1:1,,0.975,194
52,1:1,1:1,,0.746,204
53,1:1,1:1,,0.746,211
54,1:1,3:3,+,0.602,212
55,1:1,1:1,,0.86,213
56,1:1,3:3,+,0.667,215
57,1:1,1:1,,0.975,223
58,1:1,2:2,+,0.75,226
59,1:1,1:1,,0.746,227
60,1:1,1:1,,0.86,228
61,1:1,1:1,,0.614,235
62,1:1,1:1,,0.581,238
63,1:1,1:1,,0.5,248
64,1:1,3:3,+,0.5,249
65,1:1,3:3,+,0.667,250
66,1:1,3:3,+,0.564,255
67,1:1,1:1,,0.746,256
68,1:1,1:1,,0.746,258
69,1:1,3:3,+,0.5,267
70,1:1,1:1,,0.667,273
71,1:1,1:1,,1,280
72,1:1,1:1,,1,281
73,1:1,3:3,+,0.602,302
74,1:1,3:3,+,0.564,305
75,1:1,1:1,,0.581,307
76,1:1,1:1,,0.8,311
77,1:1,1:1,,0.746,329
78,1:1,1:1,,0.571,334
79,1:1,1:1,,0.975,336
80,1:1,3:3,+,0.8,347
81,1:1,3:3,+,0.602,349
82,1:1,3:3,+,0.667,357
83,1:1,1:1,,0.975,359
84,1:1,3:3,+,0.602,360
85,1:1,1:1,,0.975,362
86,1:1,1:1,,0.614,372
87,1:1,1:1,,0.581,373
88,1:1,2:2,+,0.583,386
89,1:1,2:2,+,0.667,388
90,1:1,1:1,,0.614,389
91,1:1,3:3,+,0.8,404
92,1:1,3:3,+,0.667,408
93,2:2,1:1,+,0.667,424
94,2:2,3:3,+,0.602,434
95,2:2,2:2,,0.667,436
96,2:2,2:2,,0.536,440
97,2:2,2:2,,0.5,445
98,2:2,2:2,,0.709,446
99,2:2,2:2,,0.519,448
100,2:2,3:3,+,0.59,449
101,2:2,3:3,+,0.564,450
102,2:2,2:2,,0.709,457
103,2:2,2:2,,0.709,460
104,2:2,1:1,+,0.746,465
105,2:2,2:2,,0.536,475
106,2:2,3:3,+,0.489,480
107,2:2,1:1,+,0.727,501
108,2:2,1:1,+,0.667,504
109,2:2,3:3,+,0.8,507
110,2:2,1:1,+,0.667,519
111,2:2,3:3,+,0.602,523
112,2:2,1:1,+,1,525
113,2:2,3:3,+,0.602,530
114,2:2,1:1,+,0.581,531
115,2:2,1:1,+,0.746,533
116,2:2,1:1,+,0.727,536
117,2:2,1:1,+,1,539
118,2:2,1:1,+,0.727,541
119,2:2,1:1,+,0.6,545
120,2:2,1:1,+,1,553
121,2:2,3:3,+,0.636,555
122,2:2,2:2,,0.6,557
123,2:2,1:1,+,0.5,572
124,2:2,3:3,+,0.6,579
125,2:2,1:1,+,0.727,593
126,2:2,2:2,,0.583,594
127,2:2,2:2,,0.5,603
128,2:2,2:2,,0.75,609
129,2:2,2:2,,0.583,622
130,2:2,2:2,,0.709,624
131,2:2,3:3,+,0.636,636
132,2:2,3:3,+,0.59,637
133,2:2,1:1,+,0.86,638
134,3:3,1:1,+,0.581,644
135,3:3,3:3,,0.602,651
136,3:3,3:3,,1,666
137,3:3,1:1,+,1,667
138,3:3,3:3,,0.667,671
139,3:3,1:1,+,0.86,673
140,3:3,2:2,+,0.536,676
141,3:3,1:1,+,0.9,679
142,3:3,1:1,+,0.614,693
143,3:3,3:3,,0.489,695
144,3:3,3:3,,0.602,697
145,3:3,3:3,,0.714,708
146,3:3,3:3,,0.59,712
147,3:3,3:3,,0.714,713
148,3:3,3:3,,0.727,716
149,3:3,2:2,+,0.536,718
150,3:3,3:3,,0.489,723
151,3:3,3:3,,0.489,730
152,3:3,1:1,+,0.857,731
153,3:3,1:1,+,0.727,739
154,3:3,3:3,,0.7,746
155,3:3,1:1,+,0.727,759
156,3:3,1:1,+,0.667,762
157,3:3,2:2,+,0.75,777
158,3:3,2:2,+,0.536,781
159,3:3,2:2,+,0.709,783
160,3:3,3:3,,0.59,785
161,3:3,3:3,,0.5,793
162,3:3,1:1,+,1,796
163,3:3,3:3,,0.59,798
164,3:3,3:3,,0.8,811
165,3:3,1:1,+,0.581,813
166,3:3,3:3,,0.59,814
167,3:3,1:1,+,1,820
168,3:3,3:3,,0.602,823
169,3:3,3:3,,1,826
170,3:3,2:2,+,0.536,828
171,3:3,3:3,,0.59,839
172,3:3,3:3,,0.5,841
173,3:3,1:1,+,0.667,849
174,3:3,1:1,+,0.571,857
175,3:3,3:3,,0.667,858
176,3:3,3:3,,0.667,862
177,3:3,1:1,+,1,864
178,3:3,3:3,,0.818,881
179,3:3,3:3,,0.602,885
180,3:3,1:1,+,1,887
181,3:3,2:2,+,0.556,888
182,3:3,1:1,+,0.571,894
183,3:3,3:3,,0.59,900
184,3:3,2:2,+,0.667,901
185,3:3,1:1,+,0.571,903
186,3:3,1:1,+,1,905
187,3:3,3:3,,0.818,910
188,3:3,1:1,+,1,915
189,3:3,3:3,,0.7,932
190,3:3,3:3,,0.667,940
191,3:3,1:1,+,1,941
192,3:3,1:1,+,0.614,945
193,3:3,2:2,+,0.667,950
194,3:3,3:3,,0.59,952
195,3:3,1:1,+,0.746,953
196,3:3,2:2,+,0.75,958
197,3:3,1:1,+,1,963
198,3:3,3:3,,0.8,968
199,3:3,2:2,+,0.536,982
200,3:3,2:2,+,0.75,985
201,3:3,3:3,,0.7,988
202,3:3,1:1,+,0.614,990
203,3:3,1:1,+,0.581,993
204,3:3,1:1,+,0.421,994
205,1:1,1:1,,0.581,1001
206,1:1,3:3,+,0.692,1004
207,1:1,1:1,,0.746,1005
208,1:1,1:1,,0.975,1006
209,1:1,3:3,+,0.602,1007
210,1:1,1:1,,0.746,1009
211,1:1,1:1,,0.581,1029
212,1:1,1:1,,0.667,1033
213,1:1,2:2,+,1,1035
214,1:1,3:3,+,0.667,1041
215,1:1,3:3,+,1,1057
216,1:1,1:1,,0.86,1067
217,1:1,1:1,,0.581,1073
218,1:1,3:3,+,0.602,1078
219,1:1,2:2,+,0.667,1079
220,1:1,2:2,+,0.414,1080
221,1:1,2:2,+,0.536,1083
222,1:1,1:1,,0.667,1087
223,1:1,1:1,,0.581,1088
224,1:1,1:1,,0.975,1089
225,1:1,3:3,+,0.602,1091
226,1:1,1:1,,0.86,1094
227,1:1,1:1,,0.746,1097
228,1:1,3:3,+,0.714,1101
229,1:1,2:2,+,0.556,1103
230,1:1,3:3,+,0.7,1105
231,1:1,1:1,,0.975,1106
232,1:1,1:1,,0.667,1107
233,1:1,1:1,,0.614,1113
234,1:1,1:1,,0.975,1117
235,1:1,1:1,,0.581,1125
236,1:1,1:1,,0.975,1134
237,1:1,3:3,+,1,1137
238,1:1,1:1,,0.746,1145
239,1:1,1:1,,0.975,1160
240,1:1,3:3,+,0.714,1161
241,1:1,2:2,+,0.75,1164
242,1:1,3:3,+,0.602,1172
243,1:1,1:1,,1,1173
244,1:1,1:1,,0.86,1177
245,1:1,3:3,+,0.59,1178
246,1:1,1:1,,0.975,1179
247,1:1,1:1,,0.975,1189
248,1:1,3:3,+,0.59,1190
249,1:1,1:1,,0.746,1193
250,1:1,3:3,+,1,1195
251,1:1,1:1,,0.667,1198
252,1:1,3:3,+,0.714,1201
253,1:1,1:1,,1,1205
254,1:1,1:1,,0.86,1211
255,2:2,2:2,,0.667,1221
256,2:2,2:2,,0.75,1222
257,2:2,2:2,,0.5,1225
258,2:2,2:2,,0.709,1239
259,2:2,2:2,,0.667,1240
260,2:2,1:1,+,0.421,1246
261,2:2,1:1,+,1,1265
262,2:2,3:3,+,0.602,1274
263,2:2,2:2,,0.571,1280
