inst#,actual,predicted,error,prediction,ID
1,1:won,1:won,,1,3
2,1:won,1:won,,0.8,5
3,1:won,1:won,,0.739,9
4,1:won,1:won,,0.833,10
5,1:won,1:won,,1,24
6,1:won,1:won,,0.8,26
7,1:won,1:won,,0.933,27
8,1:won,1:won,,0.826,28
9,1:won,1:won,,0.857,33
10,1:won,1:won,,0.944,40
11,1:won,1:won,,0.95,41
12,1:won,1:won,,1,42
13,1:won,1:won,,1,47
14,1:won,1:won,,1,54
15,1:won,1:won,,0.867,55
16,1:won,1:won,,1,60
17,1:won,1:won,,0.85,62
18,1:won,1:won,,1,66
19,1:won,1:won,,0.765,68
20,1:won,1:won,,0.875,72
21,1:won,1:won,,0.647,74
22,1:won,1:won,,0.889,77
23,1:won,1:won,,0.6,79
24,1:won,1:won,,0.708,81
25,1:won,1:won,,0.833,82
26,1:won,1:won,,1,92
27,1:won,1:won,,0.895,94
28,1:won,1:won,,0.833,97
29,1:won,1:won,,0.889,106
30,1:won,1:won,,1,110
31,1:won,1:won,,0.778,112
32,1:won,1:won,,0.917,117
33,1:won,1:won,,0.897,125
34,1:won,1:won,,0.895,126
35,1:won,1:won,,0.857,129
36,1:won,1:won,,0.875,131
37,1:won,1:won,,1,137
38,1:won,1:won,,1,138
39,1:won,1:won,,1,147
40,1:won,1:won,,0.882,148
41,1:won,1:won,,1,164
42,1:won,1:won,,1,165
43,1:won,1:won,,0.941,167
44,1:won,1:won,,1,181
45,1:won,1:won,,1,193
46,1:won,1:won,,1,204
47,1:won,1:won,,0.857,223
48,1:won,1:won,,0.812,224
49,1:won,1:won,,0.6,228
50,1:won,1:won,,0.611,232
51,1:won,1:won,,1,235
52,1:won,1:won,,1,236
53,1:won,1:won,,0.889,242
54,1:won,1:won,,0.667,248
55,1:won,1:won,,1,249
56,1:won,1:won,,0.769,255
57,1:won,1:won,,0.923,260
58,1:won,1:won,,1,267
59,1:won,1:won,,0.8,280
60,1:won,1:won,,1,285
61,1:won,1:won,,1,295
62,1:won,1:won,,1,302
63,1:won,1:won,,0.875,312
64,1:won,1:won,,0.833,319
65,1:won,1:won,,0.8,320
66,1:won,1:won,,0.923,326
67,1:won,1:won,,0.944,327
