inst#,actual,predicted,error,prediction,ID
1,5:best,5:best,,0.712,1
2,4:good,4:good,,0.827,4
3,5:best,4:good,+,0.754,13
4,4:good,4:good,,0.612,14
5,3:average,4:good,+,0.591,20
6,3:average,4:good,+,0.921,21
7,4:good,5:best,+,0.916,27
8,3:average,4:good,+,0.996,32
9,4:good,5:best,+,0.885,34
10,2:low,4:good,+,0.511,35
11,4:good,4:good,,0.915,40
12,4:good,5:best,+,0.841,47
13,5:best,5:best,,0.561,52
14,4:good,4:good,,0.995,58
15,2:low,4:good,+,0.611,62
16,4:good,4:good,,0.984,64
17,4:good,4:good,,0.995,71
18,3:average,5:best,+,0.997,80
19,4:good,5:best,+,1,85
20,2:low,2:low,,0.886,87
21,5:best,5:best,,1,91
22,2:low,1:none,+,0.758,95
23,1:none,2:low,+,0.687,98
24,4:good,5:best,+,1,99
25,2:low,5:best,+,0.926,102
26,4:good,5:best,+,1,105
27,5:best,5:best,,1,106
28,2:low,1:none,+,0.969,121
29,4:good,5:best,+,1,128
30,4:good,5:best,+,1,130
31,5:best,5:best,,1,134
32,3:average,5:best,+,0.999,138
33,3:average,2:low,+,0.991,156
34,5:best,5:best,,0.702,159
35,4:good,3:average,+,0.542,160
36,4:good,3:average,+,0.709,161
37,3:average,2:low,+,0.97,166
38,2:low,2:low,,0.964,170
39,1:none,2:low,+,0.999,187
40,1:none,2:low,+,0.999,189
41,4:good,2:low,+,0.989,191
42,5:best,3:average,+,0.527,200
43,1:none,2:low,+,0.998,201
44,5:best,5:best,,0.728,205
45,4:good,2:low,+,0.472,206
46,2:low,2:low,,0.966,214
47,4:good,3:average,+,0.898,216
48,4:good,3:average,+,0.947,217
49,4:good,5:best,+,0.824,230
50,1:none,3:average,+,0.906,240
51,1:none,3:average,+,0.957,241
52,1:none,3:average,+,0.652,242
53,1:none,3:average,+,0.884,243
54,1:none,3:average,+,0.724,251
55,1:none,3:average,+,0.929,252
56,4:good,3:average,+,0.808,269
57,5:best,3:average,+,0.832,270
58,4:good,3:average,+,0.502,273
59,5:best,3:average,+,0.912,276
60,4:good,5:best,+,0.94,288
61,3:average,2:low,+,0.85,295
62,2:low,2:low,,0.68,308
63,3:average,3:average,,0.669,313
64,1:none,2:low,+,0.979,315
65,4:good,4:good,,0.974,330
66,3:average,4:good,+,0.987,337
67,3:average,4:good,+,0.969,339
68,3:average,4:good,+,0.995,343
69,3:average,4:good,+,0.999,345
70,3:average,4:good,+,0.879,366
71,4:good,4:good,,0.951,372
72,1:none,3:average,+,0.626,378
73,5:best,4:good,+,0.996,379
74,3:average,4:good,+,0.749,385
75,4:good,4:good,,0.997,387
76,3:average,3:average,,0.989,389
77,1:none,2:low,+,0.986,391
78,3:average,3:average,,0.809,392
79,1:none,3:average,+,0.614,397
80,1:none,2:low,+,0.943,401
81,3:average,3:average,,0.797,406
82,4:good,3:average,+,0.765,413
83,2:low,2:low,,0.857,418
84,3:average,3:average,,0.873,427
85,3:average,3:average,,0.76,435
86,4:good,4:good,,0.981,454
87,4:good,4:good,,0.909,455
88,1:none,4:good,+,0.621,458
89,4:good,4:good,,0.896,459
90,4:good,4:good,,0.931,460
91,1:none,4:good,+,0.843,461
92,4:good,4:good,,0.695,466
93,4:good,4:good,,0.953,471
94,2:low,2:low,,0.699,474
95,4:good,4:good,,0.967,475
96,2:low,3:average,+,0.448,476
97,4:good,4:good,,0.953,484
98,3:average,4:good,+,0.499,489
99,3:average,3:average,,0.852,491
100,3:average,2:low,+,0.755,492
101,3:average,3:average,,0.596,498
102,3:average,3:average,,0.711,502
103,3:average,4:good,+,0.476,504
104,4:good,4:good,,0.662,508
105,3:average,3:average,,0.498,510
106,3:average,2:low,+,0.872,520
107,3:average,3:average,,0.665,524
108,4:good,4:good,,0.686,540
109,4:good,4:good,,0.688,546
110,4:good,4:good,,0.948,553
111,1:none,2:low,+,0.938,555
112,1:none,2:low,+,0.956,556
113,3:average,3:average,,0.586,560
114,3:average,3:average,,0.579,561
115,1:none,2:low,+,0.867,562
116,3:average,3:average,,0.579,563
117,1:none,2:low,+,0.874,564
118,2:low,2:low,,0.924,565
119,3:average,3:average,,0.824,566
120,1:none,1:none,,0.515,573
121,5:best,4:good,+,0.56,574
122,4:good,4:good,,0.943,577
123,4:good,4:good,,0.935,592
124,2:low,4:good,+,0.986,600
125,5:best,4:good,+,0.627,612
126,5:best,4:good,+,0.971,614
127,5:best,4:good,+,0.983,621
128,4:good,4:good,,0.97,622
129,4:good,4:good,,0.946,623
130,1:none,4:good,+,0.796,628
131,2:low,2:low,,0.821,630
132,3:average,2:low,+,0.627,645
133,3:average,3:average,,0.917,646
134,5:best,3:average,+,0.901,647
135,5:best,5:best,,0.833,656
136,3:average,2:low,+,0.964,661
137,1:none,1:none,,1,662
138,1:none,1:none,,1,663
139,1:none,1:none,,1,681
140,1:none,1:none,,1,686
141,1:none,1:none,,1,691
142,1:none,1:none,,1,697
143,1:none,1:none,,1,700
144,1:none,1:none,,1,715
145,1:none,1:none,,1,718
146,1:none,1:none,,1,729
147,4:good,4:good,,0.989,733

