inst#,actual,predicted,error,prediction,ID
1,1:Iris-setosa,1:Iris-setosa,,0.795,9
2,1:Iris-setosa,1:Iris-setosa,,0.781,12
3,1:Iris-setosa,1:Iris-setosa,,0.902,18
4,1:Iris-setosa,1:Iris-setosa,,0.917,19
5,1:Iris-setosa,1:Iris-setosa,,0.843,26
6,1:Iris-setosa,1:Iris-setosa,,0.813,29
7,1:Iris-setosa,1:Iris-setosa,,0.785,30
8,1:Iris-setosa,1:Iris-setosa,,0.839,31
9,1:Iris-setosa,1:Iris-setosa,,0.875,36
10,1:Iris-setosa,1:Iris-setosa,,0.767,45
11,2:Iris-versicolor,2:Iris-versicolor,,0.931,55
12,2:Iris-versicolor,2:Iris-versicolor,,0.73,56
13,2:Iris-versicolor,2:Iris-versicolor,,0.959,64
14,2:Iris-versicolor,2:Iris-versicolor,,0.655,68
15,2:Iris-versicolor,2:Iris-versicolor,,0.97,69
16,2:Iris-versicolor,2:Iris-versicolor,,0.934,73
17,2:Iris-versicolor,2:Iris-versicolor,,0.761,76
18,2:Iris-versicolor,2:Iris-versicolor,,0.826,78
19,2:Iris-versicolor,2:Iris-versicolor,,0.969,82
20,3:Iris-virginica,3:Iris-virginica,,0.768,104
21,3:Iris-virginica,3:Iris-virginica,,0.602,108
22,3:Iris-virginica,3:Iris-virginica,,0.72,110
23,3:Iris-virginica,3:Iris-virginica,,0.774,118
24,3:Iris-virginica,3:Iris-virginica,,0.557,127
25,3:Iris-virginica,3:Iris-virginica,,0.703,128
26,3:Iris-virginica,3:Iris-virginica,,0.878,131
27,3:Iris-virginica,3:Iris-virginica,,0.728,132
28,3:Iris-virginica,3:Iris-virginica,,0.797,141
29,3:Iris-virginica,3:Iris-virginica,,0.827,143
30,3:Iris-virginica,3:Iris-virginica,,0.78,145

