inst#,actual,predicted,error,prediction,ID
1,3:3,3:3,,0.998,1
2,3:3,6:U,+,0.772,4
3,3:3,3:3,,0.892,13
4,3:3,3:3,,0.679,14
5,3:3,3:3,,0.609,20
6,3:3,3:3,,1,21
7,3:3,2:2,+,0.838,27
8,3:3,3:3,,0.931,32
9,3:3,5:5,+,0.816,34
10,5:5,5:5,,0.949,35
11,3:3,5:5,+,0.543,40
12,3:3,3:3,,0.938,47
13,3:3,2:2,+,0.886,52
14,3:3,3:3,,0.993,58
15,3:3,3:3,,0.889,62
16,3:3,2:2,+,0.816,64
17,3:3,3:3,,0.999,71
18,3:3,3:3,,0.789,80
19,3:3,3:3,,1,85
20,3:3,3:3,,0.971,87
21,3:3,3:3,,0.643,91
22,3:3,3:3,,0.9,95
23,5:5,5:5,,0.976,98
24,2:2,2:2,,0.891,99
25,3:3,3:3,,0.465,102
26,3:3,3:3,,0.953,105
27,3:3,3:3,,0.919,106
28,3:3,3:3,,0.507,121
29,2:2,5:5,+,0.622,128
30,3:3,2:2,+,0.535,130
31,3:3,3:3,,1,134
32,5:5,5:5,,0.967,138
33,3:3,3:3,,0.939,156
34,3:3,5:5,+,0.656,159
35,5:5,5:5,,0.99,160
36,3:3,3:3,,0.999,161
37,3:3,3:3,,0.546,166
38,3:3,3:3,,1,170
39,3:3,3:3,,0.618,187
40,6:U,6:U,,1,189
41,5:5,5:5,,0.977,191
42,3:3,3:3,,0.607,200
43,3:3,3:3,,0.99,201
44,3:3,2:2,+,0.656,205
45,3:3,3:3,,0.639,206
46,3:3,3:3,,0.958,214
47,3:3,3:3,,0.952,216
48,3:3,3:3,,1,217
49,3:3,3:3,,0.664,230
50,3:3,3:3,,0.984,240
51,3:3,3:3,,0.65,241
52,3:3,3:3,,0.743,242
53,3:3,6:U,+,0.908,243
54,3:3,6:U,+,0.54,251
55,3:3,6:U,+,0.816,252
56,3:3,3:3,,0.5,269
57,3:3,3:3,,0.946,270
58,3:3,3:3,,0.986,273
59,6:U,6:U,,1,276
60,1:1,1:1,,1,288
61,3:3,3:3,,0.621,295
62,3:3,2:2,+,1,308
63,3:3,3:3,,1,313
64,3:3,3:3,,1,315
65,6:U,6:U,,0.99,330
66,3:3,3:3,,0.971,337
67,3:3,3:3,,0.999,339
68,3:3,6:U,+,0.509,343
69,3:3,6:U,+,0.84,345
70,6:U,6:U,,1,366
71,3:3,3:3,,1,372
72,3:3,3:3,,0.999,378
73,3:3,2:2,+,0.592,379
74,6:U,6:U,,0.999,385
75,2:2,1:1,+,0.496,387
76,3:3,2:2,+,1,389
77,3:3,3:3,,0.953,391
78,3:3,5:5,+,0.537,392
79,3:3,3:3,,0.529,397
80,3:3,3:3,,0.873,401
81,1:1,1:1,,0.998,406
82,5:5,1:1,+,0.57,413
83,3:3,3:3,,1,418
84,3:3,3:3,,1,427
85,3:3,3:3,,0.548,435
86,3:3,2:2,+,1,454
87,2:2,2:2,,0.859,455
88,5:5,5:5,,0.984,458
89,5:5,5:5,,0.996,459
90,3:3,3:3,,0.662,460
91,3:3,6:U,+,0.995,461
92,3:3,3:3,,0.501,466
93,3:3,2:2,+,0.554,471
94,3:3,5:5,+,0.968,474
95,3:3,6:U,+,0.974,475
96,3:3,6:U,+,0.973,476
97,3:3,5:5,+,0.81,484
98,3:3,3:3,,0.551,489
99,3:3,5:5,+,0.522,491
100,3:3,3:3,,0.502,492
101,3:3,3:3,,0.984,498
102,5:5,5:5,,0.982,502
103,3:3,5:5,+,0.98,504
104,3:3,5:5,+,0.96,508
105,3:3,3:3,,0.572,510
106,3:3,3:3,,0.702,520
107,3:3,3:3,,0.813,524
108,2:2,2:2,,0.855,540
109,3:3,3:3,,0.548,546
110,3:3,3:3,,0.873,553
111,2:2,3:3,+,0.503,555
112,3:3,3:3,,0.578,556
113,3:3,2:2,+,0.508,560
114,3:3,5:5,+,0.598,561
115,3:3,3:3,,1,562
116,3:3,3:3,,0.985,563
117,3:3,2:2,+,0.817,564
118,3:3,3:3,,1,565
119,3:3,3:3,,0.993,566
120,3:3,3:3,,0.682,573
121,3:3,3:3,,0.948,574
122,6:U,6:U,,0.986,577
123,6:U,6:U,,0.996,592
