inst#,actual,predicted,error,prediction,ID
1,2:1,1:0,+,0.696,23
2,1:0,1:0,,0.984,29
3,1:0,1:0,,0.992,31
4,1:0,1:0,,0.972,32
5,3:2,1:0,+,0.899,43
6,1:0,1:0,,0.877,44
7,1:0,1:0,,0.982,48
8,1:0,1:0,,0.979,49
9,1:0,1:0,,0.984,51
10,1:0,1:0,,0.988,54
11,1:0,1:0,,0.989,56
12,1:0,1:0,,0.982,58
13,3:2,2:1,+,0.498,63
14,1:0,1:0,,0.665,65
15,1:0,1:0,,0.965,70
16,1:0,1:0,,0.975,76
17,1:0,1:0,,0.989,78
18,1:0,1:0,,0.981,81
19,1:0,1:0,,0.94,86
20,1:0,1:0,,0.72,101
21,1:0,1:0,,0.984,107
22,2:1,1:0,+,0.893,109
23,1:0,1:0,,0.792,113
24,1:0,1:0,,0.99,115
25,1:0,1:0,,0.99,123
26,2:1,2:1,,0.394,128
27,1:0,1:0,,0.983,155
28,1:0,1:0,,0.99,163
29,1:0,1:0,,0.987,168
30,1:0,1:0,,0.61,174
31,1:0,1:0,,0.898,175
32,1:0,1:0,,0.968,184
33,1:0,1:0,,0.69,192
34,1:0,1:0,,0.749,196
35,1:0,1:0,,0.833,198
36,1:0,1:0,,0.943,208
37,1:0,1:0,,0.99,210
38,1:0,1:0,,0.963,218
39,3:2,1:0,+,0.901,220
40,1:0,1:0,,0.927,221
41,1:0,1:0,,0.956,231
42,1:0,1:0,,0.586,233
43,1:0,1:0,,0.986,237
44,1:0,1:0,,0.949,239
45,1:0,1:0,,0.985,240
46,1:0,1:0,,0.955,243
47,3:2,2:1,+,0.481,244
48,1:0,1:0,,0.942,247
49,1:0,1:0,,0.987,254
50,1:0,1:0,,0.961,259
51,3:2,1:0,+,0.442,261
52,1:0,1:0,,0.973,265
53,1:0,1:0,,0.69,270
54,1:0,1:0,,0.645,275
55,1:0,1:0,,0.983,277
56,1:0,1:0,,0.96,286
57,1:0,1:0,,0.969,289
58,1:0,1:0,,0.972,291
59,1:0,1:0,,0.99,296
60,1:0,1:0,,0.981,297
61,1:0,1:0,,0.984,298
62,1:0,1:0,,0.978,303
63,1:0,1:0,,0.987,306
64,1:0,1:0,,0.874,309
65,1:0,1:0,,0.988,312
66,1:0,1:0,,0.516,316
67,1:0,1:0,,0.976,339
68,1:0,1:0,,0.993,342
69,1:0,1:0,,0.99,344
70,1:0,1:0,,0.989,346
71,1:0,1:0,,0.971,351
72,3:2,1:0,+,0.841,352
73,1:0,1:0,,0.992,353
74,1:0,1:0,,0.98,358
75,1:0,1:0,,0.963,361
76,1:0,1:0,,0.989,363
77,1:0,1:0,,0.984,367
78,1:0,1:0,,0.988,371
