inst#,actual,predicted,error,prediction,ID
1,1:cp,1:cp,,1,0
2,1:cp,1:cp,,1,4
3,1:cp,1:cp,,0.72,8
4,1:cp,1:cp,,0.999,11
5,1:cp,1:cp,,1,14
6,1:cp,1:cp,,0.999,26
7,1:cp,1:cp,,0.995,27
8,1:cp,1:cp,,0.925,32
9,1:cp,1:cp,,0.993,36
10,1:cp,1:cp,,0.997,40
11,1:cp,1:cp,,0.997,41
12,1:cp,1:cp,,0.999,47
13,1:cp,1:cp,,1,51
14,1:cp,1:cp,,0.999,61
15,1:cp,1:cp,,0.947,62
16,1:cp,1:cp,,1,64
17,1:cp,1:cp,,0.995,89
18,1:cp,3:pp,+,0.982,95
19,1:cp,3:pp,+,0.841,98
20,1:cp,1:cp,,0.999,100
21,1:cp,1:cp,,0.999,103
22,1:cp,1:cp,,1,122
23,1:cp,1:cp,,1,123
24,1:cp,1:cp,,1,128
25,1:cp,1:cp,,0.999,131
26,1:cp,1:cp,,0.998,135
27,1:cp,1:cp,,1,136
28,1:cp,1:cp,,0.999,138
29,1:cp,1:cp,,0.993,141
30,2:im,2:im,,0.99,150
31,2:im,4:imU,+,0.691,156
32,2:im,4:imU,+,0.714,162
33,2:im,4:imU,+,0.635,171
34,2:im,4:imU,+,0.889,178
35,2:im,2:im,,0.973,192
36,2:im,2:im,,0.801,200
37,2:im,2:im,,0.99,204
38,2:im,2:im,,0.948,206
39,2:im,2:im,,0.941,213
40,2:im,2:im,,0.924,215
41,2:im,2:im,,0.79,216
42,2:im,2:im,,0.726,218
43,4:imU,4:imU,,0.802,230
44,4:imU,4:imU,,0.493,233
45,4:imU,4:imU,,0.907,242
46,4:imU,4:imU,,0.416,248
47,4:imU,4:imU,,0.863,250
48,4:imU,4:imU,,0.801,258
49,5:om,3:pp,+,0.981,262
50,5:om,2:im,+,0.624,274
51,5:om,5:om,,1,278
52,6:omL,6:omL,,1,280
53,3:pp,5:om,+,1,287
54,3:pp,3:pp,,0.58,288
55,3:pp,3:pp,,0.999,289
56,3:pp,3:pp,,0.807,292
57,3:pp,3:pp,,0.999,297
58,3:pp,1:cp,+,0.999,300
59,3:pp,3:pp,,0.891,301
60,3:pp,3:pp,,1,305
61,3:pp,3:pp,,0.998,315
62,3:pp,3:pp,,0.995,317
63,3:pp,3:pp,,0.57,319
64,3:pp,3:pp,,0.98,320
65,3:pp,3:pp,,0.99,321
66,3:pp,3:pp,,0.968,329
67,3:pp,3:pp,,0.789,332

