inst#,actual,predicted,error,prediction,ID
1,2:noband,2:noband,,0.596,4
2,1:band,2:noband,+,0.596,8
3,1:band,2:noband,+,0.596,12
4,2:noband,2:noband,,0.596,14
5,2:noband,2:noband,,0.596,27
6,1:band,2:noband,+,0.596,28
7,2:noband,2:noband,,0.596,32
8,2:noband,2:noband,,0.596,35
9,2:noband,2:noband,,0.596,40
10,2:noband,2:noband,,0.596,41
11,2:noband,2:noband,,0.596,44
12,2:noband,2:noband,,0.596,47
13,1:band,2:noband,+,0.596,51
14,2:noband,2:noband,,0.596,61
15,2:noband,2:noband,,0.596,62
16,1:band,2:noband,+,0.596,64
17,1:band,2:noband,+,0.596,65
18,1:band,2:noband,+,0.596,85
19,2:noband,2:noband,,0.596,95
20,2:noband,2:noband,,0.596,98
21,2:noband,2:noband,,0.596,100
22,1:band,2:noband,+,0.596,107
23,2:noband,2:noband,,0.596,112
24,2:noband,2:noband,,0.596,115
25,1:band,2:noband,+,0.596,120
26,2:noband,2:noband,,0.596,127
27,2:noband,2:noband,,0.596,128
28,2:noband,2:noband,,0.596,133
29,1:band,2:noband,+,0.596,135
30,1:band,2:noband,+,0.596,136
31,2:noband,2:noband,,0.596,138
32,2:noband,2:noband,,0.596,142
33,2:noband,2:noband,,0.596,151
34,2:noband,2:noband,,0.596,156
35,2:noband,2:noband,,0.596,159
36,1:band,2:noband,+,0.596,162
37,1:band,2:noband,+,0.596,164
38,1:band,2:noband,+,0.596,170
39,1:band,2:noband,+,0.596,171
40,1:band,2:noband,+,0.596,178
41,1:band,2:noband,+,0.596,179
42,2:noband,2:noband,,0.596,186
43,1:band,2:noband,+,0.596,197
44,2:noband,2:noband,,0.596,200
45,2:noband,2:noband,,0.596,206
46,2:noband,2:noband,,0.596,213
47,2:noband,2:noband,,0.596,215
48,2:noband,2:noband,,0.596,221
49,1:band,2:noband,+,0.596,224
50,2:noband,2:noband,,0.596,226
51,1:band,2:noband,+,0.596,230
52,1:band,2:noband,+,0.596,232
53,2:noband,2:noband,,0.596,233
54,1:band,2:noband,+,0.596,240
55,2:noband,2:noband,,0.596,242
56,2:noband,2:noband,,0.596,254
57,2:noband,2:noband,,0.596,256
58,2:noband,2:noband,,0.596,258
59,2:noband,2:noband,,0.596,260
60,2:noband,2:noband,,0.596,267
61,2:noband,2:noband,,0.596,282
62,2:noband,2:noband,,0.596,283
63,2:noband,2:noband,,0.596,285
64,2:noband,2:noband,,0.596,288
65,2:noband,2:noband,,0.596,292
66,2:noband,2:noband,,0.596,300
67,2:noband,2:noband,,0.596,314
68,2:noband,2:noband,,0.596,317
69,1:band,2:noband,+,0.596,326
70,2:noband,2:noband,,0.596,327
71,1:band,2:noband,+,0.596,340
72,2:noband,2:noband,,0.596,344
73,1:band,2:noband,+,0.596,351
74,1:band,2:noband,+,0.596,358
75,1:band,2:noband,+,0.596,360
76,2:noband,2:noband,,0.596,365
77,1:band,2:noband,+,0.596,374
78,1:band,2:noband,+,0.596,377
79,1:band,2:noband,+,0.596,378
80,2:noband,2:noband,,0.596,379
81,1:band,2:noband,+,0.596,386
82,2:noband,2:noband,,0.596,391
83,1:band,2:noband,+,0.596,398
84,2:noband,2:noband,,0.596,402
85,1:band,2:noband,+,0.596,411
86,2:noband,2:noband,,0.596,424
87,2:noband,2:noband,,0.596,425
88,2:noband,2:noband,,0.596,428
89,1:band,2:noband,+,0.596,431
90,2:noband,2:noband,,0.596,440
91,2:noband,2:noband,,0.596,444
92,1:band,2:noband,+,0.596,455
93,1:band,2:noband,+,0.596,465
94,1:band,2:noband,+,0.596,467
95,1:band,2:noband,+,0.596,468
96,1:band,2:noband,+,0.596,470
97,1:band,2:noband,+,0.596,471
98,1:band,2:noband,+,0.596,478
99,1:band,2:noband,+,0.596,481
100,1:band,2:noband,+,0.596,492
101,1:band,2:noband,+,0.596,493
102,1:band,2:noband,+,0.596,495
103,1:band,2:noband,+,0.596,509
104,1:band,2:noband,+,0.596,512
105,1:band,2:noband,+,0.596,523
106,1:band,2:noband,+,0.596,527
107,1:band,2:noband,+,0.596,530
108,1:band,2:noband,+,0.596,538

