inst#,actual,predicted,error,prediction,ID
1,3:R,3:R,,0.959,2
2,3:R,3:R,,0.955,10
3,3:R,3:R,,0.947,24
4,3:R,3:R,,0.957,29
5,2:B,1:L,+,0.807,30
6,3:R,3:R,,0.922,31
7,3:R,3:R,,0.951,39
8,3:R,3:R,,0.946,49
9,1:L,1:L,,0.954,55
10,3:R,1:L,+,0.795,56
11,2:B,1:L,+,0.786,60
12,3:R,3:R,,0.951,63
13,3:R,3:R,,0.946,70
14,3:R,3:R,,0.946,72
15,1:L,1:L,,0.957,76
16,1:L,1:L,,0.954,77
17,2:B,1:L,+,0.792,78
18,2:B,1:L,+,0.952,81
19,3:R,1:L,+,0.783,82
20,3:R,1:L,+,0.773,86
21,2:B,1:L,+,0.763,90
22,1:L,1:L,,0.956,101
23,3:R,3:R,,0.921,109
24,1:L,1:L,,0.951,110
25,3:R,3:R,,0.944,118
26,3:R,3:R,,0.919,131
27,3:R,3:R,,0.952,132
28,3:R,3:R,,0.918,135
29,3:R,3:R,,0.947,140
30,3:R,3:R,,0.945,145
31,3:R,3:R,,0.945,148
32,1:L,1:L,,0.951,155
33,3:R,3:R,,0.95,158
34,3:R,3:R,,0.948,163
35,3:R,3:R,,0.943,174
36,1:L,1:L,,0.949,181
37,3:R,3:R,,0.948,184
38,3:R,3:R,,0.946,188
39,3:R,3:R,,0.943,192
40,3:R,3:R,,0.94,196
41,1:L,1:L,,0.949,203
42,2:B,1:L,+,0.768,208
43,3:R,3:R,,0.918,209
44,1:L,1:L,,0.948,210
45,1:L,1:L,,0.944,211
46,3:R,1:L,+,0.757,212
47,1:L,1:L,,0.941,215
48,3:R,3:R,,0.941,218
49,1:L,1:L,,0.734,220
50,1:L,1:L,,0.952,227
51,1:L,1:L,,0.951,228
52,1:L,1:L,,0.95,231
53,1:L,1:L,,0.948,235
54,1:L,1:L,,0.954,250
55,3:R,1:L,+,0.792,256
56,3:R,3:R,,0.916,257
57,3:R,3:R,,0.948,259
58,2:B,1:L,+,0.782,260
59,3:R,3:R,,0.914,261
60,3:R,3:R,,0.912,265
61,3:R,3:R,,0.94,271
62,3:R,3:R,,0.941,272
63,3:R,3:R,,0.941,274
64,1:L,1:L,,0.946,281
65,3:R,3:R,,0.945,284
66,2:B,1:L,+,0.768,286
67,3:R,3:R,,0.94,292
68,1:L,1:L,,0.953,300
69,1:L,1:L,,0.952,301
70,1:L,1:L,,0.945,310
71,1:L,1:L,,0.94,311
72,3:R,3:R,,0.937,318
73,1:L,1:L,,0.751,334
74,1:L,1:L,,0.945,335
75,1:L,1:L,,0.94,340
76,3:R,3:R,,0.935,344
77,1:L,1:L,,0.952,350
78,1:L,1:L,,0.945,357
79,3:R,1:L,+,0.711,368
80,3:R,3:R,,0.906,369
81,2:B,1:L,+,0.943,381
82,3:R,1:L,+,0.776,382
83,3:R,3:R,,0.904,395
84,3:R,3:R,,0.935,398
85,1:L,1:L,,0.947,405
86,3:R,1:L,+,0.75,412
87,3:R,3:R,,0.905,417
88,3:R,3:R,,0.902,421
89,1:L,1:L,,0.747,434
90,1:L,1:L,,0.934,437
91,3:R,3:R,,0.903,443
92,3:R,3:R,,0.9,447
93,1:L,1:L,,0.95,450
94,1:L,1:L,,0.947,480
95,1:L,1:L,,0.943,482
96,1:L,1:L,,0.943,485
97,1:L,1:L,,0.937,487
98,3:R,3:R,,0.906,509
99,3:R,1:L,+,0.746,512
100,3:R,3:R,,0.903,513
101,1:L,1:L,,0.93,515
102,1:L,1:L,,0.944,527
103,2:B,1:L,+,0.743,534
104,1:L,1:L,,0.939,535
105,3:R,3:R,,0.898,543
106,1:L,1:L,,0.939,554
107,1:L,1:L,,0.942,556
108,1:L,1:L,,0.939,557
109,1:L,1:L,,0.931,559
110,1:L,1:L,,0.927,570
111,3:R,3:R,,0.893,573
112,1:L,1:L,,0.942,578
113,1:L,1:L,,0.94,579
114,1:L,1:L,,0.945,580
115,1:L,1:L,,0.937,583
116,1:L,1:L,,0.934,584
117,1:L,1:L,,0.931,588
118,1:L,1:L,,0.927,592
119,2:B,1:L,+,0.683,594
120,3:R,3:R,,0.89,599
121,1:L,1:L,,0.949,600
122,1:L,1:L,,0.938,608
123,1:L,1:L,,0.935,612
124,1:L,1:L,,0.93,620
125,1:L,1:L,,0.925,621

