inst#,actual,predicted,error,prediction,ID
1,1:cp,3:pp,+,0.651,2
2,1:cp,1:cp,,0.999,12
3,1:cp,1:cp,,0.997,23
4,1:cp,1:cp,,0.997,28
5,1:cp,1:cp,,0.999,29
6,1:cp,1:cp,,0.99,35
7,1:cp,1:cp,,0.755,37
8,1:cp,1:cp,,0.999,38
9,1:cp,1:cp,,0.918,44
10,1:cp,1:cp,,0.963,65
11,1:cp,3:pp,+,0.704,67
12,1:cp,1:cp,,0.999,68
13,1:cp,1:cp,,0.999,70
14,1:cp,1:cp,,0.999,74
15,1:cp,1:cp,,0.997,83
16,1:cp,1:cp,,0.963,85
17,1:cp,1:cp,,0.99,86
18,1:cp,1:cp,,0.99,107
19,1:cp,1:cp,,0.999,112
20,1:cp,1:cp,,0.997,115
21,1:cp,1:cp,,0.997,117
22,1:cp,1:cp,,0.999,120
23,1:cp,1:cp,,0.99,125
24,1:cp,1:cp,,0.999,127
25,1:cp,1:cp,,0.99,129
26,1:cp,1:cp,,0.942,133
27,1:cp,1:cp,,0.997,142
28,2:im,2:im,,0.936,146
29,2:im,2:im,,0.939,152
30,2:im,5:om,+,0.66,154
31,2:im,2:im,,0.974,159
32,2:im,2:im,,0.974,164
33,2:im,2:im,,0.981,167
34,2:im,2:im,,0.936,170
35,2:im,2:im,,0.939,175
36,2:im,2:im,,0.562,176
37,2:im,2:im,,0.829,184
38,2:im,2:im,,0.936,185
39,2:im,4:imU,+,0.892,186
40,2:im,2:im,,0.936,196
41,2:im,2:im,,0.936,202
42,2:im,2:im,,0.582,209
43,2:im,2:im,,0.562,219
44,7:imL,3:pp,+,0.651,222
45,7:imL,2:im,+,0.562,223
46,4:imU,4:imU,,0.883,225
47,4:imU,4:imU,,0.883,226
48,4:imU,2:im,+,0.774,234
49,4:imU,2:im,+,0.831,239
50,4:imU,2:im,+,0.774,240
51,4:imU,4:imU,,0.892,244
52,4:imU,4:imU,,0.892,249
53,4:imU,2:im,+,0.562,254
54,5:om,5:om,,0.957,267
55,5:om,5:om,,0.944,268
56,6:omL,3:pp,+,0.96,279
57,6:omL,2:im,+,0.805,281
58,6:omL,5:om,+,0.667,282
59,3:pp,3:pp,,0.651,284
60,3:pp,3:pp,,0.784,285
61,3:pp,3:pp,,0.784,291
62,3:pp,3:pp,,0.987,304
63,3:pp,3:pp,,0.987,309
64,3:pp,6:omL,+,0.358,310
65,3:pp,3:pp,,0.987,312
66,3:pp,3:pp,,0.987,324
67,3:pp,2:im,+,0.814,331

