inst#,actual,predicted,error,prediction,ID
1,2:low,3:average,+,0.522,2
2,2:low,3:average,+,0.531,10
3,4:good,4:good,,0.377,23
4,2:low,4:good,+,0.408,30
5,5:best,5:best,,0.458,31
6,4:good,5:best,+,0.374,33
7,5:best,5:best,,0.492,39
8,4:good,5:best,+,0.445,44
9,4:good,5:best,+,0.489,49
10,3:average,4:good,+,0.464,54
11,1:none,1:none,,0.608,55
12,4:good,4:good,,0.474,60
13,4:good,4:good,,0.487,63
14,4:good,4:good,,0.443,65
15,4:good,4:good,,0.448,66
16,1:none,1:none,,0.447,69
17,4:good,4:good,,0.481,70
18,4:good,4:good,,0.463,72
19,1:none,1:none,,0.638,76
20,4:good,3:average,+,0.287,77
21,2:low,2:low,,0.401,78
22,2:low,2:low,,0.383,79
23,5:best,5:best,,0.291,81
24,5:best,5:best,,0.475,84
25,1:none,1:none,,0.519,86
26,1:none,1:none,,0.437,90
27,5:best,5:best,,0.555,97
28,2:low,2:low,,0.442,101
29,1:none,1:none,,0.592,109
30,1:none,2:low,+,0.426,118
31,5:best,5:best,,0.825,120
32,5:best,5:best,,0.531,131
33,2:low,2:low,,0.471,133
34,5:best,5:best,,0.379,148
35,2:low,3:average,+,0.404,155
36,4:good,5:best,+,0.455,158
37,2:low,3:average,+,0.466,164
38,4:good,5:best,+,0.41,174
39,3:average,3:average,,0.303,192
40,5:best,5:best,,0.488,198
41,5:best,5:best,,0.505,199
42,3:average,3:average,,0.365,204
43,2:low,2:low,,0.353,208
44,2:low,2:low,,0.362,210
45,2:low,1:none,+,0.548,211
46,3:average,3:average,,0.344,212
47,3:average,4:good,+,0.35,215
48,5:best,5:best,,0.414,223
49,3:average,4:good,+,0.316,234
50,1:none,1:none,,0.616,235
51,1:none,1:none,,0.625,239
52,1:none,3:average,+,0.254,247
53,1:none,1:none,,0.321,248
54,1:none,1:none,,0.39,250
55,1:none,1:none,,0.718,259
56,2:low,1:none,+,0.458,264
57,4:good,4:good,,0.336,266
58,3:average,1:none,+,0.468,275
59,2:low,3:average,+,0.42,286
60,1:none,1:none,,0.477,290
61,2:low,3:average,+,0.438,294
62,2:low,3:average,+,0.441,306
63,3:average,5:best,+,0.386,311
64,1:none,2:low,+,0.415,319
65,3:average,3:average,,0.399,323
66,3:average,3:average,,0.402,324
67,4:good,4:good,,0.498,329
68,4:good,4:good,,0.495,331
69,3:average,3:average,,0.512,332
70,4:good,4:good,,0.494,334
71,2:low,1:none,+,0.492,342
72,4:good,4:good,,0.491,346
73,4:good,4:good,,0.463,349
74,3:average,3:average,,0.516,351
75,3:average,4:good,+,0.479,352
76,4:good,4:good,,0.477,355
77,4:good,4:good,,0.446,356
78,5:best,4:good,+,0.481,360
79,5:best,4:good,+,0.479,361
80,4:good,4:good,,0.456,368
81,4:good,3:average,+,0.499,375
82,5:best,4:good,+,0.438,380
83,3:average,3:average,,0.538,390
84,4:good,3:average,+,0.535,396
85,1:none,1:none,,0.401,398
86,4:good,3:average,+,0.405,404
87,4:good,3:average,+,0.435,408
88,3:average,3:average,,0.533,409
89,1:none,3:average,+,0.465,411
90,2:low,3:average,+,0.54,417
91,5:best,5:best,,0.39,420
92,3:average,3:average,,0.507,423
93,2:low,3:average,+,0.537,424
94,5:best,5:best,,0.38,428
95,1:none,1:none,,0.357,430
96,1:none,3:average,+,0.373,436
97,4:good,4:good,,0.438,439
98,4:good,4:good,,0.402,448
99,4:good,3:average,+,0.382,449
100,3:average,3:average,,0.357,450
101,4:good,4:good,,0.42,453
102,4:good,4:good,,0.413,456
103,4:good,4:good,,0.393,468
104,2:low,3:average,+,0.379,469
105,4:good,4:good,,0.41,470
106,4:good,4:good,,0.411,477
107,4:good,4:good,,0.411,478
108,4:good,5:best,+,0.369,485
109,3:average,4:good,+,0.413,487
110,4:good,4:good,,0.429,503
111,3:average,3:average,,0.438,517
112,1:none,1:none,,0.573,527
113,2:low,3:average,+,0.51,549
114,5:best,4:good,+,0.418,554
115,5:best,4:good,+,0.382,570
116,4:good,3:average,+,0.384,571
117,4:good,4:good,,0.447,576
118,3:average,4:good,+,0.457,583
119,4:good,4:good,,0.46,585
120,4:good,5:best,+,0.414,587
121,5:best,4:good,+,0.425,593
122,5:best,4:good,+,0.446,599
123,5:best,5:best,,0.445,606
124,5:best,5:best,,0.446,609
125,1:none,4:good,+,0.334,610
126,4:good,4:good,,0.406,611
127,2:low,4:good,+,0.332,617
128,4:good,4:good,,0.417,619
129,1:none,3:average,+,0.395,629
130,1:none,3:average,+,0.609,631
131,2:low,3:average,+,0.57,638
132,4:good,3:average,+,0.389,643
133,3:average,5:best,+,0.377,655
134,4:good,5:best,+,0.468,659
135,1:none,1:none,,0.701,664
136,1:none,1:none,,0.6,666
137,1:none,1:none,,0.465,669
138,1:none,1:none,,0.706,680
139,1:none,1:none,,0.535,683
140,1:none,1:none,,0.613,685
141,1:none,1:none,,0.383,694
142,1:none,1:none,,0.733,702
143,1:none,1:none,,0.764,703
144,1:none,1:none,,0.352,714
145,1:none,1:none,,0.62,716
146,1:none,1:none,,0.722,722
147,3:average,4:good,+,0.523,731
148,4:good,4:good,,0.531,732

