inst#,actual,predicted,error,prediction,ID
1,3:average,2:low,+,0.656,8
2,3:average,3:average,,0.429,26
3,4:good,4:good,,0.416,36
4,4:good,4:good,,0.554,37
5,5:best,5:best,,0.715,50
6,4:good,4:good,,0.69,53
7,4:good,3:average,+,0.4,67
8,4:good,3:average,+,0.454,74
9,3:average,4:good,+,0.512,103
10,5:best,5:best,,0.881,111
11,5:best,5:best,,0.921,112
12,5:best,5:best,,0.97,115
13,2:low,2:low,,0.79,119
14,1:none,1:none,,0.726,122
15,4:good,4:good,,0.63,123
16,5:best,4:good,+,0.604,127
17,4:good,4:good,,0.585,129
18,1:none,2:low,+,0.619,143
19,1:none,1:none,,0.82,146
20,2:low,3:average,+,0.567,147
21,2:low,2:low,,0.349,150
22,4:good,4:good,,0.31,151
23,4:good,5:best,+,0.442,152
24,5:best,5:best,,0.584,157
25,2:low,2:low,,0.605,162
26,3:average,3:average,,0.618,168
27,5:best,5:best,,0.569,175
28,4:good,5:best,+,0.505,183
29,2:low,2:low,,0.652,186
30,2:low,2:low,,0.821,193
31,4:good,2:low,+,0.392,194
32,4:good,5:best,+,0.304,197
33,5:best,4:good,+,0.771,202
34,5:best,4:good,+,0.593,207
35,4:good,4:good,,0.489,219
36,5:best,5:best,,0.336,224
37,4:good,1:none,+,0.44,225
38,4:good,3:average,+,0.448,226
39,4:good,4:good,,0.505,229
40,2:low,1:none,+,0.387,232
41,2:low,1:none,+,0.393,233
42,1:none,1:none,,0.75,237
43,1:none,1:none,,0.782,246
44,1:none,1:none,,0.948,253
45,1:none,1:none,,0.683,258
46,2:low,1:none,+,0.517,262
47,1:none,1:none,,0.542,263
48,3:average,4:good,+,0.457,267
49,2:low,1:none,+,0.427,279
50,2:low,1:none,+,0.476,282
51,3:average,2:low,+,0.407,293
52,3:average,4:good,+,0.255,297
53,3:average,2:low,+,0.58,303
54,5:best,4:good,+,0.711,309
55,5:best,3:average,+,0.565,317
56,5:best,5:best,,0.72,325
57,4:good,4:good,,0.918,347
58,4:good,4:good,,0.85,348
59,3:average,4:good,+,0.454,358
60,1:none,1:none,,0.622,364
61,4:good,3:average,+,0.613,365
62,4:good,4:good,,0.616,370
63,4:good,4:good,,0.87,373
64,3:average,4:good,+,0.577,374
65,4:good,4:good,,0.643,376
66,4:good,4:good,,0.734,383
67,1:none,1:none,,0.71,384
68,4:good,4:good,,0.769,386
69,3:average,2:low,+,0.492,400
70,2:low,2:low,,0.62,402
71,3:average,3:average,,0.633,403
72,4:good,3:average,+,0.697,407
73,2:low,3:average,+,0.451,410
74,1:none,2:low,+,0.525,414
75,1:none,1:none,,0.655,415
76,5:best,5:best,,0.42,419
77,3:average,3:average,,0.599,421
78,4:good,4:good,,0.918,437
79,5:best,4:good,+,0.96,438
80,2:low,1:none,+,0.53,441
81,3:average,4:good,+,0.654,442
82,4:good,4:good,,0.777,444
83,3:average,2:low,+,0.456,452
84,2:low,4:good,+,0.589,463
85,4:good,4:good,,0.965,472
86,4:good,4:good,,0.933,480
87,4:good,4:good,,0.568,488
88,3:average,3:average,,0.506,496
89,1:none,3:average,+,0.365,505
90,3:average,2:low,+,0.342,506
91,1:none,3:average,+,0.365,507
92,1:none,1:none,,0.756,509
93,1:none,1:none,,0.361,515
94,4:good,3:average,+,0.517,516
95,4:good,5:best,+,0.745,525
96,4:good,4:good,,0.693,528
97,4:good,4:good,,0.78,529
98,3:average,4:good,+,0.513,530
99,4:good,3:average,+,0.8,532
100,1:none,2:low,+,0.408,538
101,4:good,4:good,,0.6,539
102,1:none,1:none,,0.426,543
103,4:good,4:good,,0.86,552
104,4:good,4:good,,0.498,557
105,3:average,3:average,,0.61,559
106,3:average,4:good,+,0.56,567
107,4:good,5:best,+,0.692,568
108,1:none,1:none,,0.369,572
109,4:good,4:good,,0.5,575
110,4:good,5:best,+,0.469,578
111,4:good,4:good,,0.384,580
112,4:good,4:good,,0.63,581
113,4:good,4:good,,0.408,584
114,4:good,4:good,,0.464,586
115,4:good,4:good,,0.571,588
116,5:best,5:best,,0.49,596
117,4:good,4:good,,0.574,597
118,5:best,4:good,+,0.54,601
119,4:good,4:good,,0.47,605
120,1:none,2:low,+,0.598,613
121,4:good,5:best,+,0.5,620
122,5:best,5:best,,0.522,625
123,2:low,3:average,+,0.354,626
124,4:good,4:good,,0.497,627
125,1:none,1:none,,0.54,633
126,2:low,2:low,,0.46,635
127,5:best,4:good,+,0.631,636
128,5:best,4:good,+,0.648,637
129,3:average,3:average,,0.472,640
130,3:average,3:average,,0.535,652
131,5:best,4:good,+,0.702,653
132,3:average,3:average,,0.428,657
133,1:none,1:none,,0.692,668
134,1:none,1:none,,0.797,671
135,1:none,1:none,,0.817,679
136,1:none,1:none,,0.797,692
137,1:none,1:none,,0.798,693
138,1:none,1:none,,0.81,698
139,1:none,1:none,,0.818,701
140,1:none,1:none,,0.795,706
141,1:none,1:none,,0.786,709
142,1:none,1:none,,0.682,710
143,1:none,1:none,,0.796,712
144,1:none,1:none,,0.81,719
145,1:none,1:none,,0.818,724
146,1:none,1:none,,0.698,728
147,1:none,1:none,,0.839,730

