inst#,actual,predicted,error,prediction,ID
1,3:R,3:R,,0.946,3
2,3:R,3:R,,0.944,5
3,3:R,3:R,,0.948,8
4,3:R,3:R,,0.95,16
5,3:R,3:R,,0.95,17
6,3:R,3:R,,0.951,19
7,1:L,1:L,,0.918,25
8,2:B,3:R,+,0.687,26
9,3:R,3:R,,0.947,36
10,3:R,3:R,,0.947,37
11,3:R,3:R,,0.95,45
12,3:R,3:R,,0.95,48
13,1:L,1:L,,0.947,50
14,3:R,3:R,,0.938,57
15,3:R,3:R,,0.944,59
16,3:R,3:R,,0.947,67
17,3:R,3:R,,0.948,74
18,3:R,3:R,,0.945,94
19,1:L,1:L,,0.923,103
20,3:R,1:L,+,0.924,111
21,3:R,3:R,,0.932,113
22,3:R,3:R,,0.942,119
23,3:R,3:R,,0.944,124
24,2:B,3:R,+,0.677,126
25,3:R,3:R,,0.948,139
26,3:R,3:R,,0.95,141
27,3:R,3:R,,0.951,149
28,1:L,1:L,,0.948,150
29,1:L,3:R,+,0.625,152
30,3:R,3:R,,0.943,154
31,3:R,3:R,,0.939,157
32,3:R,3:R,,0.946,162
33,3:R,3:R,,0.948,168
34,3:R,3:R,,0.949,172
35,3:R,3:R,,0.949,173
36,1:L,1:L,,0.949,175
37,1:L,1:L,,0.948,180
38,1:L,1:L,,0.925,185
39,1:L,3:R,+,0.641,190
40,3:R,3:R,,0.946,193
41,3:R,3:R,,0.946,194
42,1:L,1:L,,0.926,207
43,3:R,3:R,,0.945,222
44,1:L,1:L,,0.949,225
45,1:L,1:L,,0.948,226
46,1:L,1:L,,0.926,229
47,1:L,1:L,,0.927,237
48,1:L,1:L,,0.928,245
49,3:R,3:R,,0.938,253
50,1:L,1:L,,0.926,255
51,3:R,3:R,,0.948,262
52,3:R,3:R,,0.947,263
53,3:R,3:R,,0.949,266
54,1:L,1:L,,0.949,280
55,3:R,3:R,,0.948,297
56,1:L,1:L,,0.928,303
57,3:R,3:R,,0.932,309
58,1:L,3:R,+,0.573,316
59,3:R,3:R,,0.945,319
60,3:R,3:R,,0.946,322
61,1:L,1:L,,0.946,327
62,1:L,1:L,,0.944,328
63,1:L,1:L,,0.948,331
64,2:B,3:R,+,0.487,338
65,1:L,3:R,+,0.54,346
66,3:R,3:R,,0.944,349
67,1:L,1:L,,0.947,352
68,1:L,1:L,,0.945,353
69,1:L,1:L,,0.941,354
70,1:L,1:L,,0.95,355
71,1:L,1:L,,0.948,356
72,1:L,1:L,,0.947,361
73,1:L,1:L,,0.945,362
74,1:L,1:L,,0.949,365
75,1:L,1:L,,0.948,370
76,1:L,1:L,,0.951,375
77,1:L,1:L,,0.93,377
78,3:R,3:R,,0.938,383
79,3:R,3:R,,0.948,393
80,3:R,3:R,,0.95,396
81,1:L,3:R,+,0.481,404
82,3:R,3:R,,0.933,409
83,1:L,1:L,,0.931,411
84,3:R,3:R,,0.948,422
85,3:R,3:R,,0.948,423
86,1:L,1:L,,0.951,425
87,1:L,1:L,,0.95,426
88,1:L,1:L,,0.931,433
89,1:L,1:L,,0.946,462
90,1:L,1:L,,0.95,465
91,1:L,1:L,,0.932,467
92,1:L,3:R,+,0.465,472
93,1:L,1:L,,0.946,478
94,1:L,1:L,,0.95,481
95,1:L,1:L,,0.95,490
96,1:L,1:L,,0.932,493
97,1:L,1:L,,0.952,505
98,3:R,1:L,+,0.933,507
99,3:R,3:R,,0.947,518
100,3:R,3:R,,0.947,519
101,3:R,3:R,,0.949,523
102,1:L,1:L,,0.952,525
103,1:L,1:L,,0.932,529
104,1:L,1:L,,0.952,530
105,1:L,1:L,,0.95,531
106,1:L,1:L,,0.948,532
107,1:L,1:L,,0.934,537
108,3:R,3:R,,0.459,538
109,3:R,3:R,,0.933,539
110,3:R,3:R,,0.938,547
111,1:L,1:L,,0.951,551
112,3:R,3:R,,0.931,569
113,3:R,3:R,,0.945,574
114,1:L,1:L,,0.95,586
115,1:L,1:L,,0.933,589
116,1:L,1:L,,0.948,596
117,1:L,1:L,,0.935,597
118,2:B,1:L,+,0.51,598
119,1:L,1:L,,0.951,601
120,1:L,1:L,,0.949,602
121,1:L,1:L,,0.948,603
122,1:L,1:L,,0.952,605
123,1:L,1:L,,0.95,611
124,1:L,1:L,,0.946,613
125,1:L,1:L,,0.951,615

