inst#,actual,predicted,error,prediction,ID
1,2:true,1:false,+,0.938,3
2,1:false,1:false,,0.938,6
3,1:false,1:false,,0.938,7
4,1:false,1:false,,0.938,8
5,1:false,1:false,,0.938,13
6,1:false,1:false,,0.938,16
7,1:false,1:false,,0.938,17
8,1:false,1:false,,0.938,19
9,1:false,1:false,,0.938,27
10,1:false,1:false,,0.938,34
11,1:false,1:false,,0.938,35
12,2:true,1:false,+,0.938,38
13,1:false,1:false,,0.938,39
14,1:false,1:false,,0.938,43
15,1:false,1:false,,0.938,49
16,1:false,1:false,,0.938,66
17,1:false,1:false,,0.938,67
18,1:false,1:false,,0.938,72
19,1:false,1:false,,0.938,83
20,1:false,1:false,,0.938,84
21,1:false,1:false,,0.938,93
22,1:false,1:false,,0.938,96
23,1:false,1:false,,0.938,101
24,1:false,1:false,,0.938,114

