inst#,actual,predicted,error,prediction,ID
1,2:low,2:low,,0.753,2
2,2:low,2:low,,0.916,10
3,4:good,3:average,+,0.987,23
4,2:low,4:good,+,0.991,30
5,5:best,4:good,+,0.97,31
6,4:good,5:best,+,0.96,33
7,5:best,5:best,,0.881,39
8,4:good,4:good,,0.982,44
9,4:good,4:good,,1,49
10,3:average,2:low,+,1,54
11,1:none,1:none,,1,55
12,4:good,3:average,+,0.971,60
13,4:good,4:good,,0.868,63
14,4:good,4:good,,0.994,65
15,4:good,4:good,,0.999,66
16,1:none,1:none,,0.966,69
17,4:good,4:good,,0.781,70
18,4:good,4:good,,0.993,72
19,1:none,1:none,,1,76
20,4:good,3:average,+,0.991,77
21,2:low,2:low,,0.996,78
22,2:low,2:low,,0.944,79
23,5:best,3:average,+,0.996,81
24,5:best,5:best,,0.898,84
25,1:none,1:none,,1,86
26,1:none,1:none,,0.952,90
27,5:best,4:good,+,0.971,97
28,2:low,2:low,,0.998,101
29,1:none,1:none,,0.993,109
30,1:none,2:low,+,0.994,118
31,5:best,4:good,+,1,120
32,5:best,4:good,+,0.99,131
33,2:low,1:none,+,0.867,133
34,5:best,4:good,+,0.421,148
35,2:low,2:low,,0.994,155
36,4:good,5:best,+,0.606,158
37,2:low,2:low,,0.753,164
38,4:good,4:good,,1,174
39,3:average,3:average,,0.999,192
40,5:best,4:good,+,1,198
41,5:best,5:best,,0.859,199
42,3:average,2:low,+,0.744,204
43,2:low,2:low,,0.999,208
44,2:low,1:none,+,1,210
45,2:low,2:low,,0.974,211
46,3:average,2:low,+,0.829,212
47,3:average,2:low,+,0.989,215
48,5:best,4:good,+,1,223
49,3:average,3:average,,0.506,234
50,1:none,1:none,,1,235
51,1:none,1:none,,1,239
52,1:none,1:none,,1,247
53,1:none,1:none,,1,248
54,1:none,1:none,,1,250
55,1:none,1:none,,0.996,259
56,2:low,3:average,+,0.953,264
57,4:good,3:average,+,0.964,266
58,3:average,2:low,+,0.778,275
59,2:low,2:low,,0.734,286
60,1:none,1:none,,1,290
61,2:low,3:average,+,1,294
62,2:low,1:none,+,0.993,306
63,3:average,4:good,+,0.814,311
64,1:none,1:none,,1,319
65,3:average,3:average,,0.979,323
66,3:average,3:average,,0.993,324
67,4:good,4:good,,1,329
68,4:good,5:best,+,0.755,331
69,3:average,4:good,+,1,332
70,4:good,4:good,,1,334
71,2:low,1:none,+,1,342
72,4:good,4:good,,0.998,346
73,4:good,4:good,,0.623,349
74,3:average,4:good,+,0.969,351
75,3:average,3:average,,0.991,352
76,4:good,4:good,,0.714,355
77,4:good,4:good,,0.998,356
78,5:best,4:good,+,0.994,360
79,5:best,4:good,+,0.994,361
80,4:good,4:good,,1,368
81,4:good,3:average,+,1,375
82,5:best,3:average,+,0.561,380
83,3:average,3:average,,1,390
84,4:good,5:best,+,0.445,396
85,1:none,1:none,,1,398
86,4:good,5:best,+,0.998,404
87,4:good,3:average,+,0.915,408
88,3:average,2:low,+,0.979,409
89,1:none,1:none,,0.938,411
90,2:low,3:average,+,0.995,417
91,5:best,3:average,+,0.93,420
92,3:average,3:average,,1,423
93,2:low,3:average,+,0.806,424
94,5:best,4:good,+,1,428
95,1:none,1:none,,0.994,430
96,1:none,2:low,+,0.999,436
97,4:good,4:good,,0.993,439
98,4:good,4:good,,1,448
99,4:good,3:average,+,0.998,449
100,3:average,3:average,,0.342,450
101,4:good,4:good,,0.988,453
102,4:good,4:good,,1,456
103,4:good,4:good,,0.82,468
104,2:low,2:low,,0.997,469
105,4:good,3:average,+,0.74,470
106,4:good,5:best,+,0.514,477
107,4:good,3:average,+,0.802,478
108,4:good,4:good,,0.788,485
109,3:average,3:average,,0.9,487
110,4:good,4:good,,0.892,503
111,3:average,3:average,,0.944,517
112,1:none,1:none,,0.876,527
113,2:low,1:none,+,0.745,549
114,5:best,4:good,+,0.998,554
115,5:best,5:best,,0.802,570
116,4:good,4:good,,0.651,571
117,4:good,4:good,,1,576
118,3:average,4:good,+,0.994,583
119,4:good,4:good,,0.994,585
120,4:good,4:good,,0.999,587
121,5:best,4:good,+,0.616,593
122,5:best,4:good,+,0.767,599
123,5:best,5:best,,0.566,606
124,5:best,4:good,+,1,609
125,1:none,2:low,+,0.961,610
126,4:good,4:good,,0.876,611
127,2:low,2:low,,0.996,617
128,4:good,4:good,,1,619
129,1:none,2:low,+,0.981,629
130,1:none,2:low,+,0.997,631
131,2:low,3:average,+,1,638
132,4:good,5:best,+,1,643
133,3:average,4:good,+,0.694,655
134,4:good,3:average,+,0.901,659
135,1:none,1:none,,1,664
136,1:none,1:none,,1,666
137,1:none,1:none,,1,669
138,1:none,1:none,,1,680
139,1:none,1:none,,1,683
140,1:none,1:none,,1,685
141,1:none,1:none,,1,694
142,1:none,1:none,,1,702
143,1:none,1:none,,1,703
144,1:none,1:none,,1,714
145,1:none,1:none,,1,716
146,1:none,1:none,,1,722
147,3:average,4:good,+,0.98,731
148,4:good,4:good,,0.588,732

