inst#,actual,predicted,error,prediction,ID
1,1:0,1:0,,0.977,1
2,1:0,1:0,,0.977,8
3,1:0,1:0,,0.977,13
4,1:0,1:0,,0.977,14
5,1:0,1:0,,0.977,16
6,1:0,1:0,,0.977,20
7,1:0,1:0,,0.899,21
8,1:0,1:0,,0.967,26
9,1:0,1:0,,0.977,34
10,1:0,1:0,,0.977,37
11,1:0,1:0,,0.977,40
12,1:0,1:0,,0.977,53
13,1:0,1:0,,0.972,64
14,1:0,1:0,,0.974,87
15,1:0,1:0,,0.963,91
16,1:0,1:0,,0.977,95
17,1:0,1:0,,0.977,98
18,1:0,1:0,,0.975,103
19,1:0,1:0,,0.977,112
20,1:0,1:0,,0.97,121
21,1:0,1:0,,0.977,122
22,1:0,1:0,,0.977,130
23,1:0,1:0,,0.864,134
24,1:0,1:0,,0.977,143
25,1:0,1:0,,0.977,146
26,1:0,1:0,,0.948,150
27,1:0,1:0,,0.971,151
28,1:0,1:0,,0.977,152
29,1:0,1:0,,0.977,157
30,2:1,1:0,+,0.966,160
31,1:0,1:0,,0.8,161
32,1:0,1:0,,0.976,166
33,1:0,1:0,,0.88,186
34,1:0,1:0,,0.875,187
35,1:0,1:0,,0.977,189
36,1:0,1:0,,0.862,197
37,1:0,1:0,,0.977,200
38,1:0,1:0,,0.841,201
39,3:2,1:0,+,0.428,202
40,1:0,1:0,,0.977,205
41,2:1,1:0,+,0.389,206
42,1:0,1:0,,0.976,207
43,1:0,1:0,,0.906,216
44,2:1,1:0,+,0.399,219
45,1:0,1:0,,0.968,225
46,1:0,1:0,,0.971,229
47,1:0,1:0,,0.977,230
48,1:0,1:0,,0.575,241
49,1:0,1:0,,0.977,246
50,1:0,1:0,,0.977,252
51,1:0,1:0,,0.977,253
52,1:0,1:0,,0.595,262
53,1:0,1:0,,0.868,269
54,1:0,1:0,,0.914,276
55,1:0,1:0,,0.948,279
56,1:0,1:0,,0.959,283
57,1:0,1:0,,0.977,288
58,1:0,1:0,,0.973,293
59,1:0,1:0,,0.977,295
60,1:0,1:0,,0.964,315
61,1:0,1:0,,0.946,317
62,1:0,1:0,,0.828,330
63,1:0,1:0,,0.801,337
64,1:0,1:0,,0.977,343
65,1:0,1:0,,0.977,345
66,1:0,1:0,,0.977,378
67,1:0,1:0,,0.977,379
68,1:0,1:0,,0.93,384
69,1:0,1:0,,0.939,385
70,1:0,1:0,,0.971,387
71,1:0,1:0,,0.977,391
72,1:0,1:0,,0.977,392
73,1:0,1:0,,0.977,397
74,1:0,1:0,,0.977,400
75,1:0,1:0,,0.938,401
76,1:0,1:0,,0.977,402
77,1:0,1:0,,0.977,403
78,1:0,1:0,,0.974,406
79,1:0,1:0,,0.977,418
80,1:0,1:0,,0.977,437
81,1:0,1:0,,0.948,441
82,1:0,1:0,,0.925,452
83,2:1,1:0,+,0.684,455
84,1:0,1:0,,0.974,459
85,1:0,1:0,,0.945,463
86,1:0,1:0,,0.977,466
87,1:0,1:0,,0.961,469
88,1:0,1:0,,0.975,472
89,3:2,1:0,+,0.856,474
90,1:0,1:0,,0.972,476
91,1:0,1:0,,0.977,484
92,1:0,1:0,,0.977,488
93,1:0,1:0,,0.969,492
94,1:0,1:0,,0.977,502
95,1:0,1:0,,0.977,508
96,1:0,1:0,,0.953,509
97,1:0,1:0,,0.977,510
98,1:0,1:0,,0.977,520
99,1:0,1:0,,0.977,524
100,1:0,1:0,,0.977,540
101,1:0,1:0,,0.977,546
102,1:0,1:0,,0.971,550
103,1:0,1:0,,0.977,556
104,1:0,1:0,,0.972,562
105,2:1,2:1,,0.393,563
106,1:0,1:0,,0.971,564
107,1:0,1:0,,0.913,565
108,1:0,1:0,,0.977,577
109,1:0,1:0,,0.977,586
110,1:0,1:0,,0.977,592
111,1:0,1:0,,0.974,600
112,1:0,1:0,,0.977,608
113,1:0,1:0,,0.977,612
114,1:0,1:0,,0.977,623
115,1:0,1:0,,0.977,627
116,1:0,1:0,,0.955,632
117,1:0,1:0,,0.977,639
118,1:0,1:0,,0.977,640
119,1:0,1:0,,0.977,641
120,1:0,1:0,,0.976,642
121,2:1,1:0,+,0.595,645
122,1:0,1:0,,0.977,646
123,2:1,1:0,+,0.866,647
124,1:0,1:0,,0.977,648
125,1:0,1:0,,0.944,658
126,1:0,1:0,,0.977,659
127,1:0,1:0,,0.977,663
128,1:0,1:0,,0.977,681
129,1:0,1:0,,0.977,683
130,1:0,1:0,,0.897,686
131,1:0,1:0,,0.974,687
132,1:0,1:0,,0.761,698
133,1:0,1:0,,0.972,699
134,1:0,1:0,,0.942,702
135,1:0,1:0,,0.977,709
136,3:2,1:0,+,0.924,719
137,1:0,1:0,,0.977,725
138,1:0,1:0,,0.938,729
139,1:0,1:0,,0.968,742
140,2:1,1:0,+,0.612,747
141,1:0,1:0,,0.977,748
142,1:0,1:0,,0.965,749
143,1:0,1:0,,0.977,751
144,1:0,1:0,,0.977,763
145,1:0,1:0,,0.977,766
146,2:1,2:1,,0.473,769
147,1:0,1:0,,0.977,775
148,1:0,1:0,,0.977,776
149,1:0,1:0,,0.976,779
150,1:0,1:0,,0.977,791
151,1:0,1:0,,0.728,794
152,1:0,1:0,,0.977,795
153,1:0,1:0,,0.977,797
154,1:0,1:0,,0.972,800
155,3:2,1:0,+,0.716,804
156,1:0,1:0,,0.961,805
157,1:0,1:0,,0.977,815
158,1:0,1:0,,0.977,821
159,1:0,1:0,,0.977,831
160,1:0,1:0,,0.851,835
161,1:0,1:0,,0.976,840
162,1:0,1:0,,0.977,854
163,2:1,1:0,+,0.53,856
164,1:0,1:0,,0.975,860
165,1:0,1:0,,0.977,863
166,1:0,1:0,,0.974,870
167,1:0,1:0,,0.977,871
168,1:0,1:0,,0.977,877
169,1:0,1:0,,0.977,878
170,1:0,1:0,,0.971,880
171,1:0,1:0,,0.977,883
172,1:0,1:0,,0.977,891
173,1:0,1:0,,0.977,896
174,1:0,1:0,,0.977,897
175,1:0,1:0,,0.977,913
176,1:0,1:0,,0.955,928
177,1:0,1:0,,0.977,929
178,1:0,1:0,,0.973,951
179,1:0,1:0,,0.971,954
180,1:0,1:0,,0.977,955
181,1:0,1:0,,0.976,956
182,1:0,1:0,,0.968,957
183,1:0,1:0,,0.525,959
184,1:0,1:0,,0.914,960
185,1:0,1:0,,0.977,972
186,1:0,1:0,,0.977,975
187,1:0,1:0,,0.974,981
188,1:0,1:0,,0.975,995
189,1:0,1:0,,0.977,1012
190,2:1,1:0,+,0.64,1014
191,2:1,1:0,+,0.884,1016
192,1:0,1:0,,0.977,1017
193,1:0,1:0,,0.977,1019
194,1:0,1:0,,0.977,1020
195,1:0,1:0,,0.977,1021
196,1:0,1:0,,0.977,1025
197,1:0,1:0,,0.974,1028
198,1:0,1:0,,0.977,1038
199,2:1,2:1,,0.45,1044
200,1:0,1:0,,0.977,1045
201,1:0,1:0,,0.975,1051
202,1:0,1:0,,0.977,1056
203,1:0,1:0,,0.964,1059
204,2:1,1:0,+,0.494,1060
205,1:0,1:0,,0.977,1064
206,1:0,1:0,,0.977,1069
207,1:0,1:0,,0.905,1071
208,1:0,1:0,,0.977,1072
209,1:0,1:0,,0.977,1076
210,1:0,1:0,,0.692,1082
211,1:0,1:0,,0.977,1086
212,1:0,1:0,,0.834,1095
213,1:0,1:0,,0.977,1101
214,1:0,1:0,,0.977,1104
215,1:0,1:0,,0.976,1109
216,1:0,1:0,,0.97,1121
217,1:0,1:0,,0.977,1122
218,2:1,2:1,,0.428,1123
219,1:0,1:0,,0.977,1126
220,1:0,1:0,,0.977,1127
221,1:0,1:0,,0.977,1129
222,1:0,1:0,,0.946,1130
223,1:0,1:0,,0.977,1136
224,1:0,1:0,,0.977,1140
225,1:0,1:0,,0.854,1147
226,1:0,1:0,,0.975,1152
227,1:0,1:0,,0.933,1153
228,1:0,1:0,,0.977,1154
229,1:0,1:0,,0.977,1162
230,1:0,1:0,,0.977,1174
231,1:0,1:0,,0.977,1180
232,1:0,1:0,,0.976,1182
233,1:0,1:0,,0.977,1183
234,1:0,1:0,,0.897,1184
235,1:0,1:0,,0.977,1189
236,1:0,1:0,,0.967,1194
237,1:0,1:0,,0.977,1210
238,2:1,1:0,+,0.577,1212
239,1:0,1:0,,0.977,1215
240,1:0,1:0,,0.977,1219
241,1:0,1:0,,0.974,1220
242,1:0,1:0,,0.977,1227
243,1:0,1:0,,0.962,1228
244,1:0,1:0,,0.977,1231
245,1:0,1:0,,0.974,1233
246,1:0,1:0,,0.97,1238
247,1:0,1:0,,0.977,1241
248,1:0,1:0,,0.974,1247
249,1:0,1:0,,0.976,1250
250,1:0,1:0,,0.977,1259
251,2:1,1:0,+,0.377,1262
252,1:0,1:0,,0.977,1263
253,1:0,1:0,,0.977,1264
254,1:0,1:0,,0.977,1267
255,1:0,1:0,,0.956,1269
