inst#,actual,predicted,error,prediction,ID
1,6:2,5:1,+,0.653,5
2,4:0,6:2,+,0.732,12
3,5:1,5:1,,0.763,19
4,5:1,5:1,,0.907,24
5,5:1,5:1,,0.88,26
6,7:3,7:3,,0.831,29
7,6:2,5:1,+,0.636,31
8,4:0,4:0,,0.94,35
9,4:0,4:0,,0.819,38
10,4:0,4:0,,0.675,41
11,5:1,5:1,,0.712,42
12,5:1,5:1,,0.973,51
13,7:3,7:3,,0.857,56
14,4:0,4:0,,0.904,66
15,5:1,7:3,+,0.899,75
16,6:2,5:1,+,0.957,76
17,6:2,5:1,+,0.962,78
18,5:1,5:1,,0.53,90
19,5:1,5:1,,0.586,93
20,5:1,4:0,+,0.505,96
21,7:3,7:3,,0.975,104
22,4:0,4:0,,0.963,111
23,4:0,4:0,,0.98,112
24,4:0,4:0,,0.959,113
25,5:1,5:1,,0.807,119
26,7:3,7:3,,0.85,124
27,7:3,7:3,,0.76,125
28,7:3,7:3,,0.964,128
29,7:3,7:3,,0.979,136
30,6:2,7:3,+,0.644,137
31,6:2,4:0,+,0.947,139
32,6:2,4:0,+,0.976,140
33,4:0,4:0,,0.983,144
34,4:0,4:0,,0.393,153
35,4:0,4:0,,0.868,156
36,5:1,5:1,,0.594,166
37,6:2,6:2,,0.872,167
38,3:-1,4:0,+,0.498,173
39,3:-1,4:0,+,0.859,174
40,3:-1,4:0,+,0.584,177
41,7:3,7:3,,0.905,178

