inst#,actual,predicted,error,prediction,ID
1,3:3,3:3,,0.988,2
2,3:3,3:3,,0.983,6
3,3:3,3:3,,0.994,7
4,3:3,2:2,+,0.747,12
5,3:3,3:3,,0.998,18
6,1:1,3:3,+,0.999,24
7,3:3,3:3,,0.998,28
8,3:3,1:1,+,0.633,29
9,3:3,3:3,,0.988,41
10,3:3,3:3,,0.983,51
11,3:3,3:3,,0.983,55
12,3:3,3:3,,0.955,56
13,3:3,3:3,,0.983,60
14,3:3,3:3,,0.857,61
15,5:5,5:5,,0.732,69
16,3:3,3:3,,0.999,73
17,3:3,3:3,,0.977,79
18,3:3,3:3,,0.985,81
19,3:3,3:3,,0.982,83
20,6:U,3:3,+,0.999,90
21,3:3,2:2,+,0.987,101
22,3:3,3:3,,0.988,108
23,3:3,3:3,,0.995,118
24,3:3,3:3,,0.994,131
25,2:2,2:2,,0.729,132
26,2:2,2:2,,0.938,133
27,2:2,2:2,,0.994,135
28,3:3,3:3,,0.997,140
29,3:3,3:3,,0.999,145
30,2:2,2:2,,0.916,148
31,3:3,3:3,,0.999,155
32,5:5,5:5,,0.961,158
33,3:3,3:3,,0.986,163
34,3:3,3:3,,0.999,164
35,5:5,5:5,,0.805,172
36,3:3,3:3,,0.95,173
37,3:3,3:3,,0.993,176
38,5:5,3:3,+,0.526,181
39,3:3,3:3,,0.999,182
40,3:3,3:3,,0.944,185
41,3:3,3:3,,0.994,193
42,3:3,3:3,,1,199
43,3:3,3:3,,0.845,212
44,3:3,3:3,,0.987,220
45,3:3,3:3,,0.999,223
46,3:3,3:3,,0.999,231
47,5:5,5:5,,0.989,234
48,3:3,3:3,,0.997,248
49,3:3,3:3,,0.987,250
50,3:3,3:3,,0.989,260
51,3:3,3:3,,1,264
52,3:3,3:3,,0.997,266
53,3:3,3:3,,0.999,272
54,3:3,3:3,,0.811,285
55,3:3,3:3,,0.961,290
56,3:3,3:3,,0.998,294
57,3:3,2:2,+,0.765,299
58,3:3,3:3,,0.855,306
59,2:2,2:2,,0.738,309
60,3:3,3:3,,0.999,311
61,3:3,3:3,,0.928,314
62,5:5,5:5,,0.705,323
63,3:3,3:3,,0.999,328
64,3:3,3:3,,0.97,333
65,3:3,3:3,,0.999,338
66,3:3,3:3,,1,346
67,2:2,2:2,,0.764,352
68,3:3,3:3,,0.998,355
69,3:3,3:3,,0.984,357
70,3:3,3:3,,0.887,359
71,3:3,3:3,,1,365
72,3:3,3:3,,0.982,377
73,3:3,3:3,,0.998,381
74,3:3,3:3,,0.971,382
75,3:3,3:3,,1,388
76,3:3,3:3,,0.998,390
77,2:2,2:2,,0.978,394
78,3:3,3:3,,1,396
79,3:3,3:3,,0.535,398
80,3:3,3:3,,0.997,404
81,2:2,2:2,,0.546,405
82,3:3,3:3,,0.983,408
83,2:2,2:2,,0.738,411
84,3:3,3:3,,1,417
85,3:3,3:3,,0.881,420
86,3:3,3:3,,0.998,422
87,3:3,3:3,,1,426
88,6:U,6:U,,0.885,429
89,3:3,3:3,,0.999,430
90,2:2,2:2,,0.83,431
91,3:3,3:3,,0.992,433
92,3:3,3:3,,0.991,436
93,3:3,3:3,,0.935,440
94,3:3,3:3,,1,445
95,3:3,2:2,+,0.605,447
96,3:3,3:3,,0.991,451
97,3:3,3:3,,0.999,456
98,2:2,2:2,,0.68,457
99,3:3,3:3,,0.994,464
100,3:3,3:3,,0.998,465
101,3:3,3:3,,0.999,468
102,3:3,3:3,,0.874,483
103,5:5,5:5,,0.584,485
104,3:3,3:3,,0.97,487
105,6:U,6:U,,0.967,494
106,6:U,6:U,,0.968,497
107,6:U,6:U,,0.967,506
108,6:U,6:U,,0.977,507
109,5:5,5:5,,0.972,519
110,3:3,5:5,+,0.638,525
111,2:2,2:2,,0.763,526
112,6:U,6:U,,0.992,527
113,3:3,3:3,,0.992,528
114,3:3,3:3,,0.759,535
115,3:3,3:3,,0.829,537
116,2:2,2:2,,0.91,544
117,2:2,2:2,,0.963,548
118,3:3,2:2,+,0.805,549
119,5:5,5:5,,0.857,551
120,3:3,3:3,,1,554
121,2:2,2:2,,0.731,558
122,5:5,5:5,,0.761,567
123,3:3,3:3,,0.883,568
124,3:3,3:3,,0.999,569
125,3:3,2:2,+,0.663,572
126,3:3,3:3,,0.988,575
127,3:3,3:3,,0.988,582
128,3:3,3:3,,0.999,589
129,3:3,3:3,,0.999,593
130,3:3,3:3,,0.998,597
131,3:3,3:3,,0.998,602
132,3:3,3:3,,0.974,606
133,6:U,6:U,,0.984,615
134,3:3,3:3,,0.985,616
135,3:3,3:3,,0.995,621
136,3:3,3:3,,0.989,630
137,3:3,3:3,,0.967,631
138,3:3,3:3,,0.998,635
139,3:3,3:3,,0.997,636
140,3:3,3:3,,1,644
141,3:3,3:3,,0.988,657
142,3:3,2:2,+,0.628,667
143,3:3,3:3,,0.99,673
144,3:3,3:3,,0.998,685
145,3:3,3:3,,0.984,688
146,3:3,3:3,,0.985,691
147,5:5,5:5,,0.826,693
148,3:3,3:3,,0.993,697
149,3:3,3:3,,0.997,709
150,3:3,3:3,,0.718,712
151,3:3,3:3,,0.999,716
152,3:3,3:3,,0.992,723
153,3:3,3:3,,0.909,737
154,3:3,3:3,,1,740
155,3:3,3:3,,0.735,746
156,5:5,5:5,,0.802,749
157,3:3,3:3,,0.933,750
158,3:3,3:3,,0.97,766
159,3:3,3:3,,0.998,774
160,3:3,3:3,,0.993,785
161,3:3,3:3,,0.886,792
162,3:3,3:3,,0.985,796
163,6:U,6:U,,0.909,800
164,3:3,2:2,+,0.605,806
165,3:3,3:3,,0.997,816
166,3:3,3:3,,0.99,821
167,3:3,3:3,,0.991,823
168,3:3,3:3,,0.916,827
169,3:3,3:3,,0.999,834
170,3:3,3:3,,0.999,835
171,3:3,3:3,,0.981,839
172,3:3,2:2,+,0.732,846
173,3:3,3:3,,0.992,851
174,3:3,3:3,,1,853
175,3:3,3:3,,1,859
176,3:3,3:3,,0.945,875
177,2:2,2:2,,0.887,880
178,3:3,3:3,,1,884
179,3:3,3:3,,0.999,887
180,2:2,2:2,,0.984,891

