inst#,actual,predicted,error,prediction,ID
1,5:best,4:good,+,0.986,1
2,4:good,4:good,,0.996,4
3,5:best,4:good,+,0.982,13
4,4:good,4:good,,0.762,14
5,3:average,4:good,+,0.809,20
6,3:average,4:good,+,0.986,21
7,4:good,4:good,,0.956,27
8,3:average,4:good,+,0.995,32
9,4:good,4:good,,0.955,34
10,2:low,4:good,+,0.529,35
11,4:good,4:good,,0.999,40
12,4:good,4:good,,0.953,47
13,5:best,4:good,+,0.995,52
14,4:good,4:good,,0.996,58
15,2:low,4:good,+,0.759,62
16,4:good,4:good,,0.981,64
17,4:good,4:good,,0.994,71
18,3:average,5:best,+,0.45,80
19,4:good,5:best,+,0.515,85
20,2:low,2:low,,0.932,87
21,5:best,5:best,,0.908,91
22,2:low,1:none,+,0.727,95
23,1:none,2:low,+,0.671,98
24,4:good,5:best,+,0.742,99
25,2:low,2:low,,0.677,102
26,4:good,4:good,,0.81,105
27,5:best,5:best,,0.962,106
28,2:low,1:none,+,0.784,121
29,4:good,4:good,,0.715,128
30,4:good,5:best,+,0.699,130
31,5:best,5:best,,0.71,134
32,3:average,4:good,+,0.492,138
33,3:average,2:low,+,0.975,156
34,5:best,4:good,+,0.486,159
35,4:good,3:average,+,0.732,160
36,4:good,3:average,+,0.695,161
37,3:average,2:low,+,0.93,166
38,2:low,2:low,,0.915,170
39,1:none,2:low,+,0.999,187
40,1:none,2:low,+,0.998,189
41,4:good,2:low,+,0.976,191
42,5:best,3:average,+,0.657,200
43,1:none,2:low,+,0.997,201
44,5:best,4:good,+,0.486,205
45,4:good,3:average,+,0.588,206
46,2:low,2:low,,0.913,214
47,4:good,3:average,+,0.807,216
48,4:good,3:average,+,0.899,217
49,4:good,4:good,,0.961,230
50,1:none,3:average,+,0.855,240
51,1:none,3:average,+,0.909,241
52,1:none,3:average,+,0.65,242
53,1:none,3:average,+,0.877,243
54,1:none,3:average,+,0.743,251
55,1:none,3:average,+,0.91,252
56,4:good,3:average,+,0.646,269
57,5:best,3:average,+,0.686,270
58,4:good,3:average,+,0.625,273
59,5:best,3:average,+,0.816,276
60,4:good,3:average,+,0.513,288
61,3:average,2:low,+,0.821,295
62,2:low,2:low,,0.529,308
63,3:average,3:average,,0.815,313
64,1:none,2:low,+,0.963,315
65,4:good,4:good,,0.939,330
66,3:average,4:good,+,0.956,337
67,3:average,4:good,+,0.942,339
68,3:average,4:good,+,0.983,343
69,3:average,4:good,+,0.994,345
70,3:average,4:good,+,0.828,366
71,4:good,4:good,,0.923,372
72,1:none,3:average,+,0.497,378
73,5:best,4:good,+,0.992,379
74,3:average,4:good,+,0.761,385
75,4:good,4:good,,0.988,387
76,3:average,3:average,,0.987,389
77,1:none,2:low,+,0.953,391
78,3:average,3:average,,0.841,392
79,1:none,3:average,+,0.771,397
80,1:none,2:low,+,0.84,401
81,3:average,3:average,,0.812,406
82,4:good,3:average,+,0.847,413
83,2:low,2:low,,0.71,418
84,3:average,3:average,,0.868,427
85,3:average,3:average,,0.813,435
86,4:good,4:good,,0.951,454
87,4:good,4:good,,0.845,455
88,1:none,4:good,+,0.417,458
89,4:good,4:good,,0.889,459
90,4:good,4:good,,0.925,460
91,1:none,4:good,+,0.765,461
92,4:good,4:good,,0.567,466
93,4:good,4:good,,0.933,471
94,2:low,2:low,,0.61,474
95,4:good,4:good,,0.946,475
96,2:low,3:average,+,0.491,476
97,4:good,4:good,,0.959,484
98,3:average,4:good,+,0.516,489
99,3:average,3:average,,0.803,491
100,3:average,2:low,+,0.785,492
101,3:average,4:good,+,0.515,498
102,3:average,3:average,,0.65,502
103,3:average,4:good,+,0.614,504
104,4:good,4:good,,0.63,508
105,3:average,3:average,,0.447,510
106,3:average,2:low,+,0.829,520
107,3:average,3:average,,0.543,524
108,4:good,4:good,,0.764,540
109,4:good,4:good,,0.732,546
110,4:good,4:good,,0.982,553
111,1:none,2:low,+,0.905,555
112,1:none,2:low,+,0.918,556
113,3:average,3:average,,0.525,560
114,3:average,2:low,+,0.481,561
115,1:none,2:low,+,0.677,562
116,3:average,2:low,+,0.494,563
117,1:none,2:low,+,0.691,564
118,2:low,2:low,,0.875,565
119,3:average,3:average,,0.714,566
120,1:none,1:none,,0.777,573
121,5:best,5:best,,0.871,574
122,4:good,4:good,,0.827,577
123,4:good,4:good,,0.991,592
124,2:low,4:good,+,0.991,600
125,5:best,4:good,+,0.984,612
126,5:best,4:good,+,0.999,614
127,5:best,4:good,+,0.996,621
128,4:good,4:good,,0.999,622
129,4:good,4:good,,0.999,623
130,1:none,4:good,+,0.78,628
131,2:low,2:low,,0.673,630
132,3:average,3:average,,0.557,645
133,3:average,3:average,,0.923,646
134,5:best,3:average,+,0.874,647
135,5:best,4:good,+,0.731,656
136,3:average,2:low,+,0.901,661
137,1:none,1:none,,1,662
138,1:none,1:none,,1,663
139,1:none,1:none,,1,681
140,1:none,1:none,,1,686
141,1:none,1:none,,1,691
142,1:none,1:none,,1,697
143,1:none,1:none,,1,700
144,1:none,1:none,,1,715
145,1:none,1:none,,1,718
146,1:none,1:none,,1,729
147,4:good,4:good,,0.974,733

