inst#,actual,predicted,error,prediction,ID
1,1:0,1:0,,0.999,1
2,1:0,1:0,,0.999,8
3,1:0,1:0,,0.999,13
4,1:0,1:0,,0.999,14
5,1:0,1:0,,0.999,16
6,1:0,1:0,,0.999,20
7,1:0,1:0,,0.923,21
8,1:0,1:0,,0.999,26
9,1:0,1:0,,0.999,34
10,1:0,1:0,,0.999,37
11,1:0,1:0,,0.999,40
12,1:0,1:0,,0.999,53
13,1:0,1:0,,0.999,64
14,1:0,1:0,,0.999,87
15,1:0,1:0,,0.999,91
16,1:0,1:0,,0.999,95
17,1:0,1:0,,0.999,98
18,1:0,1:0,,0.999,103
19,1:0,1:0,,0.999,112
20,1:0,1:0,,1,121
21,1:0,1:0,,0.999,122
22,1:0,1:0,,0.999,130
23,1:0,1:0,,1,134
24,1:0,1:0,,0.999,143
25,1:0,1:0,,0.999,146
26,1:0,1:0,,1,150
27,1:0,1:0,,0.999,151
28,1:0,1:0,,0.999,152
29,1:0,1:0,,0.999,157
30,2:1,1:0,+,0.999,160
31,1:0,1:0,,0.833,161
32,1:0,1:0,,0.999,166
33,1:0,1:0,,0.957,186
34,1:0,1:0,,0.999,187
35,1:0,1:0,,0.999,189
36,1:0,1:0,,0.957,197
37,1:0,1:0,,0.999,200
38,1:0,1:0,,0.999,201
39,3:2,3:2,,1,202
40,1:0,1:0,,0.999,205
41,2:1,3:2,+,1,206
42,1:0,1:0,,0.999,207
43,1:0,1:0,,0.999,216
44,2:1,1:0,+,1,219
45,1:0,1:0,,0.999,225
46,1:0,1:0,,0.978,229
47,1:0,1:0,,0.999,230
48,1:0,3:2,+,0.944,241
49,1:0,1:0,,0.999,246
50,1:0,1:0,,0.999,252
51,1:0,1:0,,0.999,253
52,1:0,1:0,,0.833,262
53,1:0,1:0,,0.999,269
54,1:0,1:0,,0.999,276
55,1:0,1:0,,0.978,279
56,1:0,1:0,,0.999,283
57,1:0,1:0,,0.999,288
58,1:0,1:0,,0.978,293
59,1:0,1:0,,0.999,295
60,1:0,1:0,,1,315
61,1:0,1:0,,0.999,317
62,1:0,1:0,,0.929,330
63,1:0,1:0,,0.929,337
64,1:0,1:0,,0.999,343
65,1:0,1:0,,0.999,345
66,1:0,1:0,,0.999,378
67,1:0,1:0,,0.999,379
68,1:0,1:0,,0.999,384
69,1:0,1:0,,0.978,385
70,1:0,1:0,,0.957,387
71,1:0,1:0,,0.999,391
72,1:0,1:0,,0.999,392
73,1:0,1:0,,0.999,397
74,1:0,1:0,,0.999,400
75,1:0,1:0,,0.999,401
76,1:0,1:0,,0.999,402
77,1:0,1:0,,0.999,403
78,1:0,1:0,,0.999,406
79,1:0,1:0,,0.999,418
80,1:0,1:0,,0.999,437
81,1:0,1:0,,0.999,441
82,1:0,1:0,,1,452
83,2:1,3:2,+,0.75,455
84,1:0,1:0,,0.999,459
85,1:0,1:0,,0.929,463
86,1:0,1:0,,0.999,466
87,1:0,1:0,,0.999,469
88,1:0,1:0,,0.999,472
89,3:2,1:0,+,0.923,474
90,1:0,1:0,,0.999,476
91,1:0,1:0,,0.999,484
92,1:0,1:0,,0.999,488
93,1:0,1:0,,0.999,492
94,1:0,1:0,,0.999,502
95,1:0,1:0,,0.999,508
96,1:0,1:0,,0.923,509
97,1:0,1:0,,0.999,510
98,1:0,1:0,,0.999,520
99,1:0,1:0,,0.999,524
100,1:0,1:0,,0.999,540
