inst#,actual,predicted,error,prediction,ID
1,2:true,1:false,+,0.933,3
2,1:false,1:false,,0.935,6
3,1:false,1:false,,0.934,7
4,1:false,1:false,,0.936,8
5,1:false,1:false,,0.933,13
6,1:false,1:false,,0.936,16
7,1:false,1:false,,0.937,17
8,1:false,1:false,,0.936,19
9,1:false,1:false,,0.935,27
10,1:false,1:false,,0.937,34
11,1:false,1:false,,0.937,35
12,2:true,1:false,+,0.936,38
13,1:false,1:false,,0.934,39
14,1:false,1:false,,0.935,43
15,1:false,1:false,,0.936,49
16,1:false,1:false,,0.935,66
17,1:false,1:false,,0.934,67
18,1:false,1:false,,0.934,72
19,1:false,1:false,,0.93,83
20,1:false,1:false,,0.932,84
21,1:false,1:false,,0.937,93
22,1:false,1:false,,0.933,96
23,1:false,1:false,,0.937,101
24,1:false,1:false,,0.937,114

