inst#,actual,predicted,error,prediction,ID
1,2:B,3:R,+,1,0
2,3:R,3:R,,0.818,6
3,3:R,3:R,,1,7
4,3:R,3:R,,1,9
5,3:R,3:R,,0.706,11
6,3:R,3:R,,1,15
7,3:R,3:R,,1,18
8,3:R,3:R,,1,22
9,3:R,3:R,,1,23
10,3:R,3:R,,1,33
11,3:R,3:R,,1,42
12,3:R,3:R,,1,46
13,3:R,1:L,+,0.877,54
14,3:R,3:R,,0.706,66
15,3:R,3:R,,1,68
16,3:R,3:R,,1,69
17,3:R,3:R,,1,73
18,1:L,1:L,,0.877,75
19,3:R,1:L,+,0.877,79
20,3:R,3:R,,0.818,83
21,3:R,3:R,,0.818,84
22,3:R,3:R,,0.857,88
23,3:R,3:R,,0.857,89
24,3:R,3:R,,0.857,92
25,3:R,3:R,,0.857,93
26,2:B,1:L,+,0.877,104
27,3:R,3:R,,0.818,108
28,3:R,3:R,,0.857,114
29,3:R,3:R,,0.818,116
30,3:R,3:R,,0.857,117
31,3:R,3:R,,1,137
32,3:R,3:R,,1,144
33,2:B,3:R,+,0.909,153
34,2:B,3:R,+,1,165
35,3:R,3:R,,1,167
36,1:L,1:L,,0.877,176
37,1:L,1:L,,0.877,177
38,2:B,3:R,+,1,182
39,1:L,3:R,+,0.706,195
40,3:R,3:R,,1,199
41,1:L,1:L,,0.877,204
42,3:R,3:R,,0.857,213
43,2:B,1:L,+,0.877,234
44,3:R,3:R,,0.857,238
45,3:R,3:R,,0.857,244
46,3:R,3:R,,0.857,247
47,3:R,3:R,,0.857,248
48,3:R,3:R,,0.857,249
49,3:R,3:R,,0.909,264
50,3:R,3:R,,1,268
51,1:L,1:L,,0.877,275
52,1:L,3:R,+,0.909,277
53,1:L,3:R,+,0.909,278
54,3:R,3:R,,0.909,287
55,3:R,3:R,,0.909,289
56,1:L,3:R,+,1,290
57,3:R,3:R,,1,291
58,3:R,3:R,,1,296
59,3:R,3:R,,1,298
60,3:R,3:R,,1,299
61,1:L,1:L,,0.877,302
62,1:L,1:L,,0.877,304
63,1:L,1:L,,0.877,305
64,2:B,3:R,+,0.857,312
65,1:L,1:L,,0.877,320
66,3:R,1:L,+,0.877,321
67,1:L,1:L,,0.877,329
68,1:L,1:L,,0.877,332
69,1:L,1:L,,0.877,333
70,1:L,1:L,,0.877,336
71,1:L,1:L,,0.877,341
72,1:L,1:L,,0.877,360
73,1:L,3:R,+,0.857,363
74,2:B,3:R,+,0.857,364
75,1:L,3:R,+,0.857,367
76,3:R,3:R,,0.857,374
77,1:L,1:L,,0.877,380
78,3:R,3:R,,0.85,388
79,2:B,3:R,+,1,390
80,3:R,3:R,,1,399
81,1:L,1:L,,0.877,403
82,1:L,3:R,+,0.85,407
83,2:B,3:R,+,0.85,408
84,3:R,3:R,,0.85,414
85,1:L,3:R,+,1,415
86,2:B,3:R,+,1,416
87,3:R,3:R,,1,419
88,1:L,3:R,+,1,420
89,1:L,1:L,,0.877,428
90,1:L,1:L,,0.877,430
91,1:L,1:L,,0.877,436
92,3:R,1:L,+,0.877,439
93,1:L,1:L,,0.877,441
94,3:R,3:R,,1,444
95,3:R,3:R,,1,448
96,1:L,1:L,,0.877,452
97,3:R,1:L,+,0.877,469
98,3:R,1:L,+,0.877,473
99,1:L,1:L,,0.877,477
100,1:L,1:L,,0.877,479
101,2:B,1:L,+,0.877,494
102,1:L,1:L,,0.877,496
103,1:L,1:L,,0.877,497
104,3:R,3:R,,1,499
105,1:L,3:R,+,0.833,506
106,3:R,3:R,,0.833,511
107,3:R,3:R,,0.85,514
108,3:R,3:R,,0.85,517
109,3:R,3:R,,0.85,522
110,1:L,3:R,+,0.85,533
111,1:L,1:L,,0.877,541
112,1:L,1:L,,0.877,545
113,3:R,3:R,,1,548
114,1:L,1:L,,0.877,558
115,1:L,1:L,,0.877,563
116,3:R,3:R,,1,568
117,1:L,1:L,,0.877,582
118,1:L,1:L,,0.877,590
119,1:L,1:L,,0.877,595
120,1:L,1:L,,0.877,606
121,1:L,1:L,,0.877,610
122,1:L,1:L,,0.877,616
123,1:L,1:L,,0.877,617
124,1:L,1:L,,0.877,623
125,2:B,3:R,+,1,624

