inst#,actual,predicted,error,prediction,ID
1,6:tableware,6:tableware,,1,3
2,1:'build wind float',1:build wind float,,0.669,7
3,7:headlamps,7:headlamps,,0.996,8
4,3:'vehic wind float',1:build wind float,+,0.859,13
5,2:'build wind non-float',3:vehic wind float,+,0.83,17
6,1:'build wind float',3:vehic wind float,+,0.894,23
7,1:'build wind float',3:vehic wind float,+,0.925,34
8,2:'build wind non-float',7:headlamps,+,0.821,39
9,1:'build wind float',3:vehic wind float,+,0.943,40
10,2:'build wind non-float',3:vehic wind float,+,0.885,43
11,3:'vehic wind float',1:build wind float,+,0.994,44
12,1:'build wind float',3:vehic wind float,+,0.897,47
13,2:'build wind non-float',3:vehic wind float,+,0.925,49
14,2:'build wind non-float',3:vehic wind float,+,0.64,53
15,2:'build wind non-float',3:vehic wind float,+,0.769,59
16,1:'build wind float',1:build wind float,,0.989,64
17,6:tableware,6:tableware,,1,72
18,1:'build wind float',3:vehic wind float,+,0.914,80
19,1:'build wind float',3:vehic wind float,+,0.802,81
20,1:'build wind float',3:vehic wind float,+,0.954,83
21,2:'build wind non-float',2:build wind non-float,,0.957,89
22,1:'build wind float',3:vehic wind float,+,0.948,91
23,7:headlamps,7:headlamps,,1,94
24,5:containers,6:tableware,+,0.999,105
25,2:'build wind non-float',2:build wind non-float,,0.741,110
26,2:'build wind non-float',2:build wind non-float,,0.998,123
27,2:'build wind non-float',3:vehic wind float,+,0.634,131
28,1:'build wind float',3:vehic wind float,+,0.921,133
29,5:containers,2:build wind non-float,+,0.826,134
30,2:'build wind non-float',3:vehic wind float,+,0.879,139
31,2:'build wind non-float',2:build wind non-float,,0.996,147
32,7:headlamps,7:headlamps,,1,156
33,5:containers,6:tableware,+,0.999,163
34,1:'build wind float',3:vehic wind float,+,0.895,166
35,2:'build wind non-float',3:vehic wind float,+,0.879,168
36,2:'build wind non-float',2:build wind non-float,,0.727,183
37,1:'build wind float',3:vehic wind float,+,0.94,186
38,5:containers,2:build wind non-float,+,0.873,189
39,7:headlamps,7:headlamps,,0.999,193
40,6:tableware,6:tableware,,1,194
41,2:'build wind non-float',3:vehic wind float,+,0.85,198
42,1:'build wind float',3:vehic wind float,+,0.656,207
43,2:'build wind non-float',2:build wind non-float,,0.734,212

