inst#,actual,predicted,error,prediction,ID
1,1:0,1:0,,0.98,15
2,2:1,2:1,,0.96,23
3,2:1,2:1,,0.95,29
4,1:0,1:0,,0.99,30
5,2:1,2:1,,0.95,32
6,1:0,1:0,,0.95,43
7,2:1,2:1,,0.96,44
8,1:0,1:0,,0.94,49
9,1:0,1:0,,0.96,51
10,2:1,2:1,,0.94,56
11,2:1,2:1,,0.95,59
12,2:1,2:1,,0.91,65
13,1:0,1:0,,0.93,67
14,1:0,1:0,,0.96,69
15,1:0,1:0,,0.96,70
16,1:0,1:0,,0.97,73
17,1:0,1:0,,0.96,76
18,1:0,1:0,,0.96,78
19,1:0,1:0,,0.97,99
20,1:0,1:0,,0.96,100
21,2:1,2:1,,0.95,101
22,1:0,1:0,,0.95,109
23,1:0,1:0,,0.93,115
24,1:0,1:0,,0.99,123
25,1:0,1:0,,0.91,124
26,1:0,1:0,,0.96,135
27,1:0,1:0,,0.94,141
28,1:0,1:0,,0.98,162
29,1:0,1:0,,0.98,168
30,2:1,2:1,,0.91,170
31,2:1,2:1,,0.88,173
32,1:0,1:0,,0.92,175
33,1:0,1:0,,0.97,184
34,2:1,2:1,,0.92,185
35,2:1,2:1,,0.87,188
36,1:0,1:0,,0.97,198
37,1:0,1:0,,0.97,199
38,2:1,2:1,,0.91,203
39,1:0,1:0,,1,210
40,2:1,2:1,,0.86,212
41,1:0,1:0,,0.95,220
42,1:0,1:0,,1,237
43,2:1,2:1,,0.98,239
44,1:0,1:0,,1,240
45,1:0,1:0,,0.93,244
46,1:0,1:0,,0.96,247
47,1:0,1:0,,0.95,250
48,2:1,2:1,,0.98,251
49,2:1,2:1,,0.97,254
50,1:0,1:0,,0.94,259
51,1:0,1:0,,0.98,261
52,1:0,1:0,,0.93,265
53,1:0,1:0,,0.97,270
54,1:0,1:0,,0.95,271
55,1:0,1:0,,0.96,274
56,2:1,2:1,,0.97,275
57,1:0,1:0,,0.97,289
58,1:0,1:0,,0.97,297
59,1:0,1:0,,0.9,298
60,1:0,1:0,,0.96,300
61,1:0,1:0,,0.97,303
62,1:0,1:0,,0.96,316
63,1:0,1:0,,0.93,322
64,1:0,1:0,,0.95,324
65,1:0,1:0,,0.96,331
66,2:1,2:1,,0.95,332
67,1:0,1:0,,1,339
68,1:0,1:0,,0.98,342
69,2:1,2:1,,0.88,344
70,2:1,2:1,,0.98,350
71,1:0,1:0,,1,351
72,1:0,1:0,,0.97,352
73,2:1,2:1,,0.95,353
74,2:1,2:1,,0.98,365
75,1:0,1:0,,1,366
76,1:0,1:0,,0.93,367
77,2:1,2:1,,0.95,371
78,2:1,2:1,,0.95,374
79,1:0,1:0,,1,381
80,1:0,1:0,,0.99,382
81,2:1,2:1,,0.98,383
82,1:0,1:0,,0.92,394
83,2:1,2:1,,0.95,398
84,1:0,1:0,,0.98,405
85,1:0,1:0,,0.95,408
86,1:0,1:0,,0.97,411
87,2:1,2:1,,0.91,413
88,1:0,1:0,,1,414
89,1:0,1:0,,0.97,415
90,2:1,2:1,,0.97,416
91,1:0,1:0,,1,420
92,2:1,2:1,,0.93,422
93,2:1,2:1,,0.99,425
94,1:0,1:0,,0.99,426
95,1:0,1:0,,0.96,432
96,1:0,1:0,,0.95,433
97,1:0,1:0,,0.96,438
98,1:0,1:0,,0.97,450
99,1:0,1:0,,0.97,453
100,1:0,1:0,,0.99,462
101,2:1,2:1,,0.89,464
102,1:0,1:0,,0.97,471
103,1:0,1:0,,0.99,478
104,2:1,2:1,,0.92,479
105,1:0,1:0,,0.96,481
106,2:1,2:1,,0.94,482
107,1:0,1:0,,0.98,483
108,2:1,2:1,,0.88,485
109,1:0,1:0,,0.97,486
110,2:1,2:1,,0.85,494
111,1:0,1:0,,0.98,495
112,2:1,2:1,,0.88,497
113,2:1,2:1,,0.94,506
114,1:0,1:0,,0.98,513
115,1:0,1:0,,0.96,514
116,2:1,2:1,,0.88,518
117,1:0,1:0,,0.96,522
118,1:0,1:0,,0.98,526
119,2:1,2:1,,0.87,527
120,1:0,1:0,,0.97,529
121,2:1,2:1,,0.89,530
122,1:0,1:0,,0.96,532
123,1:0,1:0,,0.95,544
124,2:1,2:1,,0.89,548
125,2:1,2:1,,0.99,551
126,1:0,1:0,,1,552
127,2:1,2:1,,0.94,554
128,1:0,1:0,,0.99,555
129,2:1,2:1,,0.94,557
130,1:0,1:0,,1,561
131,1:0,1:0,,0.99,570
132,1:0,1:0,,1,576
133,1:0,1:0,,0.99,582
134,2:1,2:1,,0.93,584
135,2:1,2:1,,0.88,599
136,2:1,2:1,,0.82,602
137,1:0,1:0,,0.94,607
138,1:0,1:0,,0.9,610
139,2:1,2:1,,0.92,617
140,1:0,1:0,,1,618
141,2:1,2:1,,0.92,620
142,1:0,1:0,,0.97,621
143,1:0,1:0,,0.94,628
144,1:0,1:0,,0.96,643
145,2:1,2:1,,0.91,650
146,1:0,1:0,,0.97,651
147,1:0,1:0,,0.96,654
148,1:0,1:0,,0.99,660
149,2:1,2:1,,0.89,677
150,1:0,1:0,,0.99,682
151,1:0,1:0,,0.93,700
152,2:1,2:1,,0.87,704
153,2:1,2:1,,0.89,707
154,2:1,2:1,,0.84,710
155,1:0,1:0,,1,711
156,1:0,1:0,,0.9,715
157,1:0,1:0,,1,720
158,1:0,1:0,,0.93,724
159,1:0,1:0,,0.9,727
160,1:0,1:0,,0.96,730
161,1:0,1:0,,0.92,736
162,1:0,1:0,,1,741
163,2:1,2:1,,0.92,743
164,2:1,2:1,,0.91,752
165,1:0,1:0,,0.96,759
166,2:1,2:1,,0.9,764
167,1:0,1:0,,0.96,774
168,1:0,1:0,,0.98,777
169,2:1,2:1,,0.92,782
170,1:0,1:0,,0.95,787
171,1:0,1:0,,0.99,798
172,1:0,1:0,,0.99,802
173,1:0,1:0,,1,807
174,1:0,1:0,,0.92,808
175,1:0,1:0,,0.98,813
176,2:1,2:1,,0.85,818
177,1:0,1:0,,1,829
178,1:0,1:0,,1,834
179,2:1,2:1,,0.91,836
180,1:0,1:0,,0.95,838
181,1:0,1:0,,0.92,841
182,1:0,1:0,,0.96,843
183,1:0,1:0,,0.89,844
184,1:0,1:0,,0.97,846
185,1:0,1:0,,0.98,855
186,1:0,1:0,,1,861
187,2:1,2:1,,0.9,869
188,1:0,1:0,,0.99,874
189,1:0,1:0,,0.87,889
190,1:0,1:0,,0.98,892
191,1:0,1:0,,0.93,898
192,1:0,1:0,,0.87,916
193,1:0,1:0,,0.92,925
194,1:0,1:0,,0.87,931
195,1:0,1:0,,0.95,940
196,2:1,2:1,,0.93,941
197,1:0,1:0,,0.9,943
198,2:1,2:1,,0.96,944
199,1:0,1:0,,0.97,949
200,1:0,1:0,,0.98,964
201,2:1,2:1,,0.97,965
202,1:0,1:0,,1,966
203,2:1,2:1,,0.86,968
204,2:1,2:1,,0.94,974
205,1:0,1:0,,0.96,976
206,1:0,1:0,,0.98,979
207,1:0,1:0,,0.99,982
208,2:1,2:1,,0.93,986
209,1:0,1:0,,0.98,990
210,2:1,2:1,,0.94,998
211,1:0,1:0,,0.94,999
212,1:0,1:0,,0.97,1005
213,2:1,2:1,,0.95,1013
214,1:0,1:0,,0.99,1018
215,1:0,1:0,,0.97,1027
216,2:1,2:1,,0.94,1040
217,1:0,1:0,,0.99,1050
218,1:0,1:0,,0.95,1078
219,1:0,1:0,,0.97,1083
220,1:0,1:0,,0.95,1084
221,2:1,2:1,,0.9,1088
222,2:1,2:1,,0.863,1091
223,2:1,2:1,,0.843,1094
224,2:1,2:1,,0.843,1103
225,2:1,2:1,,0.92,1112
226,2:1,2:1,,0.89,1118
227,1:0,1:0,,1,1131
228,2:1,2:1,,1,1133
229,1:0,1:0,,0.97,1144
230,2:1,2:1,,0.923,1145
231,2:1,2:1,,0.99,1157
232,2:1,2:1,,1,1160
233,1:0,1:0,,0.98,1161
234,2:1,2:1,,0.863,1172
235,2:1,2:1,,0.98,1175
236,1:0,1:0,,0.99,1176
237,2:1,2:1,,0.91,1190
238,1:0,1:0,,0.97,1192
239,2:1,2:1,,0.95,1193
240,1:0,1:0,,0.99,1197
241,1:0,1:0,,0.94,1198
242,1:0,1:0,,0.91,1201
243,2:1,2:1,,0.994,1205
244,1:0,1:0,,0.97,1206
245,1:0,1:0,,0.94,1210
246,1:0,1:0,,0.98,1216
247,2:1,2:1,,0.91,1220
248,1:0,1:0,,0.95,1225
249,2:1,2:1,,0.975,1226
250,1:0,1:0,,0.94,1228
251,2:1,2:1,,0.956,1229
252,1:0,1:0,,1,1233
253,2:1,2:1,,0.93,1244
254,1:0,1:0,,0.97,1249
255,1:0,1:0,,0.53,1255
256,1:0,1:0,,0.96,1261
257,1:0,1:0,,1,1263
258,2:1,2:1,,0.985,1265
259,1:0,1:0,,0.97,1270
260,1:0,1:0,,1,1278
261,1:0,1:0,,0.96,1288
262,2:1,2:1,,0.98,1292
263,1:0,1:0,,1,1293
264,1:0,1:0,,0.95,1296
265,2:1,2:1,,0.92,1301
