inst#,actual,predicted,error,prediction,ID
1,3:R,3:R,,0.558,1
2,3:R,3:R,,0.863,4
3,3:R,3:R,,0.939,13
4,3:R,3:R,,0.955,14
5,3:R,3:R,,0.848,20
6,3:R,3:R,,0.925,21
7,3:R,3:R,,0.57,27
8,3:R,3:R,,0.738,32
9,3:R,3:R,,0.877,34
10,3:R,3:R,,0.672,40
11,3:R,3:R,,0.823,41
12,3:R,3:R,,0.932,47
13,1:L,1:L,,0.572,51
14,2:B,1:L,+,0.422,52
15,3:R,3:R,,0.735,58
16,3:R,3:R,,0.754,62
17,3:R,3:R,,0.885,64
18,3:R,3:R,,0.81,71
19,1:L,1:L,,0.657,80
20,3:R,3:R,,0.646,87
21,3:R,3:R,,0.617,91
22,3:R,3:R,,0.532,95
23,3:R,3:R,,0.896,98
24,3:R,3:R,,0.924,99
25,1:L,1:L,,0.635,102
26,1:L,1:L,,0.721,105
27,1:L,1:L,,0.606,106
28,3:R,3:R,,0.624,121
29,3:R,3:R,,0.714,128
30,2:B,1:L,+,0.447,130
31,3:R,3:R,,0.888,134
32,3:R,3:R,,0.909,138
33,2:B,1:L,+,0.445,156
34,1:L,1:L,,0.456,160
35,3:R,3:R,,0.599,161
36,3:R,3:R,,0.731,166
37,1:L,1:L,,0.484,178
38,3:R,3:R,,0.625,187
39,3:R,3:R,,0.823,189
40,3:R,3:R,,0.597,191
41,1:L,1:L,,0.88,200
42,1:L,1:L,,0.822,201
43,1:L,1:L,,0.807,205
44,1:L,1:L,,0.706,206
45,3:R,3:R,,0.734,214
46,2:B,3:R,+,0.461,216
47,3:R,3:R,,0.64,217
48,1:L,1:L,,0.849,230
49,1:L,1:L,,0.668,240
50,1:L,1:L,,0.514,241
51,3:R,3:R,,0.667,243
52,1:L,1:L,,0.635,251
53,2:B,1:L,+,0.474,252
54,3:R,3:R,,0.942,269
55,3:R,3:R,,0.682,270
56,3:R,3:R,,0.945,273
57,1:L,1:L,,0.775,276
58,3:R,3:R,,0.756,288
59,1:L,3:R,+,0.519,295
60,1:L,1:L,,0.47,308
61,3:R,3:R,,0.621,313
62,1:L,1:L,,0.637,315
63,1:L,1:L,,0.892,330
64,1:L,1:L,,0.577,337
65,3:R,3:R,,0.603,339
66,3:R,3:R,,0.638,343
67,1:L,1:L,,0.636,345
68,1:L,1:L,,0.924,351
69,1:L,1:L,,0.685,366
70,2:B,3:R,+,0.501,372
71,2:B,1:L,+,0.483,378
72,3:R,3:R,,0.558,379
73,1:L,1:L,,0.614,385
74,3:R,3:R,,0.663,387
75,3:R,3:R,,0.852,389
76,3:R,3:R,,0.638,391
77,3:R,3:R,,0.786,392
78,3:R,3:R,,0.861,397
79,1:L,1:L,,0.863,401
80,1:L,1:L,,0.756,406
81,3:R,3:R,,0.638,413
82,3:R,3:R,,0.769,418
83,1:L,1:L,,0.862,427
84,1:L,1:L,,0.848,435
85,1:L,1:L,,0.787,454
86,1:L,1:L,,0.935,455
87,1:L,1:L,,0.741,458
88,1:L,1:L,,0.634,459
89,1:L,1:L,,0.895,460
90,1:L,1:L,,0.827,461
91,1:L,1:L,,0.729,466
92,1:L,1:L,,0.615,471
93,3:R,3:R,,0.736,474
94,1:L,1:L,,0.968,475
95,1:L,1:L,,0.955,476
96,1:L,1:L,,0.726,484
97,1:L,1:L,,0.571,489
98,1:L,1:L,,0.801,491
99,1:L,1:L,,0.683,492
100,2:B,3:R,+,0.512,498
101,1:L,1:L,,0.744,502
102,2:B,1:L,+,0.491,504
103,3:R,3:R,,0.513,508
104,1:L,1:L,,0.729,510
105,2:B,1:L,+,0.466,520
106,3:R,3:R,,0.648,521
107,1:L,1:L,,0.77,528
108,1:L,1:L,,0.728,536
109,3:R,3:R,,0.517,542
110,3:R,3:R,,0.767,544
111,2:B,3:R,+,0.468,546
112,1:L,1:L,,0.86,553
113,1:L,1:L,,0.94,555
114,1:L,1:L,,0.901,560
115,1:L,1:L,,0.831,561
116,1:L,1:L,,0.721,562
117,2:B,3:R,+,0.473,564
118,1:L,1:L,,0.732,566
119,1:L,1:L,,0.941,577
120,1:L,1:L,,0.934,581
121,1:L,1:L,,0.922,607
122,1:L,1:L,,0.817,609
123,1:L,1:L,,0.695,614
124,1:L,1:L,,0.551,619
125,1:L,1:L,,0.685,622

