inst#,actual,predicted,error,prediction,ID
1,6:2,4:0,+,0.831,3
2,5:1,4:0,+,0.831,7
3,5:1,4:0,+,0.831,8
4,4:0,4:0,,0.831,13
5,4:0,4:0,,0.831,17
6,5:1,5:1,,1,23
7,3:-1,4:0,+,0.831,28
8,5:1,5:1,,1,34
9,4:0,4:0,,0.831,39
10,4:0,4:0,,0.831,40
11,4:0,5:1,+,1,43
12,5:1,4:0,+,0.831,44
13,4:0,4:0,,0.831,47
14,4:0,7:3,+,0.895,49
15,5:1,5:1,,1,53
16,5:1,6:2,+,0.667,59
17,7:3,7:3,,0.895,72
18,7:3,6:2,+,0.667,80
19,7:3,6:2,+,0.667,81
20,7:3,7:3,,0.895,83
21,5:1,6:2,+,0.667,89
22,5:1,6:2,+,0.667,91
23,5:1,6:2,+,0.667,94
24,7:3,7:3,,0.895,105
25,4:0,4:0,,0.831,108
26,4:0,4:0,,0.831,110
27,3:-1,3:-1,,0.81,123
28,6:2,5:1,+,0.667,131
29,6:2,4:0,+,0.831,133
30,4:0,4:0,,0.831,142
31,4:0,4:0,,0.831,155
32,4:0,4:0,,0.831,158
33,4:0,4:0,,0.831,161
34,5:1,6:2,+,0.667,165
35,6:2,6:2,,0.667,172
36,3:-1,3:-1,,0.81,176
37,3:-1,3:-1,,0.81,181
38,6:2,4:0,+,0.831,185
39,6:2,4:0,+,0.831,186
40,7:3,5:1,+,1,189
41,7:3,6:2,+,0.667,190

