inst#,actual,predicted,error,prediction,ID
1,2:B,3:R,+,0.533,0
2,3:R,3:R,,0.864,6
3,3:R,3:R,,0.939,7
4,3:R,3:R,,0.987,9
5,3:R,3:R,,0.925,11
6,3:R,3:R,,0.908,15
7,3:R,3:R,,0.99,18
8,3:R,3:R,,0.988,22
9,3:R,3:R,,0.994,23
10,3:R,3:R,,0.936,33
11,3:R,3:R,,0.957,42
12,3:R,3:R,,0.947,46
13,3:R,3:R,,0.871,54
14,3:R,3:R,,0.774,66
15,3:R,3:R,,0.955,68
16,3:R,3:R,,0.98,69
17,3:R,3:R,,0.975,73
18,1:L,1:L,,0.933,75
19,3:R,3:R,,0.69,79
20,3:R,3:R,,0.638,83
21,3:R,3:R,,0.83,84
22,3:R,3:R,,0.795,88
23,3:R,3:R,,0.911,89
24,3:R,3:R,,0.755,92
25,3:R,3:R,,0.891,93
26,2:B,1:L,+,0.512,104
27,3:R,1:L,+,0.565,108
28,3:R,3:R,,0.777,114
29,3:R,1:L,+,0.66,116
30,3:R,3:R,,0.489,117
31,3:R,3:R,,0.937,137
32,3:R,3:R,,0.992,144
33,2:B,3:R,+,0.772,153
34,2:B,3:R,+,0.629,165
35,3:R,3:R,,0.919,167
36,1:L,1:L,,0.817,176
37,1:L,1:L,,0.633,177
38,2:B,3:R,+,0.457,182
39,1:L,3:R,+,0.543,195
40,3:R,3:R,,0.979,199
41,1:L,3:R,+,0.482,204
42,3:R,3:R,,0.627,213
43,2:B,1:L,+,0.524,234
44,3:R,1:L,+,0.576,238
45,3:R,3:R,,0.769,244
46,3:R,3:R,,0.478,247
47,3:R,3:R,,0.725,248
48,3:R,3:R,,0.878,249
49,3:R,3:R,,0.976,264
50,3:R,3:R,,0.97,268
51,1:L,1:L,,0.885,275
52,1:L,1:L,,0.551,277
53,1:L,3:R,+,0.596,278
54,3:R,3:R,,0.721,287
55,3:R,3:R,,0.944,289
56,1:L,1:L,,0.447,290
57,3:R,3:R,,0.672,291
58,3:R,3:R,,0.813,296
59,3:R,3:R,,0.962,298
60,3:R,3:R,,0.983,299
61,1:L,1:L,,0.797,302
62,1:L,3:R,+,0.564,304
63,1:L,1:L,,0.915,305
64,2:B,3:R,+,0.446,312
65,1:L,1:L,,0.544,320
66,3:R,3:R,,0.59,321
67,1:L,1:L,,0.641,329
68,1:L,1:L,,0.849,332
69,1:L,1:L,,0.686,333
70,1:L,1:L,,0.869,336
71,1:L,1:L,,0.76,341
72,1:L,1:L,,0.974,360
73,1:L,1:L,,0.762,363
74,2:B,1:L,+,0.536,364
75,1:L,1:L,,0.793,367
76,3:R,3:R,,0.761,374
77,1:L,1:L,,0.735,380
78,3:R,3:R,,0.898,388
79,2:B,3:R,+,0.499,390
80,3:R,3:R,,0.986,399
81,1:L,1:L,,0.512,403
82,1:L,1:L,,0.562,407
83,2:B,3:R,+,0.585,408
84,3:R,3:R,,0.891,414
85,1:L,1:L,,0.653,415
86,2:B,3:R,+,0.468,416
87,3:R,3:R,,0.942,419
88,1:L,1:L,,0.459,420
89,1:L,1:L,,0.774,428
90,1:L,1:L,,0.954,430
91,1:L,1:L,,0.829,436
92,3:R,3:R,,0.736,439
93,1:L,1:L,,0.695,441
94,3:R,3:R,,0.857,444
95,3:R,3:R,,0.827,448
96,1:L,1:L,,0.958,452
97,3:R,3:R,,0.661,469
98,3:R,3:R,,0.606,473
99,1:L,1:L,,0.983,477
100,1:L,1:L,,0.926,479
101,2:B,1:L,+,0.547,494
102,1:L,1:L,,0.907,496
103,1:L,1:L,,0.8,497
104,3:R,3:R,,0.574,499
105,1:L,1:L,,0.709,506
106,3:R,1:L,+,0.526,511
107,3:R,3:R,,0.914,514
108,3:R,3:R,,0.768,517
109,3:R,3:R,,0.872,522
110,1:L,1:L,,0.523,533
111,1:L,1:L,,0.62,541
112,1:L,1:L,,0.663,545
113,3:R,3:R,,0.863,548
114,1:L,1:L,,0.782,558
115,1:L,1:L,,0.618,563
116,3:R,3:R,,0.482,568
117,1:L,1:L,,0.959,582
118,1:L,1:L,,0.967,590
119,1:L,1:L,,0.941,595
120,1:L,1:L,,0.991,606
121,1:L,1:L,,0.992,610
122,1:L,1:L,,0.973,616
123,1:L,1:L,,0.945,617
124,1:L,1:L,,0.777,623
125,2:B,1:L,+,0.559,624

