inst#,actual,predicted,error,prediction,ID
1,2:'build wind non-float',2:build wind non-float,,0.683,5
2,1:'build wind float',1:build wind float,,0.814,12
3,2:'build wind non-float',2:build wind non-float,,0.594,19
4,5:containers,2:build wind non-float,+,0.637,24
5,2:'build wind non-float',2:build wind non-float,,0.989,26
6,2:'build wind non-float',2:build wind non-float,,0.98,28
7,3:'vehic wind float',1:build wind float,+,0.353,29
8,3:'vehic wind float',2:build wind non-float,+,0.594,31
9,1:'build wind float',2:build wind non-float,+,0.98,35
10,2:'build wind non-float',2:build wind non-float,,0.98,38
11,2:'build wind non-float',1:build wind float,+,0.814,41
12,2:'build wind non-float',2:build wind non-float,,0.98,42
13,2:'build wind non-float',1:build wind float,+,0.814,51
14,7:headlamps,7:headlamps,,0.447,56
15,7:headlamps,7:headlamps,,0.999,65
16,3:'vehic wind float',1:build wind float,+,0.905,67
17,2:'build wind non-float',5:containers,+,0.989,68
18,1:'build wind float',1:build wind float,,0.651,76
19,3:'vehic wind float',1:build wind float,+,0.353,78
20,1:'build wind float',1:build wind float,,0.353,79
21,3:'vehic wind float',1:build wind float,+,0.662,82
22,1:'build wind float',1:build wind float,,0.814,95
23,7:headlamps,7:headlamps,,1,96
24,1:'build wind float',1:build wind float,,0.921,100
25,1:'build wind float',1:build wind float,,0.814,108
26,5:containers,5:containers,,0.824,109
27,1:'build wind float',1:build wind float,,0.879,119
28,2:'build wind non-float',1:build wind float,+,0.353,120
29,7:headlamps,2:build wind non-float,+,0.81,126
30,7:headlamps,7:headlamps,,0.999,127
31,1:'build wind float',1:build wind float,,0.814,128
32,1:'build wind float',1:build wind float,,0.845,135
33,1:'build wind float',1:build wind float,,0.845,136
34,2:'build wind non-float',2:build wind non-float,,0.98,137
35,2:'build wind non-float',2:build wind non-float,,0.594,145
36,7:headlamps,4:vehic wind non-float,+,0.644,150
37,1:'build wind float',1:build wind float,,0.814,161
38,2:'build wind non-float',6:tableware,+,0.535,164
39,1:'build wind float',1:build wind float,,0.662,172
40,7:headlamps,7:headlamps,,0.759,173
41,2:'build wind non-float',2:build wind non-float,,0.98,181
42,7:headlamps,7:headlamps,,1,185
43,2:'build wind non-float',2:build wind non-float,,0.98,199

