inst#,actual,predicted,error,prediction,ID
1,1:0,1:0,,0.558,1
2,2:1,1:0,+,0.689,8
3,1:0,1:0,,0.947,13
4,2:1,1:0,+,0.697,14
5,2:1,1:0,+,0.694,20
6,1:0,1:0,,0.569,21
7,2:1,1:0,+,0.832,26
8,1:0,1:0,,0.558,34
9,1:0,2:1,+,0.52,37
10,1:0,1:0,,0.521,40
11,2:1,1:0,+,0.78,53
12,1:0,1:0,,0.526,64
13,1:0,1:0,,0.557,87
14,1:0,1:0,,0.531,91
15,2:1,1:0,+,0.745,95
16,2:1,1:0,+,0.774,98
17,1:0,1:0,,0.507,103
18,1:0,2:1,+,0.504,112
19,1:0,1:0,,0.935,121
20,2:1,1:0,+,0.693,122
21,1:0,2:1,+,0.5,130
22,2:1,1:0,+,0.895,134
23,2:1,1:0,+,0.81,143
24,2:1,1:0,+,0.827,146
25,1:0,1:0,,0.981,150
26,1:0,1:0,,0.966,151
27,2:1,2:1,,0.562,152
28,1:0,1:0,,0.969,160
29,2:1,1:0,+,0.829,161
30,1:0,1:0,,0.534,166
31,1:0,1:0,,0.97,186
32,1:0,1:0,,0.955,187
33,1:0,1:0,,0.536,189
34,2:1,1:0,+,0.734,197
35,2:1,1:0,+,0.841,200
36,1:0,1:0,,0.568,201
37,1:0,2:1,+,0.598,202
38,1:0,1:0,,0.979,205
39,2:1,1:0,+,0.876,206
40,1:0,1:0,,0.503,207
41,1:0,2:1,+,0.51,216
42,1:0,1:0,,0.514,219
43,1:0,1:0,,0.898,225
44,1:0,1:0,,0.97,229
45,2:1,2:1,,0.844,230
46,1:0,2:1,+,0.605,241
47,1:0,1:0,,0.554,246
48,1:0,1:0,,0.897,252
49,1:0,1:0,,0.868,253
50,1:0,1:0,,0.867,262
51,2:1,1:0,+,0.619,269
52,1:0,1:0,,0.535,276
53,1:0,1:0,,0.88,279
54,1:0,2:1,+,0.68,283
55,1:0,1:0,,0.876,288
56,2:1,1:0,+,0.678,293
57,1:0,2:1,+,0.609,295
58,1:0,1:0,,0.959,315
59,2:1,2:1,,0.841,317
60,1:0,1:0,,0.52,330
61,1:0,1:0,,0.828,337
62,1:0,1:0,,0.51,343
63,1:0,1:0,,0.901,345
64,1:0,2:1,+,0.51,378
65,1:0,2:1,+,0.508,379
66,1:0,2:1,+,0.555,384
67,1:0,2:1,+,0.502,385
68,1:0,1:0,,0.899,387
69,1:0,1:0,,0.794,391
70,2:1,2:1,,0.849,392
71,1:0,1:0,,0.851,397
72,1:0,1:0,,0.877,400
73,2:1,2:1,,0.815,401
74,1:0,1:0,,0.887,402
75,1:0,2:1,+,0.71,403
76,1:0,1:0,,0.556,406
77,1:0,2:1,+,0.689,418
78,2:1,1:0,+,0.653,437
79,1:0,1:0,,0.977,441
80,2:1,1:0,+,0.717,452
