inst#,actual,predicted,error,prediction,ID
1,1:draw,17:fifteen,+,0.111,0
2,1:draw,18:sixteen,+,0.111,7
3,1:draw,1:draw,,0.111,19
4,1:draw,18:sixteen,+,0.111,23
5,1:draw,17:fifteen,+,0.111,31
6,1:draw,16:fourteen,+,0.111,41
7,1:draw,16:fourteen,+,0.111,42
8,1:draw,13:eleven,+,0.111,43
9,1:draw,17:fifteen,+,0.111,47
10,1:draw,17:fifteen,+,0.111,49
11,1:draw,13:eleven,+,0.111,50
12,1:draw,17:fifteen,+,0.111,59
13,1:draw,17:fifteen,+,0.111,62
14,1:draw,17:fifteen,+,0.111,68
15,1:draw,16:fourteen,+,0.105,72
16,1:draw,18:sixteen,+,0.111,83
17,1:draw,17:fifteen,+,0.105,87
18,1:draw,17:fifteen,+,0.105,90
19,1:draw,17:fifteen,+,0.105,95
20,1:draw,16:fourteen,+,0.105,101
21,1:draw,16:fourteen,+,0.105,102
22,1:draw,16:fourteen,+,0.105,109
23,1:draw,18:sixteen,+,0.111,110
24,1:draw,16:fourteen,+,0.105,114
25,1:draw,1:draw,,0.111,116
26,1:draw,18:sixteen,+,0.111,123
27,1:draw,17:fifteen,+,0.111,128
28,1:draw,17:fifteen,+,0.105,129
29,1:draw,18:sixteen,+,0.111,130
30,1:draw,17:fifteen,+,0.111,133
31,1:draw,17:fifteen,+,0.111,137
32,1:draw,16:fourteen,+,0.105,140
33,1:draw,18:sixteen,+,0.111,160
34,1:draw,1:draw,,0.111,169
35,1:draw,17:fifteen,+,0.111,175
36,1:draw,17:fifteen,+,0.111,176
37,1:draw,13:eleven,+,0.111,177
38,1:draw,16:fourteen,+,0.111,181
39,1:draw,16:fourteen,+,0.111,205
40,1:draw,15:thirteen,+,0.105,218
41,1:draw,16:fourteen,+,0.111,222
42,1:draw,16:fourteen,+,0.111,224
43,1:draw,16:fourteen,+,0.111,225
44,1:draw,15:thirteen,+,0.105,239
45,1:draw,14:twelve,+,0.111,241
46,1:draw,16:fourteen,+,0.111,242
47,1:draw,17:fifteen,+,0.111,245
48,1:draw,15:thirteen,+,0.105,248
49,1:draw,16:fourteen,+,0.111,251
50,1:draw,14:twelve,+,0.111,257
51,1:draw,15:thirteen,+,0.111,263
52,1:draw,14:twelve,+,0.111,264
53,1:draw,16:fourteen,+,0.111,265
54,1:draw,16:fourteen,+,0.111,267
55,1:draw,16:fourteen,+,0.105,268
56,1:draw,17:fifteen,+,0.111,285
57,1:draw,17:fifteen,+,0.111,286
58,1:draw,17:fifteen,+,0.111,290
59,1:draw,18:sixteen,+,0.111,293
60,1:draw,18:sixteen,+,0.111,295
61,1:draw,16:fourteen,+,0.111,300
62,1:draw,17:fifteen,+,0.111,308
63,1:draw,16:fourteen,+,0.105,327
64,1:draw,16:fourteen,+,0.105,334
