inst#,actual,predicted,error,prediction,ID
1,2:noband,2:noband,,0.606,1
2,1:band,2:noband,+,0.606,13
3,2:noband,2:noband,,0.606,20
4,2:noband,2:noband,,0.606,21
5,1:band,2:noband,+,0.606,34
6,2:noband,2:noband,,0.606,43
7,2:noband,2:noband,,0.606,49
8,1:band,2:noband,+,0.606,50
9,2:noband,2:noband,,0.606,52
10,2:noband,2:noband,,0.606,53
11,2:noband,2:noband,,0.606,54
12,1:band,2:noband,+,0.606,58
13,2:noband,2:noband,,0.606,71
14,2:noband,2:noband,,0.606,80
15,1:band,2:noband,+,0.606,87
16,2:noband,2:noband,,0.606,88
17,2:noband,2:noband,,0.606,91
18,2:noband,2:noband,,0.606,99
19,2:noband,2:noband,,0.606,102
20,1:band,2:noband,+,0.606,105
21,1:band,2:noband,+,0.606,106
22,1:band,2:noband,+,0.606,121
23,2:noband,2:noband,,0.606,130
24,2:noband,2:noband,,0.606,134
25,2:noband,2:noband,,0.606,160
26,2:noband,2:noband,,0.606,161
27,1:band,2:noband,+,0.606,166
28,1:band,2:noband,+,0.606,169
29,2:noband,2:noband,,0.606,174
30,1:band,2:noband,+,0.606,187
31,1:band,2:noband,+,0.606,189
32,1:band,2:noband,+,0.606,190
33,1:band,2:noband,+,0.606,191
34,2:noband,2:noband,,0.606,201
35,2:noband,2:noband,,0.606,205
36,2:noband,2:noband,,0.606,207
37,2:noband,2:noband,,0.606,212
38,2:noband,2:noband,,0.606,214
39,2:noband,2:noband,,0.606,216
40,2:noband,2:noband,,0.606,217
41,1:band,2:noband,+,0.606,236
42,1:band,2:noband,+,0.606,241
43,2:noband,2:noband,,0.606,243
44,2:noband,2:noband,,0.606,251
45,1:band,2:noband,+,0.606,252
46,2:noband,2:noband,,0.606,259
47,2:noband,2:noband,,0.606,263
48,2:noband,2:noband,,0.606,264
49,2:noband,2:noband,,0.606,269
50,2:noband,2:noband,,0.606,270
51,2:noband,2:noband,,0.606,273
52,1:band,2:noband,+,0.606,276
53,2:noband,2:noband,,0.606,279
54,2:noband,2:noband,,0.606,295
55,2:noband,2:noband,,0.606,303
56,2:noband,2:noband,,0.606,306
57,1:band,2:noband,+,0.606,308
58,1:band,2:noband,+,0.606,309
59,2:noband,2:noband,,0.606,313
60,2:noband,2:noband,,0.606,315
61,2:noband,2:noband,,0.606,319
62,2:noband,2:noband,,0.606,328
63,2:noband,2:noband,,0.606,330
64,1:band,2:noband,+,0.606,337
65,1:band,2:noband,+,0.606,339
66,2:noband,2:noband,,0.606,343
67,2:noband,2:noband,,0.606,345
68,2:noband,2:noband,,0.606,350
69,1:band,2:noband,+,0.606,359
70,1:band,2:noband,+,0.606,363
71,1:band,2:noband,+,0.606,366
72,2:noband,2:noband,,0.606,372
73,1:band,2:noband,+,0.606,385
74,1:band,2:noband,+,0.606,387
75,2:noband,2:noband,,0.606,389
76,2:noband,2:noband,,0.606,401
77,1:band,2:noband,+,0.606,409
78,2:noband,2:noband,,0.606,413
79,1:band,2:noband,+,0.606,419
80,2:noband,2:noband,,0.606,427
81,1:band,2:noband,+,0.606,430
82,2:noband,2:noband,,0.606,435
83,2:noband,2:noband,,0.606,443
84,2:noband,2:noband,,0.606,445
85,2:noband,2:noband,,0.606,451
86,1:band,2:noband,+,0.606,454
87,1:band,2:noband,+,0.606,458
88,1:band,2:noband,+,0.606,459
89,1:band,2:noband,+,0.606,463
90,1:band,2:noband,+,0.606,466
91,1:band,2:noband,+,0.606,474
92,1:band,2:noband,+,0.606,475
93,1:band,2:noband,+,0.606,476
94,1:band,2:noband,+,0.606,480
95,1:band,2:noband,+,0.606,484
96,1:band,2:noband,+,0.606,487
97,1:band,2:noband,+,0.606,491
98,1:band,2:noband,+,0.606,501
99,1:band,2:noband,+,0.606,503
100,1:band,2:noband,+,0.606,504
101,1:band,2:noband,+,0.606,505
102,1:band,2:noband,+,0.606,507
103,1:band,2:noband,+,0.606,510
104,1:band,2:noband,+,0.606,520
105,1:band,2:noband,+,0.606,525
106,1:band,2:noband,+,0.606,531
107,1:band,2:noband,+,0.606,534
108,1:band,2:noband,+,0.606,537

