inst#,actual,predicted,error,prediction,ID
1,1:1,3:3,+,0.738,0
2,1:1,2:2,+,0.531,2
3,1:1,3:3,+,0.531,6
4,1:1,3:3,+,0.787,7
5,1:1,1:1,,0.995,9
6,1:1,1:1,,0.437,25
7,1:1,1:1,,0.829,27
8,1:1,3:3,+,0.609,33
9,1:1,1:1,,0.608,42
10,1:1,1:1,,0.685,45
11,1:1,1:1,,0.808,47
12,1:1,1:1,,0.403,52
13,1:1,3:3,+,0.937,55
14,1:1,2:2,+,0.542,57
15,1:1,1:1,,0.619,60
16,1:1,1:1,,0.793,62
17,1:1,1:1,,0.446,66
18,1:1,2:2,+,0.516,71
19,1:1,1:1,,0.905,72
20,1:1,2:2,+,0.476,77
21,1:1,1:1,,0.685,79
22,1:1,3:3,+,0.409,80
23,1:1,2:2,+,0.503,82
24,1:1,3:3,+,0.443,84
25,1:1,2:2,+,0.422,85
26,1:1,3:3,+,0.523,90
27,1:1,1:1,,0.649,92
28,1:1,1:1,,0.687,94
29,1:1,3:3,+,0.485,97
30,1:1,3:3,+,0.775,102
31,1:1,3:3,+,0.413,104
32,1:1,3:3,+,0.407,105
33,1:1,1:1,,0.551,106
34,1:1,1:1,,0.579,110
35,1:1,1:1,,0.823,117
36,1:1,1:1,,0.599,118
37,1:1,1:1,,0.984,120
38,1:1,1:1,,0.708,125
39,1:1,1:1,,0.646,133
40,1:1,1:1,,0.56,137
41,1:1,1:1,,0.781,142
42,1:1,3:3,+,0.398,144
43,1:1,3:3,+,0.48,145
44,1:1,1:1,,0.617,148
45,1:1,1:1,,0.483,165
46,1:1,3:3,+,0.479,172
47,1:1,3:3,+,0.733,177
48,1:1,1:1,,0.566,181
49,1:1,1:1,,0.664,182
50,1:1,1:1,,0.874,183
51,1:1,1:1,,0.962,194
52,1:1,1:1,,0.444,204
53,1:1,1:1,,0.947,211
54,1:1,3:3,+,0.845,212
55,1:1,1:1,,0.811,213
56,1:1,3:3,+,0.712,215
57,1:1,3:3,+,0.562,223
58,1:1,1:1,,0.386,226
59,1:1,1:1,,0.997,227
60,1:1,1:1,,0.67,228
61,1:1,1:1,,0.476,235
62,1:1,3:3,+,0.404,238
63,1:1,3:3,+,0.354,248
64,1:1,1:1,,0.685,249
65,1:1,1:1,,0.389,250
66,1:1,3:3,+,0.435,255
67,1:1,2:2,+,0.459,256
68,1:1,1:1,,0.996,258
69,1:1,2:2,+,0.483,267
70,1:1,2:2,+,0.752,273
71,1:1,3:3,+,0.728,280
