inst#,actual,predicted,error,prediction,ID
1,2:noband,1:band,+,0.548,3
2,2:noband,2:noband,,0.508,5
3,2:noband,2:noband,,0.624,7
4,2:noband,2:noband,,0.606,16
5,2:noband,2:noband,,0.605,17
6,2:noband,2:noband,,0.549,19
7,1:band,2:noband,+,0.621,23
8,1:band,2:noband,+,0.61,24
9,1:band,2:noband,+,0.608,25
10,2:noband,2:noband,,0.603,26
11,1:band,2:noband,+,0.616,29
12,2:noband,1:band,+,0.521,31
13,2:noband,1:band,+,0.501,37
14,2:noband,2:noband,,0.641,42
15,2:noband,2:noband,,0.587,45
16,2:noband,2:noband,,0.61,48
17,2:noband,2:noband,,0.574,56
18,2:noband,2:noband,,0.571,57
19,1:band,1:band,,0.532,60
20,1:band,1:band,,0.526,66
21,2:noband,2:noband,,0.58,69
22,2:noband,2:noband,,0.521,94
23,1:band,2:noband,+,0.591,108
24,1:band,1:band,,0.521,110
25,2:noband,2:noband,,0.635,113
26,2:noband,2:noband,,0.533,114
27,2:noband,2:noband,,0.519,116
28,1:band,2:noband,+,0.589,118
29,2:noband,2:noband,,0.528,124
30,2:noband,2:noband,,0.622,126
31,2:noband,2:noband,,0.599,154
32,2:noband,2:noband,,0.6,155
33,2:noband,2:noband,,0.631,157
34,1:band,2:noband,+,0.598,172
35,2:noband,2:noband,,0.615,175
36,2:noband,2:noband,,0.614,181
37,2:noband,2:noband,,0.613,182
38,2:noband,2:noband,,0.517,184
39,2:noband,2:noband,,0.642,203
40,2:noband,2:noband,,0.62,204
41,1:band,2:noband,+,0.53,210
42,2:noband,2:noband,,0.597,211
43,2:noband,2:noband,,0.643,218
44,2:noband,2:noband,,0.544,220
45,2:noband,2:noband,,0.558,222
46,2:noband,2:noband,,0.521,225
47,2:noband,2:noband,,0.582,228
48,1:band,2:noband,+,0.535,231
49,2:noband,2:noband,,0.537,238
50,2:noband,2:noband,,0.523,244
51,1:band,2:noband,+,0.622,247
52,2:noband,2:noband,,0.624,248
53,2:noband,2:noband,,0.511,255
54,2:noband,2:noband,,0.639,265
55,1:band,2:noband,+,0.593,275
56,2:noband,2:noband,,0.524,278
57,2:noband,2:noband,,0.577,286
58,2:noband,2:noband,,0.623,287
59,2:noband,2:noband,,0.636,289
60,2:noband,2:noband,,0.614,291
61,1:band,2:noband,+,0.512,299
62,2:noband,2:noband,,0.532,304
63,2:noband,2:noband,,0.54,305
64,2:noband,2:noband,,0.583,318
65,1:band,2:noband,+,0.574,322
66,2:noband,1:band,+,0.544,332
67,2:noband,2:noband,,0.521,333
68,2:noband,2:noband,,0.545,346
69,1:band,1:band,,0.559,352
70,1:band,2:noband,+,0.524,353
71,2:noband,2:noband,,0.524,355
72,1:band,2:noband,+,0.599,361
73,1:band,2:noband,+,0.581,367
74,2:noband,2:noband,,0.948,369
75,2:noband,2:noband,,0.598,380
76,2:noband,1:band,+,0.523,381
77,2:noband,1:band,+,0.521,382
78,1:band,2:noband,+,0.591,384
79,2:noband,2:noband,,0.597,390
80,1:band,1:band,,0.505,395
81,2:noband,1:band,+,0.586,397
82,2:noband,2:noband,,0.512,400
83,2:noband,2:noband,,0.519,412
84,2:noband,2:noband,,0.631,426
85,2:noband,2:noband,,0.547,432
86,2:noband,2:noband,,0.594,438
87,2:noband,2:noband,,0.615,439
88,2:noband,2:noband,,0.609,442
89,2:noband,2:noband,,0.632,450
90,2:noband,2:noband,,0.633,452
91,2:noband,2:noband,,0.633,453
92,1:band,2:noband,+,0.588,456
93,1:band,2:noband,+,0.609,473
94,1:band,2:noband,+,0.632,477
95,1:band,2:noband,+,0.525,482
96,1:band,2:noband,+,0.604,483
97,1:band,2:noband,+,0.629,489
98,1:band,2:noband,+,0.613,500
99,1:band,2:noband,+,0.595,502
100,1:band,1:band,,0.508,508
101,1:band,2:noband,+,0.571,513
102,1:band,2:noband,+,0.595,514
103,1:band,2:noband,+,0.555,518
104,1:band,2:noband,+,0.952,519
105,1:band,2:noband,+,0.574,529
106,1:band,2:noband,+,0.576,532
107,1:band,2:noband,+,0.59,536
108,1:band,2:noband,+,0.567,539

