inst#,actual,predicted,error,prediction,ID
1,1:Iris-setosa,1:Iris-setosa,,0.978,9
2,1:Iris-setosa,1:Iris-setosa,,0.98,12
3,1:Iris-setosa,1:Iris-setosa,,0.976,18
4,1:Iris-setosa,1:Iris-setosa,,0.987,19
5,1:Iris-setosa,1:Iris-setosa,,0.968,26
6,1:Iris-setosa,1:Iris-setosa,,0.973,29
7,1:Iris-setosa,1:Iris-setosa,,0.968,30
8,1:Iris-setosa,1:Iris-setosa,,0.971,31
9,1:Iris-setosa,1:Iris-setosa,,0.988,36
10,1:Iris-setosa,1:Iris-setosa,,0.972,45
11,2:Iris-versicolor,2:Iris-versicolor,,0.908,55
12,2:Iris-versicolor,2:Iris-versicolor,,0.723,56
13,2:Iris-versicolor,2:Iris-versicolor,,0.952,64
14,2:Iris-versicolor,2:Iris-versicolor,,0.722,68
15,2:Iris-versicolor,2:Iris-versicolor,,0.972,69
16,2:Iris-versicolor,2:Iris-versicolor,,0.928,73
17,2:Iris-versicolor,2:Iris-versicolor,,0.828,76
18,2:Iris-versicolor,2:Iris-versicolor,,0.809,78
19,2:Iris-versicolor,2:Iris-versicolor,,0.967,82
20,3:Iris-virginica,3:Iris-virginica,,0.989,104
21,3:Iris-virginica,3:Iris-virginica,,0.937,108
22,3:Iris-virginica,3:Iris-virginica,,0.871,110
23,3:Iris-virginica,3:Iris-virginica,,0.999,118
24,3:Iris-virginica,3:Iris-virginica,,0.683,127
25,3:Iris-virginica,3:Iris-virginica,,0.977,128
26,3:Iris-virginica,3:Iris-virginica,,0.97,131
27,3:Iris-virginica,3:Iris-virginica,,0.986,132
28,3:Iris-virginica,3:Iris-virginica,,0.969,141
29,3:Iris-virginica,3:Iris-virginica,,0.993,143
30,3:Iris-virginica,3:Iris-virginica,,0.978,145

