inst#,actual,predicted,error,prediction,ID
1,1:cp,1:cp,,0.854,1
2,1:cp,1:cp,,0.873,13
3,1:cp,1:cp,,0.89,20
4,1:cp,1:cp,,0.895,21
5,1:cp,1:cp,,0.979,34
6,1:cp,1:cp,,0.959,43
7,1:cp,1:cp,,0.931,48
8,1:cp,1:cp,,0.963,49
9,1:cp,1:cp,,0.89,50
10,1:cp,1:cp,,0.924,52
11,1:cp,2:im,+,0.518,53
12,1:cp,1:cp,,0.772,54
13,1:cp,1:cp,,0.95,58
14,1:cp,1:cp,,0.927,71
15,1:cp,1:cp,,0.965,80
16,1:cp,1:cp,,0.877,87
17,1:cp,1:cp,,0.739,88
18,1:cp,1:cp,,0.947,91
19,1:cp,1:cp,,0.886,99
20,1:cp,1:cp,,0.956,102
21,1:cp,1:cp,,0.943,105
22,1:cp,1:cp,,0.905,106
23,1:cp,1:cp,,0.971,121
24,1:cp,1:cp,,0.58,130
25,1:cp,1:cp,,0.827,134
26,2:im,2:im,,0.933,149
27,2:im,2:im,,0.61,151
28,2:im,2:im,,0.865,160
29,2:im,2:im,,0.852,161
30,2:im,2:im,,0.865,166
31,2:im,2:im,,0.842,169
32,2:im,4:imU,+,0.73,174
33,2:im,4:imU,+,0.453,187
34,2:im,2:im,,0.78,188
35,2:im,2:im,,0.471,189
36,2:im,2:im,,0.504,190
37,2:im,2:im,,0.567,191
38,2:im,2:im,,0.861,201
39,2:im,2:im,,0.804,205
40,2:im,2:im,,0.902,207
41,2:im,2:im,,0.65,212
42,2:im,2:im,,0.667,214
43,2:im,3:pp,+,0.646,217
44,4:imU,3:pp,+,0.54,235
45,4:imU,4:imU,,0.571,236
46,4:imU,2:im,+,0.595,241
47,4:imU,4:imU,,0.452,243
48,4:imU,2:im,+,0.95,251
49,4:imU,4:imU,,0.672,252
50,4:imU,1:cp,+,0.551,257
51,5:om,5:om,,0.676,259
52,5:om,5:om,,0.552,263
53,5:om,3:pp,+,0.605,264
54,5:om,5:om,,0.767,269
55,5:om,5:om,,0.734,270
56,5:om,5:om,,0.5,273
57,5:om,5:om,,0.675,276
58,3:pp,3:pp,,0.745,293
59,3:pp,3:pp,,0.509,306
60,3:pp,3:pp,,0.806,307
61,3:pp,3:pp,,0.847,308
62,3:pp,3:pp,,0.786,313
63,3:pp,3:pp,,0.799,323
64,3:pp,1:cp,+,0.671,327
65,3:pp,1:cp,+,0.547,330
66,3:pp,3:pp,,0.58,334
67,3:pp,3:pp,,0.89,335

