inst#,actual,predicted,error,prediction,ID
1,3:average,2:low,+,0.954,8
2,3:average,2:low,+,0.924,26
3,4:good,4:good,,0.996,36
4,4:good,4:good,,0.997,37
5,5:best,4:good,+,0.957,50
6,4:good,4:good,,0.953,53
7,4:good,4:good,,0.574,67
8,4:good,4:good,,0.849,74
9,3:average,2:low,+,0.802,103
10,5:best,5:best,,0.64,111
11,5:best,5:best,,0.933,112
12,5:best,5:best,,0.759,115
13,2:low,2:low,,0.999,119
14,1:none,1:none,,0.871,122
15,4:good,2:low,+,0.817,123
16,5:best,5:best,,0.656,127
17,4:good,4:good,,0.875,129
18,1:none,2:low,+,0.999,143
19,1:none,2:low,+,0.994,146
20,2:low,2:low,,0.844,147
21,2:low,2:low,,0.965,150
22,4:good,2:low,+,0.583,151
23,4:good,3:average,+,0.674,152
24,5:best,3:average,+,0.534,157
25,2:low,2:low,,0.995,162
26,3:average,2:low,+,0.971,168
27,5:best,4:good,+,0.966,175
28,4:good,3:average,+,0.646,183
29,2:low,2:low,,0.997,186
30,2:low,2:low,,0.988,193
31,4:good,3:average,+,0.624,194
32,4:good,2:low,+,0.828,197
33,5:best,4:good,+,0.751,202
34,5:best,3:average,+,0.756,207
35,4:good,4:good,,0.775,219
36,5:best,4:good,+,0.992,224
37,4:good,3:average,+,0.488,225
38,4:good,3:average,+,0.745,226
39,4:good,4:good,,0.727,229
40,2:low,2:low,,0.801,232
41,2:low,2:low,,0.908,233
42,1:none,2:low,+,0.83,237
43,1:none,2:low,+,0.608,246
44,1:none,3:average,+,0.845,253
45,1:none,1:none,,0.657,258
46,2:low,2:low,,0.914,262
47,1:none,2:low,+,0.947,263
48,3:average,3:average,,0.584,267
49,2:low,2:low,,0.759,279
50,2:low,2:low,,0.952,282
51,3:average,3:average,,0.794,293
52,3:average,3:average,,0.922,297
53,3:average,3:average,,0.859,303
54,5:best,4:good,+,0.887,309
55,5:best,3:average,+,0.891,317
56,5:best,4:good,+,0.943,325
57,4:good,4:good,,0.766,347
58,4:good,4:good,,0.93,348
59,3:average,4:good,+,0.534,358
60,1:none,3:average,+,0.983,364
61,4:good,4:good,,0.989,365
62,4:good,4:good,,0.823,370
63,4:good,4:good,,0.526,373
64,3:average,4:good,+,0.908,374
65,4:good,4:good,,0.843,376
66,4:good,4:good,,0.943,383
67,1:none,3:average,+,0.952,384
68,4:good,4:good,,0.965,386
69,3:average,2:low,+,0.747,400
70,2:low,2:low,,0.762,402
71,3:average,3:average,,0.869,403
72,4:good,3:average,+,0.753,407
73,2:low,3:average,+,0.815,410
74,1:none,1:none,,0.776,414
75,1:none,1:none,,0.842,415
76,5:best,3:average,+,0.938,419
77,3:average,3:average,,0.897,421
78,4:good,4:good,,0.988,437
79,5:best,4:good,+,0.99,438
80,2:low,4:good,+,0.883,441
81,3:average,4:good,+,0.98,442
82,4:good,4:good,,0.996,444
83,3:average,2:low,+,0.927,452
84,2:low,4:good,+,0.944,463
85,4:good,4:good,,0.987,472
86,4:good,4:good,,0.999,480
87,4:good,4:good,,0.992,488
88,3:average,3:average,,0.977,496
89,1:none,2:low,+,0.876,505
90,3:average,3:average,,0.98,506
91,1:none,2:low,+,0.915,507
92,1:none,1:none,,0.407,509
93,1:none,2:low,+,0.961,515
94,4:good,3:average,+,0.878,516
95,4:good,3:average,+,0.575,525
96,4:good,3:average,+,0.937,528
97,4:good,3:average,+,0.903,529
98,3:average,3:average,,0.987,530
99,4:good,3:average,+,0.956,532
100,1:none,1:none,,0.474,538
101,4:good,3:average,+,0.919,539
102,1:none,2:low,+,0.73,543
103,4:good,4:good,,0.705,552
104,4:good,3:average,+,0.969,557
105,3:average,3:average,,0.966,559
106,3:average,3:average,,0.981,567
107,4:good,3:average,+,0.662,568
108,1:none,2:low,+,0.68,572
109,4:good,4:good,,0.992,575
110,4:good,4:good,,0.993,578
111,4:good,4:good,,0.994,580
112,4:good,4:good,,0.994,581
113,4:good,4:good,,0.993,584
114,4:good,4:good,,0.987,586
115,4:good,4:good,,0.985,588
116,5:best,4:good,+,0.987,596
117,4:good,4:good,,0.996,597
118,5:best,4:good,+,0.928,601
119,4:good,4:good,,0.993,605
120,1:none,1:none,,0.453,613
121,4:good,4:good,,0.991,620
122,5:best,4:good,+,0.929,625
123,2:low,2:low,,0.379,626
124,4:good,4:good,,0.98,627
125,1:none,2:low,+,0.839,633
126,2:low,2:low,,0.971,635
127,5:best,3:average,+,0.802,636
128,5:best,3:average,+,0.919,637
129,3:average,3:average,,0.943,640
130,3:average,2:low,+,0.835,652
131,5:best,3:average,+,0.847,653
132,3:average,3:average,,0.967,657
133,1:none,1:none,,1,668
134,1:none,1:none,,1,671
135,1:none,1:none,,1,679
136,1:none,1:none,,1,692
137,1:none,1:none,,1,693
138,1:none,1:none,,1,698
139,1:none,1:none,,1,701
140,1:none,1:none,,1,706
141,1:none,1:none,,1,709
142,1:none,1:none,,1,710
143,1:none,1:none,,1,712
144,1:none,1:none,,1,719
145,1:none,1:none,,1,724
146,1:none,1:none,,1,728
147,1:none,1:none,,1,730

