inst#,actual,predicted,error,prediction,ID
1,2:low,3:average,+,0.647,2
2,2:low,3:average,+,0.753,10
3,4:good,4:good,,0.621,23
4,2:low,2:low,,0.844,30
5,5:best,4:good,+,0.574,31
6,4:good,4:good,,0.684,33
7,5:best,5:best,,0.84,39
8,4:good,4:good,,0.614,44
9,4:good,5:best,+,0.512,49
10,3:average,4:good,+,0.962,54
11,1:none,1:none,,0.938,55
12,4:good,4:good,,0.982,60
13,4:good,4:good,,0.992,63
14,4:good,4:good,,0.985,65
15,4:good,4:good,,0.988,66
16,1:none,3:average,+,0.814,69
17,4:good,4:good,,0.992,70
18,4:good,4:good,,0.998,72
19,1:none,2:low,+,0.931,76
20,4:good,5:best,+,0.771,77
21,2:low,2:low,,0.928,78
22,2:low,2:low,,0.98,79
23,5:best,5:best,,0.876,81
24,5:best,5:best,,0.989,84
25,1:none,2:low,+,0.663,86
26,1:none,5:best,+,0.673,90
27,5:best,5:best,,0.988,97
28,2:low,2:low,,0.98,101
29,1:none,2:low,+,0.999,109
30,1:none,2:low,+,0.999,118
31,5:best,5:best,,0.87,120
32,5:best,5:best,,0.951,131
33,2:low,2:low,,0.993,133
34,5:best,2:low,+,0.969,148
35,2:low,2:low,,0.819,155
36,4:good,5:best,+,0.599,158
37,2:low,2:low,,0.797,164
38,4:good,3:average,+,0.706,174
39,3:average,2:low,+,0.975,192
40,5:best,5:best,,0.711,198
41,5:best,5:best,,0.917,199
42,3:average,3:average,,0.699,204
43,2:low,2:low,,0.998,208
44,2:low,2:low,,0.998,210
45,2:low,4:good,+,0.58,211
46,3:average,3:average,,0.428,212
47,3:average,2:low,+,0.853,215
48,5:best,4:good,+,0.779,223
49,3:average,2:low,+,0.76,234
50,1:none,2:low,+,0.581,235
51,1:none,2:low,+,0.742,239
52,1:none,4:good,+,0.643,247
53,1:none,1:none,,0.649,248
54,1:none,4:good,+,0.789,250
55,1:none,2:low,+,0.792,259
56,2:low,2:low,,0.727,264
57,4:good,2:low,+,0.469,266
58,3:average,1:none,+,0.55,275
59,2:low,2:low,,0.898,286
60,1:none,2:low,+,0.927,290
61,2:low,2:low,,0.912,294
62,2:low,2:low,,0.967,306
63,3:average,3:average,,0.719,311
64,1:none,2:low,+,1,319
65,3:average,2:low,+,0.982,323
66,3:average,3:average,,0.591,324
67,4:good,4:good,,0.97,329
68,4:good,4:good,,0.973,331
69,3:average,4:good,+,0.621,332
70,4:good,4:good,,0.974,334
71,2:low,3:average,+,0.856,342
72,4:good,4:good,,0.983,346
73,4:good,4:good,,0.877,349
74,3:average,3:average,,0.74,351
75,3:average,4:good,+,0.831,352
76,4:good,4:good,,0.89,355
77,4:good,4:good,,0.988,356
78,5:best,4:good,+,0.965,360
79,5:best,4:good,+,0.896,361
80,4:good,4:good,,0.854,368
81,4:good,4:good,,0.889,375
82,5:best,4:good,+,0.901,380
83,3:average,2:low,+,0.747,390
84,4:good,3:average,+,0.849,396
85,1:none,2:low,+,0.826,398
86,4:good,3:average,+,0.552,404
87,4:good,3:average,+,0.582,408
88,3:average,3:average,,0.524,409
89,1:none,2:low,+,0.881,411
90,2:low,3:average,+,0.575,417
91,5:best,3:average,+,0.833,420
92,3:average,2:low,+,0.513,423
93,2:low,3:average,+,0.687,424
94,5:best,4:good,+,0.613,428
95,1:none,2:low,+,0.936,430
96,1:none,2:low,+,0.999,436
97,4:good,4:good,,0.976,439
98,4:good,4:good,,0.975,448
99,4:good,2:low,+,0.571,449
100,3:average,2:low,+,0.948,450
101,4:good,4:good,,0.968,453
102,4:good,4:good,,0.988,456
103,4:good,4:good,,0.961,468
104,2:low,4:good,+,0.516,469
105,4:good,4:good,,0.797,470
106,4:good,4:good,,0.703,477
107,4:good,4:good,,0.599,478
108,4:good,4:good,,0.883,485
109,3:average,4:good,+,0.927,487
110,4:good,3:average,+,0.811,503
111,3:average,3:average,,0.975,517
112,1:none,2:low,+,0.964,527
113,2:low,2:low,,0.951,549
114,5:best,4:good,+,0.818,554
115,5:best,4:good,+,0.713,570
116,4:good,3:average,+,0.614,571
117,4:good,4:good,,0.807,576
118,3:average,4:good,+,0.746,583
119,4:good,4:good,,0.635,585
120,4:good,5:best,+,0.576,587
121,5:best,4:good,+,0.607,593
122,5:best,4:good,+,0.539,599
123,5:best,4:good,+,0.743,606
124,5:best,5:best,,0.613,609
125,1:none,4:good,+,0.57,610
126,4:good,4:good,,0.838,611
127,2:low,4:good,+,0.92,617
128,4:good,4:good,,0.981,619
129,1:none,2:low,+,0.927,629
130,1:none,2:low,+,0.963,631
131,2:low,3:average,+,0.958,638
132,4:good,3:average,+,0.854,643
133,3:average,3:average,,0.754,655
134,4:good,5:best,+,0.935,659
135,1:none,1:none,,1,664
136,1:none,1:none,,1,666
137,1:none,1:none,,1,669
138,1:none,1:none,,1,680
139,1:none,1:none,,1,683
140,1:none,1:none,,1,685
141,1:none,1:none,,1,694
142,1:none,1:none,,1,702
143,1:none,1:none,,1,703
144,1:none,1:none,,1,714
145,1:none,1:none,,1,716
146,1:none,1:none,,1,722
147,3:average,4:good,+,0.921,731
148,4:good,4:good,,0.984,732

