inst#,actual,predicted,error,prediction,ID
1,3:3,3:3,,0.988,0
2,3:3,3:3,,0.876,3
3,3:3,3:3,,0.535,9
4,3:3,3:3,,0.867,11
5,3:3,3:3,,0.988,15
6,3:3,3:3,,0.838,19
7,6:U,6:U,,0.586,22
8,3:3,3:3,,0.945,38
9,3:3,3:3,,0.933,42
10,3:3,3:3,,0.593,43
11,3:3,3:3,,0.593,46
12,3:3,3:3,,0.996,50
13,3:3,3:3,,0.888,57
14,3:3,3:3,,0.98,59
15,3:3,3:3,,0.989,68
16,3:3,3:3,,0.987,74
17,3:3,3:3,,0.512,75
18,2:2,2:2,,0.711,88
19,5:5,5:5,,0.725,89
20,3:3,3:3,,0.992,92
21,3:3,3:3,,0.988,93
22,3:3,3:3,,0.993,94
23,2:2,3:3,+,0.767,100
24,3:3,3:3,,0.961,104
25,5:5,5:5,,0.535,107
26,3:3,3:3,,0.812,113
27,3:3,2:2,+,0.565,114
28,6:U,6:U,,0.837,116
29,3:3,3:3,,0.98,117
30,3:3,3:3,,0.971,124
31,5:5,5:5,,0.577,125
32,3:3,3:3,,0.898,126
33,3:3,5:5,+,0.865,142
34,3:3,3:3,,0.898,144
35,3:3,3:3,,0.966,149
36,3:3,3:3,,0.455,153
37,3:3,3:3,,0.99,154
38,3:3,5:5,+,0.629,167
39,5:5,5:5,,0.725,169
40,3:3,3:3,,0.958,175
41,3:3,3:3,,0.98,177
42,3:3,3:3,,0.94,178
43,2:2,3:3,+,0.605,179
44,3:3,3:3,,0.988,184
45,1:1,3:3,+,0.834,188
46,3:3,3:3,,0.982,195
47,3:3,3:3,,0.996,203
48,3:3,3:3,,0.72,221
49,2:2,3:3,+,0.543,222
50,3:3,3:3,,0.992,228
51,3:3,3:3,,0.957,236
52,3:3,3:3,,0.866,237
53,5:5,5:5,,0.666,238
54,3:3,3:3,,0.986,245
55,3:3,3:3,,0.982,249
56,3:3,3:3,,0.785,256
57,5:5,5:5,,0.531,257
58,2:2,3:3,+,0.782,261
59,3:3,5:5,+,0.721,263
60,3:3,3:3,,0.976,268
61,3:3,3:3,,0.516,271
62,3:3,3:3,,0.97,274
63,2:2,2:2,,0.593,277
64,1:1,1:1,,0.98,278
65,3:3,3:3,,0.719,284
66,3:3,3:3,,0.959,287
67,3:3,3:3,,0.865,289
68,3:3,3:3,,0.98,304
69,3:3,3:3,,0.812,307
70,3:3,3:3,,0.976,310
71,2:2,3:3,+,0.782,318
72,3:3,3:3,,0.719,320
73,3:3,3:3,,0.912,324
74,3:3,3:3,,0.782,329
75,6:U,6:U,,0.652,335
76,5:5,5:5,,0.615,336
77,3:3,3:3,,0.964,340
78,1:1,1:1,,0.835,341
79,3:3,3:3,,0.88,349
80,5:5,5:5,,0.809,353
81,3:3,3:3,,0.938,354
82,3:3,6:U,+,0.596,356
83,5:5,5:5,,0.73,369
84,6:U,6:U,,0.862,371
85,3:3,3:3,,0.988,383
86,3:3,3:3,,0.98,393
87,2:2,3:3,+,0.846,395
88,2:2,3:3,+,0.768,399
89,2:2,2:2,,0.699,407
90,6:U,6:U,,0.683,412
91,3:3,3:3,,0.978,423
92,3:3,3:3,,0.906,432
93,3:3,3:3,,0.988,434
94,2:2,2:2,,0.663,439
95,3:3,3:3,,0.925,442
96,5:5,5:5,,0.585,443
97,6:U,6:U,,0.51,453
98,3:3,3:3,,0.781,470
99,3:3,3:3,,0.89,479
100,3:3,3:3,,0.968,481
101,3:3,3:3,,0.995,486
102,3:3,3:3,,0.919,490
103,5:5,5:5,,0.981,499
104,3:3,3:3,,0.813,501
105,3:3,3:3,,0.801,512
106,3:3,5:5,+,0.665,518
107,3:3,3:3,,0.767,521
108,3:3,3:3,,0.627,522
109,5:5,5:5,,0.639,530
110,3:3,3:3,,0.812,532
111,3:3,3:3,,0.846,533
112,3:3,3:3,,0.72,536
113,3:3,3:3,,0.923,539
114,3:3,3:3,,0.971,542
115,3:3,3:3,,0.971,545
116,3:3,3:3,,0.985,552
117,3:3,3:3,,0.632,557
118,3:3,3:3,,0.821,559
119,3:3,3:3,,0.948,570
120,3:3,3:3,,0.739,578
121,3:3,3:3,,0.922,583
122,3:3,3:3,,0.994,585
123,3:3,3:3,,0.783,595
124,3:3,3:3,,0.983,603
125,3:3,3:3,,0.974,604
126,5:5,5:5,,0.756,605
127,3:3,3:3,,0.97,617
128,6:U,6:U,,0.727,625
129,3:3,3:3,,0.537,626
130,2:2,2:2,,0.83,628
131,3:3,3:3,,0.934,634
132,3:3,3:3,,0.916,643
133,3:3,3:3,,0.833,651
134,3:3,3:3,,0.984,658
135,3:3,3:3,,0.971,659
136,3:3,3:3,,0.982,660
137,3:3,3:3,,0.529,665
138,3:3,3:3,,0.907,677
139,3:3,3:3,,0.984,679
140,2:2,2:2,,0.643,689
141,3:3,3:3,,0.974,694
142,5:5,3:3,+,0.537,706
143,3:3,3:3,,0.992,710
144,3:3,3:3,,0.778,713
145,3:3,3:3,,0.988,717
146,3:3,3:3,,0.98,722
147,3:3,3:3,,0.982,735
148,2:2,3:3,+,0.702,741
149,3:3,3:3,,0.934,744
150,3:3,3:3,,0.482,757
151,3:3,3:3,,0.85,761
152,3:3,3:3,,0.94,768
153,3:3,3:3,,0.796,770
154,3:3,3:3,,0.97,779
155,3:3,3:3,,0.813,780
156,3:3,3:3,,0.973,783
157,3:3,3:3,,0.719,787
158,2:2,3:3,+,0.603,788
159,3:3,3:3,,0.984,795
160,3:3,3:3,,0.926,801
161,2:2,3:3,+,0.973,804
162,3:3,3:3,,0.971,814
163,5:5,5:5,,0.774,819
164,3:3,3:3,,0.97,822
165,3:3,3:3,,0.982,824
166,3:3,3:3,,0.924,826
167,3:3,3:3,,0.845,828
168,3:3,3:3,,0.774,830
169,3:3,3:3,,0.821,833
170,3:3,3:3,,0.89,849
171,3:3,3:3,,0.455,855
172,3:3,3:3,,0.796,862
173,3:3,3:3,,0.997,865
174,3:3,3:3,,0.987,873
175,3:3,3:3,,0.983,877
176,3:3,3:3,,0.982,881
177,3:3,3:3,,0.968,886
178,3:3,3:3,,0.996,888
179,2:2,2:2,,0.809,895
