inst#,actual,predicted,error,prediction,ID
1,1:0,1:0,,0.998,15
2,2:1,2:1,,0.501,23
3,2:1,2:1,,0.513,29
4,1:0,1:0,,0.998,30
5,2:1,1:0,+,0.516,32
6,1:0,1:0,,0.997,43
7,2:1,2:1,,0.541,44
8,1:0,1:0,,0.998,49
9,1:0,1:0,,0.998,51
10,2:1,1:0,+,0.509,56
11,2:1,1:0,+,0.539,59
12,2:1,2:1,,0.509,65
13,1:0,1:0,,0.998,67
14,1:0,1:0,,0.998,69
15,1:0,1:0,,0.997,70
16,1:0,1:0,,0.998,73
17,1:0,1:0,,0.998,76
18,1:0,1:0,,0.998,78
19,1:0,1:0,,0.997,99
20,1:0,1:0,,0.997,100
21,2:1,2:1,,0.568,101
22,1:0,1:0,,0.997,109
23,1:0,1:0,,0.997,115
24,1:0,1:0,,0.997,123
25,1:0,1:0,,0.997,124
26,1:0,1:0,,0.998,135
27,1:0,1:0,,0.998,141
28,1:0,1:0,,0.998,162
29,1:0,1:0,,0.998,168
30,2:1,2:1,,0.504,170
31,2:1,2:1,,0.514,173
32,1:0,1:0,,0.998,175
33,1:0,1:0,,0.998,184
34,2:1,1:0,+,0.526,185
35,2:1,2:1,,0.513,188
36,1:0,1:0,,0.997,198
37,1:0,1:0,,0.997,199
38,2:1,2:1,,0.553,203
39,1:0,1:0,,0.998,210
40,2:1,2:1,,0.543,212
41,1:0,1:0,,0.998,220
42,1:0,1:0,,0.998,237
43,2:1,2:1,,0.802,239
44,1:0,1:0,,0.998,240
45,1:0,1:0,,0.998,244
46,1:0,1:0,,0.998,247
47,1:0,1:0,,0.998,250
48,2:1,2:1,,0.511,251
49,2:1,2:1,,0.821,254
50,1:0,1:0,,0.989,259
51,1:0,1:0,,0.998,261
52,1:0,1:0,,0.991,265
53,1:0,1:0,,0.998,270
54,1:0,1:0,,0.998,271
55,1:0,1:0,,0.998,274
56,2:1,1:0,+,0.55,275
57,1:0,1:0,,0.998,289
58,1:0,1:0,,0.998,297
59,1:0,1:0,,0.997,298
60,1:0,1:0,,0.998,300
61,1:0,1:0,,0.997,303
62,1:0,1:0,,0.997,316
63,1:0,1:0,,0.987,322
64,1:0,1:0,,0.997,324
65,1:0,1:0,,0.997,331
66,2:1,2:1,,0.567,332
67,1:0,1:0,,0.997,339
68,1:0,1:0,,0.997,342
69,2:1,2:1,,0.567,344
70,2:1,2:1,,0.852,350
71,1:0,1:0,,0.998,351
72,1:0,1:0,,0.997,352
73,2:1,2:1,,0.549,353
74,2:1,2:1,,0.832,365
75,1:0,1:0,,0.997,366
76,1:0,1:0,,0.986,367
77,2:1,2:1,,0.843,371
78,2:1,2:1,,0.826,374
79,1:0,1:0,,0.998,381
80,1:0,1:0,,0.998,382
81,2:1,1:0,+,0.502,383
82,1:0,1:0,,0.988,394
83,2:1,2:1,,0.83,398
84,1:0,1:0,,0.997,405
85,1:0,1:0,,0.997,408
86,1:0,1:0,,0.997,411
87,2:1,2:1,,0.604,413
88,1:0,1:0,,0.997,414
89,1:0,1:0,,0.996,415
90,2:1,2:1,,0.87,416
91,1:0,1:0,,0.997,420
92,2:1,2:1,,0.874,422
93,2:1,2:1,,0.866,425
94,1:0,1:0,,0.997,426
95,1:0,1:0,,0.998,432
96,1:0,1:0,,0.997,433
97,1:0,1:0,,0.998,438
98,1:0,1:0,,0.998,450
99,1:0,1:0,,0.998,453
100,1:0,1:0,,0.998,462
101,2:1,1:0,+,0.518,464
102,1:0,1:0,,0.998,471
103,1:0,1:0,,0.997,478
104,2:1,2:1,,0.52,479
105,1:0,1:0,,0.998,481
106,2:1,1:0,+,0.509,482
107,1:0,1:0,,0.998,483
108,2:1,2:1,,0.53,485
109,1:0,1:0,,0.998,486
110,2:1,1:0,+,0.501,494
111,1:0,1:0,,0.998,495
112,2:1,2:1,,0.508,497
113,2:1,1:0,+,0.502,506
114,1:0,1:0,,0.997,513
115,1:0,1:0,,0.997,514
116,2:1,2:1,,0.529,518
117,1:0,1:0,,0.997,522
118,1:0,1:0,,0.997,526
119,2:1,2:1,,0.547,527
120,1:0,1:0,,0.997,529
121,2:1,2:1,,0.585,530
122,1:0,1:0,,0.997,532
123,1:0,1:0,,0.998,544
124,2:1,2:1,,0.534,548
125,2:1,2:1,,0.834,551
126,1:0,1:0,,0.998,552
127,2:1,2:1,,0.817,554
128,1:0,1:0,,0.998,555
129,2:1,2:1,,0.839,557
130,1:0,1:0,,0.998,561
131,1:0,1:0,,0.998,570
132,1:0,1:0,,0.998,576
133,1:0,1:0,,0.998,582
134,2:1,2:1,,0.835,584
135,2:1,1:0,+,0.536,599
136,2:1,2:1,,0.503,602
137,1:0,1:0,,0.991,607
138,1:0,1:0,,0.989,610
139,2:1,2:1,,0.792,617
140,1:0,1:0,,0.998,618
141,2:1,2:1,,0.816,620
142,1:0,1:0,,0.997,621
143,1:0,1:0,,0.997,628
144,1:0,1:0,,0.988,643
145,2:1,2:1,,0.509,650
146,1:0,1:0,,0.998,651
147,1:0,1:0,,0.998,654
148,1:0,1:0,,0.998,660
149,2:1,2:1,,0.5,677
150,1:0,1:0,,0.998,682
151,1:0,1:0,,0.989,700
152,2:1,1:0,+,0.522,704
153,2:1,1:0,+,0.552,707
154,2:1,1:0,+,0.513,710
155,1:0,1:0,,0.998,711
156,1:0,1:0,,0.991,715
157,1:0,1:0,,0.998,720
158,1:0,1:0,,0.992,724
159,1:0,1:0,,0.99,727
160,1:0,1:0,,0.997,730
161,1:0,1:0,,0.997,736
162,1:0,1:0,,0.998,741
163,2:1,2:1,,0.83,743
164,2:1,2:1,,0.824,752
165,1:0,1:0,,0.998,759
166,2:1,2:1,,0.566,764
167,1:0,1:0,,0.997,774
168,1:0,1:0,,0.998,777
169,2:1,2:1,,0.851,782
170,1:0,1:0,,0.997,787
171,1:0,1:0,,0.997,798
172,1:0,1:0,,0.997,802
173,1:0,1:0,,0.997,807
174,1:0,1:0,,0.987,808
175,1:0,1:0,,0.998,813
176,2:1,2:1,,0.535,818
177,1:0,1:0,,0.997,829
178,1:0,1:0,,0.998,834
179,2:1,2:1,,0.835,836
180,1:0,1:0,,0.997,838
181,1:0,1:0,,0.997,841
182,1:0,1:0,,0.997,843
