inst#,actual,predicted,error,prediction,ID
1,3:3,3:3,,0.755,1
2,3:3,3:3,,0.755,4
3,3:3,3:3,,0.755,13
4,3:3,3:3,,0.755,14
5,3:3,3:3,,0.755,20
6,3:3,3:3,,0.755,21
7,3:3,3:3,,0.755,27
8,3:3,3:3,,0.755,32
9,3:3,3:3,,0.755,34
10,5:5,3:3,+,0.755,35
11,3:3,3:3,,0.755,40
12,3:3,3:3,,0.755,47
13,3:3,3:3,,0.755,52
14,3:3,3:3,,0.755,58
15,3:3,3:3,,0.755,62
16,3:3,3:3,,0.755,64
17,3:3,3:3,,0.755,71
18,3:3,3:3,,0.755,80
19,3:3,3:3,,0.755,85
20,3:3,3:3,,0.755,87
21,3:3,3:3,,0.755,91
22,3:3,3:3,,0.755,95
23,5:5,3:3,+,0.755,98
24,2:2,3:3,+,0.755,99
25,3:3,3:3,,0.755,102
26,3:3,3:3,,0.755,105
27,3:3,3:3,,0.755,106
28,3:3,3:3,,0.755,121
29,2:2,3:3,+,0.755,128
30,3:3,3:3,,0.755,130
31,3:3,3:3,,0.755,134
32,5:5,3:3,+,0.755,138
33,3:3,3:3,,0.755,156
34,3:3,3:3,,0.755,159
35,5:5,3:3,+,0.755,160
36,3:3,3:3,,0.755,161
37,3:3,3:3,,0.755,166
38,3:3,3:3,,0.755,170
39,3:3,3:3,,0.755,187
40,6:U,3:3,+,0.755,189
41,5:5,3:3,+,0.755,191
42,3:3,3:3,,0.755,200
43,3:3,3:3,,0.755,201
44,3:3,3:3,,0.755,205
45,3:3,3:3,,0.755,206
46,3:3,3:3,,0.755,214
47,3:3,3:3,,0.755,216
48,3:3,3:3,,0.755,217
49,3:3,3:3,,0.755,230
50,3:3,3:3,,0.755,240
51,3:3,3:3,,0.755,241
52,3:3,3:3,,0.755,242
53,3:3,3:3,,0.755,243
54,3:3,3:3,,0.755,251
55,3:3,3:3,,0.755,252
56,3:3,3:3,,0.755,269
57,3:3,3:3,,0.755,270
58,3:3,3:3,,0.755,273
59,6:U,3:3,+,0.755,276
60,1:1,3:3,+,0.755,288
61,3:3,3:3,,0.755,295
62,3:3,3:3,,0.755,308
63,3:3,3:3,,0.755,313
64,3:3,3:3,,0.755,315
65,6:U,3:3,+,0.755,330
66,3:3,3:3,,0.755,337
67,3:3,3:3,,0.755,339
68,3:3,3:3,,0.755,343
69,3:3,3:3,,0.755,345
70,6:U,3:3,+,0.755,366
71,3:3,3:3,,0.755,372
72,3:3,3:3,,0.755,378
73,3:3,3:3,,0.755,379
74,6:U,3:3,+,0.755,385
75,2:2,3:3,+,0.755,387
76,3:3,3:3,,0.755,389
77,3:3,3:3,,0.755,391
78,3:3,3:3,,0.755,392
79,3:3,3:3,,0.755,397
80,3:3,3:3,,0.755,401
81,1:1,3:3,+,0.755,406
82,5:5,3:3,+,0.755,413
83,3:3,3:3,,0.755,418
84,3:3,3:3,,0.755,427
85,3:3,3:3,,0.755,435
86,3:3,3:3,,0.755,454
87,2:2,3:3,+,0.755,455
88,5:5,3:3,+,0.755,458
89,5:5,3:3,+,0.755,459
90,3:3,3:3,,0.755,460
91,3:3,3:3,,0.755,461
92,3:3,3:3,,0.755,466
93,3:3,3:3,,0.755,471
94,3:3,3:3,,0.755,474
95,3:3,3:3,,0.755,475
96,3:3,3:3,,0.755,476
97,3:3,3:3,,0.755,484
98,3:3,3:3,,0.755,489
99,3:3,3:3,,0.755,491
100,3:3,3:3,,0.755,492
101,3:3,3:3,,0.755,498
102,5:5,3:3,+,0.755,502
103,3:3,3:3,,0.755,504
104,3:3,3:3,,0.755,508
105,3:3,3:3,,0.755,510
106,3:3,3:3,,0.755,520
107,3:3,3:3,,0.755,524
108,2:2,3:3,+,0.755,540
109,3:3,3:3,,0.755,546
110,3:3,3:3,,0.755,553
111,2:2,3:3,+,0.755,555
112,3:3,3:3,,0.755,556
113,3:3,3:3,,0.755,560
114,3:3,3:3,,0.755,561
115,3:3,3:3,,0.755,562
116,3:3,3:3,,0.755,563
117,3:3,3:3,,0.755,564
118,3:3,3:3,,0.755,565
119,3:3,3:3,,0.755,566
120,3:3,3:3,,0.755,573
121,3:3,3:3,,0.755,574
122,6:U,3:3,+,0.755,577
123,6:U,3:3,+,0.755,592
124,3:3,3:3,,0.755,600
125,3:3,3:3,,0.755,612
126,3:3,3:3,,0.755,614
127,3:3,3:3,,0.755,642
128,2:2,3:3,+,0.755,646
129,3:3,3:3,,0.755,647
130,3:3,3:3,,0.755,654
131,3:3,3:3,,0.755,661
132,3:3,3:3,,0.755,663
133,3:3,3:3,,0.755,674
134,5:5,3:3,+,0.755,681
135,3:3,3:3,,0.755,683
136,3:3,3:3,,0.755,686
137,3:3,3:3,,0.755,690
138,3:3,3:3,,0.755,698
139,3:3,3:3,,0.755,699
140,5:5,3:3,+,0.755,700
141,3:3,3:3,,0.755,701
142,3:3,3:3,,0.755,702
143,3:3,3:3,,0.755,719
144,3:3,3:3,,0.755,724
145,3:3,3:3,,0.755,725
146,2:2,3:3,+,0.755,726
147,3:3,3:3,,0.755,727
148,3:3,3:3,,0.755,729
149,3:3,3:3,,0.755,733
150,3:3,3:3,,0.755,738
151,3:3,3:3,,0.755,747
152,3:3,3:3,,0.755,748
153,3:3,3:3,,0.755,759
154,3:3,3:3,,0.755,760
155,3:3,3:3,,0.755,763
156,2:2,3:3,+,0.755,767
157,3:3,3:3,,0.755,769
158,5:5,3:3,+,0.755,771
159,3:3,3:3,,0.755,775
160,3:3,3:3,,0.755,776
161,3:3,3:3,,0.755,782
162,3:3,3:3,,0.755,784
163,3:3,3:3,,0.755,786
164,3:3,3:3,,0.755,791
165,3:3,3:3,,0.755,802
166,2:2,3:3,+,0.755,805
167,3:3,3:3,,0.755,818
168,3:3,3:3,,0.755,831
169,3:3,3:3,,0.755,837
170,3:3,3:3,,0.755,840
171,3:3,3:3,,0.755,844
172,2:2,3:3,+,0.755,856
173,2:2,3:3,+,0.755,860
174,3:3,3:3,,0.755,861
175,3:3,3:3,,0.755,871
176,3:3,3:3,,0.755,874
177,3:3,3:3,,0.755,878
178,5:5,3:3,+,0.755,890
179,2:2,3:3,+,0.755,894

