inst#,actual,predicted,error,prediction,ID
1,1:band,1:band,,0.5,36
2,2:noband,1:band,+,0.5,38
3,1:band,1:band,,1,59
4,2:noband,1:band,+,1,67
5,2:noband,1:band,+,0.987,74
6,2:noband,1:band,+,1,81
7,2:noband,1:band,+,1,83
8,1:band,1:band,,0.5,92
9,2:noband,1:band,+,0.5,96
10,2:noband,1:band,+,0.5,97
11,2:noband,1:band,+,0.5,103
12,1:band,1:band,,0.5,109
13,1:band,1:band,,0.5,111
14,1:band,2:noband,+,0.592,119
15,1:band,1:band,,0.5,122
16,1:band,1:band,,0.5,123
17,2:noband,1:band,+,1,125
18,2:noband,1:band,+,0.5,129
19,2:noband,1:band,+,1,139
20,2:noband,1:band,+,1,141
21,2:noband,2:noband,,0.592,143
22,2:noband,1:band,+,0.5,144
23,2:noband,1:band,+,0.5,145
24,2:noband,1:band,+,1,146
25,2:noband,1:band,+,1,147
26,2:noband,1:band,+,0.5,150
27,1:band,1:band,,1,152
28,1:band,1:band,,0.5,163
29,1:band,2:noband,+,0.592,165
30,1:band,1:band,,1,168
31,2:noband,1:band,+,0.5,183
32,1:band,1:band,,0.5,188
33,2:noband,1:band,+,0.5,193
34,2:noband,2:noband,,0.592,194
35,2:noband,1:band,+,1,198
36,2:noband,1:band,+,0.987,199
37,1:band,1:band,,1,202
38,2:noband,1:band,+,0.5,219
39,2:noband,1:band,+,0.5,223
40,2:noband,1:band,+,0.5,227
41,2:noband,1:band,+,0.5,237
42,1:band,1:band,,0.5,239
43,2:noband,1:band,+,1,246
44,2:noband,1:band,+,0.5,253
45,2:noband,1:band,+,1,257
46,2:noband,1:band,+,0.5,261
47,2:noband,1:band,+,0.5,262
48,1:band,1:band,,0.667,266
49,2:noband,2:noband,,0.592,274
50,2:noband,1:band,+,0.5,281
51,2:noband,1:band,+,0.5,284
52,2:noband,1:band,+,0.667,290
53,2:noband,1:band,+,0.5,293
54,2:noband,1:band,+,0.5,294
55,2:noband,1:band,+,0.5,296
56,2:noband,1:band,+,0.5,301
57,2:noband,1:band,+,0.5,302
58,1:band,1:band,,0.5,310
59,2:noband,1:band,+,1,312
60,2:noband,1:band,+,0.987,320
61,1:band,1:band,,1,323
62,1:band,1:band,,1,324
63,2:noband,1:band,+,0.667,329
64,2:noband,1:band,+,0.5,331
65,2:noband,1:band,+,0.993,334
66,2:noband,1:band,+,0.5,336
67,1:band,1:band,,1,338
68,2:noband,1:band,+,0.5,341
69,2:noband,1:band,+,0.5,347
70,2:noband,1:band,+,0.5,348
71,2:noband,1:band,+,1,354
72,2:noband,1:band,+,1,364
73,1:band,1:band,,0.987,375
74,2:noband,1:band,+,0.5,388
75,2:noband,1:band,+,1,392
76,2:noband,1:band,+,0.5,393
77,2:noband,1:band,+,0.5,394
78,1:band,1:band,,1,399
79,2:noband,1:band,+,0.5,403
80,2:noband,1:band,+,0.5,404
81,1:band,1:band,,0.5,405
82,1:band,1:band,,0.5,407
83,1:band,1:band,,0.5,408
84,2:noband,1:band,+,0.5,415
85,2:noband,1:band,+,0.5,416
86,1:band,1:band,,1,417
87,2:noband,1:band,+,0.5,420
88,2:noband,1:band,+,0.5,421
89,2:noband,1:band,+,0.5,422
90,2:noband,1:band,+,0.5,423
91,2:noband,1:band,+,0.5,433
92,2:noband,1:band,+,1,434
93,2:noband,1:band,+,0.5,436
94,2:noband,1:band,+,0.5,437
95,2:noband,1:band,+,0.5,441
96,2:noband,1:band,+,0.5,447
97,2:noband,1:band,+,1,449
98,1:band,1:band,,0.5,461
99,1:band,2:noband,+,0.592,462
100,1:band,1:band,,0.5,485
101,1:band,1:band,,0.5,490
102,1:band,1:band,,0.5,496
103,1:band,1:band,,0.5,499
104,1:band,1:band,,1,506
105,1:band,1:band,,0.5,515
106,1:band,1:band,,0.5,516
107,1:band,1:band,,0.5,517
108,1:band,1:band,,0.997,522

